collection_name,eval_noise_level,eval_complexity,log_size,log_name,calc_drift_id,calc_process_change_id,calc_change_id,calc_change_index,calc_change_moment,calc_change_type,calc_drift_type,config_method,config_constant_alpha,config_similarity,config_incremental,config_recurring,config_steps
,,,,KA25_7_40_S,1,1,1,1311,2021-09-20 10:17:41.331019,gradual_start,incremental,,,,,,
,,,,KA25_7_40_S,1,1,2,2256,2022-12-06 20:51:02.266219,gradual_end,incremental,,,,,,
,,,,KA25_7_40_S,1,2,3,3605,2024-07-30 17:56:59.698450,gradual_start,incremental,,,,,,
,,,,KA25_7_40_S,1,2,4,4597,2025-11-27 12:05:47.836179,gradual_end,incremental,,,,,,
,,,,KA25_7_40_S,1,3,5,5681,2027-04-14 08:59:26.660246,sudden,incremental,,,,,,
,,,,KA25_7_40_S,2,1,6,6939,2028-10-16 01:15:03.734364,sudden,incremental,,,,,,
,,,,KA25_7_40_S,2,2,7,8352,2030-08-09 22:22:03.571837,sudden,incremental,,,,,,
,,,,KA25_7_40_S,2,3,8,9584,2032-02-28 17:15:38.371342,gradual_start,incremental,,,,,,
,,,,KA25_7_40_S,2,3,9,10457,2033-04-20 04:09:00.145624,gradual_end,incremental,,,,,,
,,,,KA25_7_40_S,3,1,10,11681,2034-11-01 17:43:28.970553,gradual_start,incremental,,,,,,
,,,,KA25_7_40_S,3,1,11,12486,2035-11-01 17:56:10.722395,gradual_end,incremental,,,,,,
,,,,KA25_7_40_S,3,2,12,13960,2037-09-02 15:08:37.055655,gradual_start,incremental,,,,,,
,,,,KA25_7_40_S,3,2,13,14957,2038-12-31 00:35:36.107523,gradual_end,incremental,,,,,,
,,,,KA25_7_40_S,3,3,14,16422,2040-11-10 20:41:58.214155,gradual_start,incremental,,,,,,
,,,,KA25_7_40_S,3,3,15,17190,2041-10-25 20:42:49.114768,gradual_end,incremental,,,,,,
