log_name,drift_or_noise_id,drift_attribute,drift_sub_attribute,value
log_1_1692952162.xes.gz,drift_1,log_id,1,log_1_1692952162.xes.gz
log_1_1692952162.xes.gz,drift_1,drift_id,1,1
log_1_1692952162.xes.gz,drift_1,process_perspective,1,control-flow
log_1_1692952162.xes.gz,drift_1,process_complexity,1,middle
log_1_1692952162.xes.gz,drift_1,drift_type,1,gradual
log_1_1692952162.xes.gz,drift_1,process_trees_1,0,"X( ->( *( 'a', ->( 'j', 'l' ) ), 'k' ), +( ->( *( ->( *( 'b', 'f' ), 'g' ), 'd' ), +( 'e', 'h' ) ), ->( 'c', 'i' ) ) )"
log_1_1692952162.xes.gz,drift_1,process_trees_2,1,"X( ->( *( 'a', ->( 'j', *tau* ), 'Random activity 2' ), 'k' ), +( ->( *( ->( *( 'b', 'f' ), 'g' ), 'd' ), +( 'e', 'h' ) ), ->( 'c', 'i' ) ), 'Random activity 1' )"
log_1_1692952162.xes.gz,drift_1,change_info_1,change_type,gradual
log_1_1692952162.xes.gz,drift_1,change_info_1,change_trace_index,"[1086, 1956]"
log_1_1692952162.xes.gz,drift_1,change_info_1,process_tree_before,"X( ->( *( 'a', ->( 'j', 'l' ) ), 'k' ), +( ->( *( ->( *( 'b', 'f' ), 'g' ), 'd' ), +( 'e', 'h' ) ), ->( 'c', 'i' ) ) )"
log_1_1692952162.xes.gz,drift_1,change_info_1,process_tree_after,"X( ->( *( 'a', ->( 'j', *tau* ), 'Random activity 2' ), 'k' ), +( ->( *( ->( *( 'b', 'f' ), 'g' ), 'd' ), +( 'e', 'h' ) ), ->( 'c', 'i' ) ), 'Random activity 1' )"
log_1_1692952162.xes.gz,drift_1,change_info_1,activities_deleted,[l]
log_1_1692952162.xes.gz,drift_1,change_info_1,activities_added,"[Random activity 1, Random activity 2]"
log_1_1692952162.xes.gz,drift_1,change_info_1,activities_moved,[]
log_1_1692952162.xes.gz,drift_1,change_info_1,change_start,2021-05-06 10:34:08.681565
log_1_1692952162.xes.gz,drift_1,change_info_1,change_end,2022-07-10 01:37:08.292724
log_2_1692952163.xes.gz,drift_1,log_id,1,log_2_1692952163.xes.gz
log_2_1692952163.xes.gz,drift_1,drift_id,1,1
log_2_1692952163.xes.gz,drift_1,process_perspective,1,control-flow
log_2_1692952163.xes.gz,drift_1,process_complexity,1,complex
log_2_1692952163.xes.gz,drift_1,drift_type,1,gradual
log_2_1692952163.xes.gz,drift_1,process_trees_1,0,"+( ->( *( ->( *( ->( *( 'a', 'm' ), 'n' ), 'g' ), 'h' ), 'd' ), +( 'e', +( 'f', X( 'l', 'o' ) ) ) ), +( 'b', ->( *( X( 'c', 'k' ), ->( *( 'i', 'p' ), 'q' ) ), ->( 'j', 'r' ) ) ) )"
log_2_1692952163.xes.gz,drift_1,process_trees_2,1,"+( ->( *( ->( *( ->( *( 'a', 'm' ), 'n' ), 'Random activity 1' ), 'h' ), 'd' ), +( 'e', +( 'f', *( 'l', 'o' ) ) ) ), +( 'b', ->( *( X( 'c', 'k' ), ->( *( 'i', 'p' ), 'q' ), 'Random activity 2' ), ->( 'j', 'r' ) ) ) )"
log_2_1692952163.xes.gz,drift_1,change_info_1,change_type,gradual
log_2_1692952163.xes.gz,drift_1,change_info_1,change_trace_index,"[1130, 1950]"
log_2_1692952163.xes.gz,drift_1,change_info_1,process_tree_before,"+( ->( *( ->( *( ->( *( 'a', 'm' ), 'n' ), 'g' ), 'h' ), 'd' ), +( 'e', +( 'f', X( 'l', 'o' ) ) ) ), +( 'b', ->( *( X( 'c', 'k' ), ->( *( 'i', 'p' ), 'q' ) ), ->( 'j', 'r' ) ) ) )"
log_2_1692952163.xes.gz,drift_1,change_info_1,process_tree_after,"+( ->( *( ->( *( ->( *( 'a', 'm' ), 'n' ), 'Random activity 1' ), 'h' ), 'd' ), +( 'e', +( 'f', *( 'l', 'o' ) ) ) ), +( 'b', ->( *( X( 'c', 'k' ), ->( *( 'i', 'p' ), 'q' ), 'Random activity 2' ), ->( 'j', 'r' ) ) ) )"
log_2_1692952163.xes.gz,drift_1,change_info_1,activities_deleted,[g]
log_2_1692952163.xes.gz,drift_1,change_info_1,activities_added,"[Random activity 1, Random activity 2]"
log_2_1692952163.xes.gz,drift_1,change_info_1,activities_moved,"[l, o]"
log_2_1692952163.xes.gz,drift_1,change_info_1,change_start,2021-05-19 07:55:29.918120
log_2_1692952163.xes.gz,drift_1,change_info_1,change_end,2022-06-01 01:42:33.976311
log_3_1692952167.xes.gz,drift_1,log_id,1,log_3_1692952167.xes.gz
log_3_1692952167.xes.gz,drift_1,drift_id,1,1
log_3_1692952167.xes.gz,drift_1,process_perspective,1,control-flow
log_3_1692952167.xes.gz,drift_1,process_complexity,1,simple
log_3_1692952167.xes.gz,drift_1,drift_type,1,gradual
log_3_1692952167.xes.gz,drift_1,process_trees_1,0,"->( *( +( 'a', 'd' ), ->( 'b', ->( 'e', 'f' ) ) ), 'c' )"
log_3_1692952167.xes.gz,drift_1,process_trees_2,1,"->( *( ->( 'a', 'd' ), ->( 'b', ->( 'e', 'f' ) ) ), 'c' )"
log_3_1692952167.xes.gz,drift_1,change_info_1,change_type,gradual
log_3_1692952167.xes.gz,drift_1,change_info_1,change_trace_index,"[1035, 1760]"
log_3_1692952167.xes.gz,drift_1,change_info_1,process_tree_before,"->( *( +( 'a', 'd' ), ->( 'b', ->( 'e', 'f' ) ) ), 'c' )"
log_3_1692952167.xes.gz,drift_1,change_info_1,process_tree_after,"->( *( ->( 'a', 'd' ), ->( 'b', ->( 'e', 'f' ) ) ), 'c' )"
log_3_1692952167.xes.gz,drift_1,change_info_1,activities_deleted,[]
log_3_1692952167.xes.gz,drift_1,change_info_1,activities_added,[]
log_3_1692952167.xes.gz,drift_1,change_info_1,activities_moved,"[a, d]"
log_3_1692952167.xes.gz,drift_1,change_info_1,change_start,2021-04-05 15:24:01.417499
log_3_1692952167.xes.gz,drift_1,change_info_1,change_end,2022-03-03 04:42:04.669205
log_4_1692952168.xes.gz,drift_1,log_id,1,log_4_1692952168.xes.gz
log_4_1692952168.xes.gz,drift_1,drift_id,1,1
log_4_1692952168.xes.gz,drift_1,process_perspective,1,control-flow
log_4_1692952168.xes.gz,drift_1,process_complexity,1,complex
log_4_1692952168.xes.gz,drift_1,drift_type,1,gradual
log_4_1692952168.xes.gz,drift_1,process_trees_1,0,"->( X( 'a', ->( *( 'e', 'j' ), 'k' ) ), ->( *( +( 'b', 'f' ), ->( *( 'c', ->( 'g', 'l' ) ), ->( 'h', 'i' ) ) ), ->( *( 'd', 'm' ), +( 'n', 'o' ) ) ) )"
log_4_1692952168.xes.gz,drift_1,process_trees_2,1,"->( +( 'a', ->( *( 'e', 'j' ), 'k' ) ), ->( *( +( 'b', 'f' ), ->( *( 'c', ->( 'g', 'l' ) ), ->( 'h', 'i' ) ) ), ->( *( 'd', 'm' ), +( 'n', 'o', 'Random activity 1' ) ) ) )"
log_4_1692952168.xes.gz,drift_1,change_info_1,change_type,gradual
log_4_1692952168.xes.gz,drift_1,change_info_1,change_trace_index,"[1013, 1583]"
log_4_1692952168.xes.gz,drift_1,change_info_1,process_tree_before,"->( X( 'a', ->( *( 'e', 'j' ), 'k' ) ), ->( *( +( 'b', 'f' ), ->( *( 'c', ->( 'g', 'l' ) ), ->( 'h', 'i' ) ) ), ->( *( 'd', 'm' ), +( 'n', 'o' ) ) ) )"
log_4_1692952168.xes.gz,drift_1,change_info_1,process_tree_after,"->( +( 'a', ->( *( 'e', 'j' ), 'k' ) ), ->( *( +( 'b', 'f' ), ->( *( 'c', ->( 'g', 'l' ) ), ->( 'h', 'i' ) ) ), ->( *( 'd', 'm' ), +( 'n', 'o', 'Random activity 1' ) ) ) )"
log_4_1692952168.xes.gz,drift_1,change_info_1,activities_deleted,[]
log_4_1692952168.xes.gz,drift_1,change_info_1,activities_added,[Random activity 1]
log_4_1692952168.xes.gz,drift_1,change_info_1,activities_moved,"[a, k, e, j]"
log_4_1692952168.xes.gz,drift_1,change_info_1,change_start,2021-03-20 04:04:07.525829
log_4_1692952168.xes.gz,drift_1,change_info_1,change_end,2021-12-11 14:13:18.557951
log_5_1692952170.xes.gz,drift_1,log_id,1,log_5_1692952170.xes.gz
log_5_1692952170.xes.gz,drift_1,drift_id,1,1
log_5_1692952170.xes.gz,drift_1,process_perspective,1,control-flow
log_5_1692952170.xes.gz,drift_1,process_complexity,1,complex
log_5_1692952170.xes.gz,drift_1,drift_type,1,incremental
log_5_1692952170.xes.gz,drift_1,process_trees_1,0,"X( +( 'a', +( 'c', ->( *( 'd', ->( *( ->( *( ->( *( 'g', 'o' ), 'p' ), 'k' ), X( 'l', X( 'm', 'n' ) ) ), 'i' ), 'j' ) ), 'h' ) ) ), X( 'b', X( 'e', 'f' ) ) )"
log_5_1692952170.xes.gz,drift_1,process_trees_2,1,"X( +( 'a', +( 'c', ->( *( 'd', ->( *( ->( *( ->( *( 'g', 'o' ), 'p' ), 'k' ), X( 'l', X( 'm', 'n' ) ) ), 'i' ), 'j' ) ), *tau* ) ) ), X( 'b', X( 'e', 'f' ) ) )"
log_5_1692952170.xes.gz,drift_1,process_trees_3,2,"X( +( 'a', +( 'c', ->( *( 'd', ->( *( ->( *( ->( *( 'g', 'o' ), *tau* ), 'k' ), X( 'l', X( 'm', 'n' ) ) ), 'i' ), 'j' ) ), *tau* ) ) ), X( 'b', X( 'e', 'f' ) ) )"
log_5_1692952170.xes.gz,drift_1,process_trees_4,3,"X( +( 'a', +( 'c', ->( *( 'd', ->( *( ->( *( ->( *( 'g', 'o' ), *tau* ), 'k' ), X( 'l', X( 'm', 'n' ), 'Random activity 1' ) ), 'i' ), 'j' ) ), *tau* ) ) ), X( 'b', X( 'e', 'f' ) ) )"
log_5_1692952170.xes.gz,drift_1,change_info_1,change_type,sudden
log_5_1692952170.xes.gz,drift_1,change_info_1,change_trace_index,[1303]
