collection_name,eval_noise_level,eval_complexity,log_size,log_name,calc_drift_id,calc_process_change_id,calc_change_id,calc_change_index,calc_change_moment,calc_change_type,calc_drift_type,config_method,config_constant_alpha,config_similarity,config_incremental,config_recurring,config_steps
,,,,KA25_42_0_S,1,1,1,1465,2021-11-19 17:58:01.991919,gradual_start,gradual,,,,,,
,,,,KA25_42_0_S,1,1,2,2388,2023-01-22 04:30:12.709737,gradual_end,gradual,,,,,,
,,,,KA25_42_0_S,2,1,3,3805,2024-10-23 06:08:57.862552,sudden,recurring,,,,,,
,,,,KA25_42_0_S,2,2,4,4827,2026-02-15 22:48:57.314013,gradual_start,recurring,,,,,,
,,,,KA25_42_0_S,2,2,5,5718,2027-03-25 22:05:23.663629,gradual_end,recurring,,,,,,
,,,,KA25_42_0_S,2,3,6,6808,2028-08-23 08:00:01.891255,sudden,recurring,,,,,,
,,,,KA25_42_0_S,3,1,7,7871,2030-01-10 20:47:55.359538,gradual_start,recurring,,,,,,
,,,,KA25_42_0_S,3,1,8,8414,2030-09-04 02:59:02.034500,gradual_end,recurring,,,,,,
,,,,KA25_42_0_S,3,2,9,9656,2032-03-25 08:32:41.514527,gradual_start,recurring,,,,,,
,,,,KA25_42_0_S,3,2,10,10599,2033-06-11 23:50:43.869645,gradual_end,recurring,,,,,,
,,,,KA25_42_0_S,3,3,11,11897,2035-01-17 09:34:26.095338,gradual_start,recurring,,,,,,
,,,,KA25_42_0_S,3,3,12,12538,2035-11-08 21:18:15.107151,gradual_end,recurring,,,,,,
