Dimension,Metric,Label,Reliability,Robustness,Responsiveness
Size,Number of Events,A1,19.227593760720108,1.0081349330988127,0.8902198835698736
Size,Number of Distinct Activities,A2,20.736026279295864,46.261762598519354,1.0335697249524247
Size,Number of Distinct Traces,A3,11.161549239702738,2.2984454569820425,0.26289028215225396
Size,Number of Distinct Directly-Follows Relations,A4,8.988667674404187,6.039653035935564,0.6905075181027719
Size,Min. Trace Length,A5,10.377615614942941,26.000000000000014,0.908688302131726
Size,Avg. Trace Length,A6,19.22759376072012,2245.3471789545356,0.8902198835698723
Size,Max. Trace Length,A7,5.517127894890433,9.39819004524887,0.36491056458501114
Variation,Percentage of Distinct Traces,B1,11.161549239702744,7.200474495848167,0.2628902821522552
Variation,Average Distinct Activities per Trace,B2,41.62913875518516,1043.4312796210008,1.2899940186057397
Variation,Structure,B3,23.594210265132983,30.20700561749599,0.4864872725338808
Variation,Estimated Number of Acyclic Paths,B4,1.4817873691506147,0.9256401547939979,0.3126161051766452
Variation,Number of Ties in Paths to Goal,B5,7.534166125124406,2.1350364963503647,0.5202586474581669
Variation,Lempel-Ziv Complexity,B6,17.90994665195393,1.6004913430042118,0.7053267659657986
Distance,Average Affinity,C1,80.30016735493888,459.56351344267347,0.6791814607919191
Distance,Deviation from Random,C2,125.7375957722911,555.0286348803075,1.1152069885271052
Distance,Average Edit Distance,C3,12.371951665897807,276.5281660899656,0.3902239756338458
Graph Entropy,Sequence Entropy,D1,11.15986085902613,0.8834845453123247,0.6652075814634626
Graph Entropy,Normalized Sequence Entropy,D2,32.535314008236625,28.729432562417124,0.35720761740955526
Graph Entropy,Variant Entropy,D3,6.453604323552294,1.4847254061485569,0.5422565030261659
Graph Entropy,Normalized Variant Entropy,D4,34.829632402724336,15.749273913392127,0.37993073207530226
