Dimension,Metric,None,Low,High
Size,Number of Events,0.8933158335168594,0.8817070749953982,0.8899626669739917
Size,Number of Distinct Activities,1.6077041530325682,0.9101130149211132,0.7334330377883398
Size,Number of Distinct Traces,0.28293981096519893,0.2540450757274443,0.2579109347162595
Size,Number of Distinct Directly-Follows Relations,1.5601112004848607,0.5300595326747676,0.46085983453529034
Size,Min. Trace Length,1.6077041530325682,0.6885873676813581,0.6185142957221912
Size,Avg. Trace Length,0.8933158335168598,0.8817070749953977,0.889962666973993
Size,Max. Trace Length,0.3731926906754697,0.3562760845064532,0.3586669295520957
Variation,Percentage of Distinct Traces,0.2829398109652001,0.2540450757274445,0.25791093471626003
Variation,Average Distinct Activities per Trace,1.2936722552912727,1.2883283053470156,1.2840261047643635
Variation,Structure,1.5486742780739284,0.35974367754501096,0.32246181258268775
Variation,Estimated Number of Acyclic Paths,1.05459030562732,0.2537020526615898,0.2363714840844212
Variation,Number of Ties in Paths to Goal,0.7552778632116484,0.48847817470221994,0.43478266553780937
Variation,Lempel-Ziv Complexity,0.7925703095866625,0.7073705463390799,0.6510064244075241
Distance,Average Affinity,0.7783573192064444,0.6390600151808502,0.6243904296087777
Distance,Deviation from Random,1.1267970299937522,1.1130865756394737,1.1086490545814056
Distance,Average Edit Distance,0.39223951697179427,0.37934921845699604,0.4002531550924523
Graph Entropy,Sequence Entropy,0.708285202451054,0.652709970911711,0.6313982417511381
Graph Entropy,Normalized Sequence Entropy,0.39474560944689563,0.3385637570840513,0.3331861912955811
Graph Entropy,Variant Entropy,0.7012544643854896,0.4967991946035921,0.4648173576335
Graph Entropy,Normalized Variant Entropy,0.4932974310403313,0.3629330937416275,0.3412239774013006
