Dimension,Metric,deletion,insertion,activity_replacement,resequentialization,operator_replacement,mixed
Size,Number of Events,1.6033751156786327,1.0200080776404854,0.10300276802960871,0.15768863497507274,0.8050043421281136,0.9093998542622973
Size,Number of Distinct Activities,1.3081578198377564,2.177656595664303,0.0,0.0,0.0,1.4743591646336835
Size,Number of Distinct Traces,0.5154016084317191,0.309437583794652,0.0,0.24365182836333116,0.6755010462997407,0.3073372075920756
Size,Number of Distinct Directly-Follows Relations,1.1640919438672976,0.8926764859860827,0.0,0.3040536115478106,0.45144516712370064,0.7004162096564223
Size,Min. Trace Length,1.8258183612360361,0.0,0.0,0.0,0.0,0.0
Size,Avg. Trace Length,1.6033751156786327,1.0200080776404823,0.10300276802960805,0.15768863497507357,0.8050043421281143,0.9093998542622972
Size,Max. Trace Length,0.40887203175629133,0.3023390065523617,0.09758815212308043,0.15352596293642573,0.4113380488666777,0.29336677242935616
Variation,Percentage of Distinct Traces,0.5154016084317204,0.309437583794652,0.0,0.243651828363332,0.6755010462997425,0.3073372075920761
Variation,Average Distinct Activities per Trace,2.3519624711446436,1.8899524197856903,0.14574919755332505,0.2551041506497692,0.8041537358799937,1.6141996615347987
Variation,Structure,0.669145392002106,0.5742924664569726,0.029572720175953145,0.26517286388998484,0.4652704512758112,0.5242495175205695
Variation,Estimated Number of Acyclic Paths,0.32341079858633726,0.1797185729133304,0.0,0.0691626820821634,0.22911068950530952,0.18937577041762144
Variation,Number of Ties in Paths to Goal,1.0091212859745209,0.5849673249115566,0.12542191657475973,0.21950849935992053,0.6801429897851883,0.5308288071813062
Variation,Lempel-Ziv Complexity,1.1537566938302035,0.8309190730008819,0.11558986858775155,0.23482256999332357,0.7173323498105569,0.6884736110410175
Distance,Average Affinity,1.1500486566515802,0.9558025027958978,0.11282096581762503,0.19766763245019622,0.8701502122872972,0.7263519937424235
Distance,Deviation from Random,1.740344096649126,1.148435589182504,0.12331977379140292,0.25749558956663643,1.3233839940373602,1.2446331766516188
Distance,Average Edit Distance,0.9194285028683093,0.3956135023465577,0.1225498811124944,0.20888101728255346,0.9056914731351791,0.40286564981372186
Graph Entropy,Sequence Entropy,1.13900750898111,0.774777483272356,0.11747220454229172,0.23339712697208742,0.8344311826396488,0.6822722161192226
Graph Entropy,Normalized Sequence Entropy,0.5587348494661456,0.3443470799096666,0.11743397964753009,0.23765662681912586,0.8995774133448794,0.3922278951885305
Graph Entropy,Variant Entropy,0.9592119520917166,0.6036434111345861,0.13137330540109596,0.24520102027192117,0.7411771821410631,0.5354840347884479
Graph Entropy,Normalized Variant Entropy,0.5292530556878703,0.38129296686136743,0.11587225214946431,0.2559329138151356,0.6530167733702431,0.37884427676379734
