Dimension,Metric,None,Low,High
Size,Number of Events,0.9365355129248971,0.9087143777358376,0.8963269375254438
Size,Number of Distinct Activities,2.845494076163835,1.2176714008908835,0.740823938010321
Size,Number of Distinct Traces,0.33116772457062604,0.2881024714103111,0.2887552898513337
Size,Number of Distinct Directly-Follows Relations,2.6387357134638063,0.5077947648033068,0.4707653516708761
Size,Min. Trace Length,2.845494076163835,0.0,0.0
Size,Avg. Trace Length,0.9365355129248973,0.9087143777358373,0.8963269375254442
Size,Max. Trace Length,0.40613293269372214,0.28187254820276997,0.23097789048147147
Variation,Percentage of Distinct Traces,0.331167724570628,0.28810247141031253,0.28875528985133525
Variation,Average Distinct Activities per Trace,1.611475261574246,1.6283320376975887,1.6073798033924331
Variation,Structure,2.669922120387069,0.377280333834341,0.3199601932252854
Variation,Estimated Number of Acyclic Paths,1.10475930458683,0.12758718252537826,0.10643432000769351
Variation,Number of Ties in Paths to Goal,0.7737818961693215,0.4887831645329224,0.4304627464407944
Variation,Lempel-Ziv Complexity,0.8429609669286319,0.6750210591353409,0.5801777661367982
Distance,Average Affinity,0.825169519905639,0.7196575034531822,0.6747082742485742
Distance,Deviation from Random,1.272918469636427,1.2405972634057003,1.2180218211766032
Distance,Average Edit Distance,0.4140089496127401,0.3975747727457741,0.39846813292932126
Graph Entropy,Sequence Entropy,0.7206655016902843,0.6696783789632179,0.6565504918545138
Graph Entropy,Normalized Sequence Entropy,0.43908852086938815,0.3818584327355894,0.3670347805302199
Graph Entropy,Variant Entropy,0.7491885233462221,0.47825144208421644,0.4678714529862432
Graph Entropy,Normalized Variant Entropy,0.47995888517126606,0.358246282110532,0.33851222553046134
