Noise Level,,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High,High,High,High
Model Complexity,,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex
Window Size,,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200
Dimension,Metric,,,,,,,,,,,,,,,,,,,,,,,,
Size,Number of Events,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5
Size,Number of Traces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Size,Number of Distinct Activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
Size,Number of Distinct Traces,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.25,0.0,0.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,3.0,0.0,1.0,1.5,2.0
Size,Number of Distinct Directly-Follows Relations,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.5,2.0,3.0,4.0,1.0,3.0,4.0,6.0,1.0,3.0,5.0,6.5,2.0,5.0,7.0,10.0
Size,Min. Trace Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Size,Avg. Trace Length,0.0,0.0,0.0,0.0,0.0,0.004999999999999005,0.003333333333332522,0.002500000000000391,0.0,0.004999999999999449,0.0033333333333338544,0.002500000000000613,0.0,0.0,0.0,0.0,0.009999999999998899,0.005000000000000782,0.0033333333333329662,0.004999999999999893,0.009999999999999787,0.009999999999999787,0.0033333333333338544,0.0025000000000048317
Size,Max. Trace Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Variation,Percentage of Distinct Traces,0.0,0.01,0.006666666666666701,0.009999999999999998,0.0,0.010000000000000009,0.00666666666666671,0.0062500000000000056,0.0,0.0,0.006666666666666599,0.0050000000000000044,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.01999999999999999,0.020000000000000018,0.010000000000000009,0.013333333333333308,0.015000000000000006,0.0,0.010000000000000009,0.009999999999999981,0.010000000000000009
Variation,Average Distinct Activities per Trace,0.0,0.0,0.006666666666666599,0.004999999999999893,0.0,0.0,0.003333333333332522,0.00374999999999992,0.0,0.0,0.0033333333333338544,0.003749999999999698,0.0,0.009999999999999787,0.006666666666666821,0.009999999999999787,0.0,0.0050000000000001155,0.004999999999999005,0.004999999999999893,0.009999999999999787,0.0,0.004999999999999893,0.007500000000000062
Variation,Structure,0.0,0.010204081632653073,0.029467120181405904,0.05555555555555558,0.0,0.007923331178201265,0.009132231404958724,0.01388888888888884,0.0,0.00390625,0.006080548947520192,0.01007312391868509,0.02522675736961455,0.05555555555555558,0.08248299319727886,0.10856009070294792,0.005299036281179087,0.015208907254361748,0.020833333333333287,0.03653466483011936,0.004175347222222181,0.013451917531718538,0.02073069216112372,0.02963238297770085
Variation,Estimated Number of Acyclic Paths,0.0,0.22271988537296372,0.690828594428744,1.1827492181719717,0.0,3.649987522375497,9.147130419391004,15.468612359883704,2.4420749815896405,18.745311842694655,52.40583882859107,154.4012786487932,0.2431753361285145,1.2821508916526407,2.019951720402016,3.36515832240166,3.2923407330806813,17.08311037565999,31.74062614997792,61.47507515530749,18.129154927051545,161.81523629355834,472.28225009634104,1085.0954788125
Variation,Number of Ties in Paths to Goal,0.0,4.0,5.0,7.0,0.5,2.25,3.25,5.75,0.75,1.5,2.0,3.0,4.0,8.0,12.0,16.0,1.75,4.0,6.5,10.0,1.0,3.75,4.0,6.5
Variation,Lempel-Ziv Complexity,0.0,1.0,2.5,3.75,0.0,1.0,1.5,1.75,0.5,1.0,1.75,2.0,1.0,4.0,18.0,23.0,0.5,1.5,2.5,3.0,1.0,2.25,3.25,4.25
