Noise Level,,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High,High,High,High
Model Complexity,,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex
Window Size,,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200
Dimension,Metric,,,,,,,,,,,,,,,,,,,,,,,,
Size,Number of Events,inf,inf,inf,inf,inf,2797.5,3980.0,2899.75,inf,2494.5,3839.0,3086.458333333333,inf,inf,inf,inf,1901.5,1662.3333333333335,2294.5,1743.3333333333335,2706.0,1341.0,3188.0,3907.5
Size,Number of Traces,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Size,Number of Distinct Activities,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.0
Size,Number of Distinct Traces,inf,6.0,3.5,2.25,inf,75.0,61.0,44.8,inf,inf,123.0,128.5,3.5,2.0,1.3333333333333333,1.125,30.5,44.0,30.0,24.904761904761905,inf,62.0,71.5,56.0
Size,Number of Distinct Directly-Follows Relations,inf,8.0,4.5,2.875,inf,20.0,12.75,8.0,118.0,26.5,14.666666666666668,10.125,8.0,2.833333333333333,1.9,1.3888888888888888,21.5,8.166666666666668,4.75,3.2875,23.0,9.1,5.048611111111111,3.731060606060606
Size,Min. Trace Length,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,6.0,5.5,inf,inf,inf,inf,inf,inf,inf,inf
Size,Avg. Trace Length,inf,inf,inf,inf,inf,2797.4999999995625,3979.9999999993775,2899.749999999547,inf,2494.500000000212,3839.000000001445,3086.458333333784,inf,inf,inf,inf,1901.5000000002549,1662.3333333331711,2294.500000000253,1743.3333333335393,2705.999999999577,1341.0000000000286,3188.0000000012005,3907.499999999137
Size,Max. Trace Length,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,6.0,6.0,inf,inf,inf,inf,inf,inf,inf,inf
Variation,Percentage of Distinct Traces,inf,5.999999999999995,3.5000000000000004,2.25,inf,74.99999999999993,61.000000000000625,44.80000000000027,inf,inf,123.00000000000014,128.4999999999999,3.499999999999999,2.0000000000000004,1.33333333333333,1.125,30.49999999999997,43.999999999999964,29.999999999999993,24.904761904761884,inf,61.99999999999994,71.49999999999972,55.99999999999995
Variation,Average Distinct Activities per Trace,inf,inf,1046.999999999976,1200.0000000000257,inf,inf,2396.000000000641,1348.5000000000286,inf,inf,1918.9999999997003,2491.7499999996107,inf,600.0000000000128,749.9999999999827,550.2500000000117,inf,933.0000000000199,1443.0000000003477,1194.666666666657,1081.5000000000232,inf,1529.499999999839,1050.3333333333242
Variation,Structure,inf,inf,21.576923076923094,14.205882352941167,inf,103.53738317757067,55.54687500000027,50.49999999999976,inf,185.99999999999943,95.50000000000176,68.09186186321278,34.173660262891765,13.500000000000007,8.061497326203206,7.808110367892977,135.39780248024292,42.00000000000019,27.250000000000085,19.677304964539005,176.96835443038142,63.07492957746476,38.88913483857593,26.62258670292279
Variation,Estimated Number of Acyclic Paths,inf,4.944022916789696,2.24497241978509,1.5228263228231969,inf,4.944022916789692,2.2449724197850895,1.5228263228231986,7.916034375184591,2.2449724197850913,1.3553793395638665,1.0063283326653112,4.944022916789693,1.3553793395638642,0.9180240080500157,0.6614253419825491,4.944022916789689,1.3553793395638642,0.918024008050015,0.4950613373080908,2.2449724197850887,0.9180240080500148,0.38011532390030817,0.22232863230017463
Variation,Number of Ties in Paths to Goal,inf,6.0,2.85,2.392857142857143,420.5,176.0,227.5,149.08823529411765,857.5,884.8333333333333,889.0,557.3396739130435,5.0,2.0666666666666664,1.282051282051282,1.1666666666666665,172.5,114.625,145.3,95.04761904761905,381.66666666666663,260.4920634920635,346.07142857142856,240.2062937062937
Variation,Lempel-Ziv Complexity,inf,92.5,55.25,44.5,inf,463.5,260.75,350.0,499.5,395.5,339.375,334.7,66.5,27.333333333333336,7.873737373737374,7.011627906976744,339.0,226.33333333333331,179.5,212.5,266.0,172.0,174.0,183.08333333333331
Distance,Average Affinity,inf,757.0999999999876,457.5520833333393,458.1243004140915,656.6687566225814,525.7799937981897,525.8326728323241,529.7150609745504,605.1745187048184,552.5036487767813,609.1902124971882,588.7342818427792,718.5086206896399,248.83767535071016,197.29230220374072,197.98266351458824,303.14375708922205,237.49472104853942,206.7913950237588,218.93248561565164,307.37223866474585,281.64665674505886,285.2254452205542,243.53982849199195
