Noise Level,,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High,High,High,High
Model Complexity,,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex
Window Size,,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200
Dimension,Metric,,,,,,,,,,,,,,,,,,,,,,,,
Size,Number of Events,0.0,0.0,0.0,0.0,0.0,0.00035758795896845936,0.0002528705894731117,0.00034499178937982085,0.0,0.0004014102865308303,0.0002619794523216845,0.0003241406334952906,0.0,0.0,0.0,0.0,0.0005669231709534983,0.0006016047296482198,0.00043585313240589407,0.0005783241030005179,0.00037499168532848496,0.000746311435038348,0.0003136763169362679,0.0002646431472561839
Size,Number of Traces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Size,Number of Distinct Activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043402777777777776
Size,Number of Distinct Traces,0.0,0.16666666666666666,0.29166666666666663,0.45,0.0,0.01333570412517781,0.01639344262295082,0.022321873442949676,0.0,0.0,0.008195628997867804,0.00779165656075673,0.29166666666666663,0.5,0.75,0.9,0.03279569892473118,0.022727272727272728,0.0333425951653237,0.040156633906633904,0.0,0.01619644723092999,0.016213151927437643,0.01806451612903226
Size,Number of Distinct Directly-Follows Relations,0.0,0.12698412698412698,0.225,0.3484848484848485,0.0,0.050505050505050504,0.07846153846153847,0.12521739130434784,0.008578698655034533,0.03807471264367816,0.06832298136645962,0.0989010989010989,0.125,0.35416666666666663,0.5277777777777778,0.7211538461538461,0.046536796536796536,0.1225,0.2111111111111111,0.30439814814814814,0.043560606060606064,0.10990338164251207,0.1983087834151664,0.26868521549372615
Size,Min. Trace Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.18333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Size,Avg. Trace Length,0.0,0.0,0.0,0.0,0.0,0.0003575879589685153,0.00025287058947315126,0.00034499178937987473,0.0,0.0004014102865307997,0.0002619794523215859,0.00032414063349524736,0.0,0.0,0.0,0.0,0.0005669231709534493,0.0006016047296482779,0.0004358531324058461,0.0005783241030004589,0.00037499168532854356,0.0007463114350383321,0.0003136763169361498,0.0002646431472562082
Size,Max. Trace Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Variation,Percentage of Distinct Traces,0.0,0.16666666666666682,0.29166666666666585,0.44999999999999996,0.0,0.013335704125177822,0.01639344262295065,0.022321873442949544,0.0,0.0,0.008195628997867781,0.007791656560756737,0.29166666666666674,0.4999999999999999,0.7500000000000019,0.8999999999999999,0.03279569892473121,0.02272727272727275,0.03334259516532371,0.040156633906633946,0.0,0.016196447230930004,0.016213151927437653,0.018064516129032274
Variation,Average Distinct Activities per Trace,0.0,0.0,0.0009551176792556323,0.0008333333333333156,0.0,0.0,0.00043179169042472645,0.0007426478687079916,0.0,0.0,0.0005212321286507096,0.00040136723390449974,0.0,0.0016666666666666312,0.001333333333333364,0.0018173561225331954,0.0,0.001072052745454669,0.0006932257480278833,0.0008370600880221069,0.0009272628127743437,0.0,0.0006920407396850471,0.0009522816529385263
Variation,Structure,0.0,0.011904761904761916,0.046378968253968214,0.07040816326530616,0.0,0.00967693189242821,0.018040740101697927,0.019819466248037765,0.0,0.005383969664515027,0.010471491228069979,0.014686091307937885,0.029295589203423344,0.07407407407407404,0.12405365371955235,0.1280790542023261,0.007417449738516024,0.0238095238095237,0.03672506738544463,0.05118248229043683,0.005653662091327186,0.015858765509883438,0.02571656762388437,0.03757388331671007
Variation,Estimated Number of Acyclic Paths,0.0,0.2022644346174128,0.4454397707459272,0.6647105642485134,0.0,0.20226443461741295,0.4454397707459273,0.6647105642485127,0.14705414008918793,0.445439770745927,0.737800828749374,1.0014223053278724,0.20226443461741292,0.7378008287493754,1.0892961308540399,1.5118864315095804,0.20226443461741309,0.7378008287493754,1.0892961308540405,2.0199517204020143,0.4454397707459275,1.089296130854041,2.6307805477010113,4.513449313073779
