Noise Level,,None,None,None,None,None,None,None,None,None,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High
Model Complexity,,Simple,Simple,Simple,Middle,Middle,Middle,Complex,Complex,Complex,Simple,Simple,Simple,Middle,Middle,Middle,Complex,Complex,Complex,Simple,Simple,Simple,Middle,Middle,Middle,Complex,Complex,Complex
Window Size,,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200
Dimension,Metric,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Number of Events,262.47,525.0025,787.81,384.9375,766.1275,1151.3375,587.8675,1174.6025,1769.17,262.51,525.075,787.97,384.99,766.1575,1151.2275,587.815,1174.4650000000001,1769.0275,262.6125,525.2425000000001,788.1875,385.04499999999996,766.365,1151.2024999999999,587.925,1174.67,1769.3775
Size,Number of Traces,50.0,100.0,150.0,50.0,100.0,150.0,50.0,100.0,150.0,50.0,100.0,150.0,50.0,100.0,150.0,50.0,100.0,150.0,50.0,100.0,150.0,50.0,100.0,150.0,50.0,100.0,150.0
Size,Number of Distinct Activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05250000000000021,0.10500000000000043,0.16000000000000014,0.0625,0.13500000000000068,0.20750000000000046,0.125,0.23749999999999893,0.35499999999999865,0.11499999999999977,0.22750000000000048,0.33499999999999996,0.1850000000000005,0.33000000000000007,0.46999999999999975,0.20500000000000096,0.3725000000000005,0.5774999999999997
Size,Number of Distinct Traces,0.0024999999999999467,0.0024999999999999467,0.0024999999999999467,18.36,35.2925,51.3875,28.947499999999998,55.342499999999994,80.26249999999999,0.6124999999999998,1.1524999999999999,1.6049999999999995,18.720000000000002,36.0225,52.42750000000001,29.162499999999998,55.81,80.9675,1.1374999999999995,2.2249999999999996,3.26,19.095,36.685,53.5025,29.5425,56.525000000000006,82.0
Size,Number of Distinct Directly-Follows Relations,0.0,0.0,0.0,0.48249999999999993,0.5250000000000004,0.5274999999999999,1.3825000000000003,1.6275000000000013,1.825000000000001,0.9424999999999994,1.7324999999999982,2.5425,2.41,4.609999999999999,5.940000000000001,3.834999999999999,6.722500000000002,9.014999999999999,1.834999999999999,3.270000000000001,4.6575,3.6500000000000004,6.262499999999999,8.9825,5.629999999999999,10.550000000000002,15.000000000000002
Size,Min. Trace Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11250000000000027,0.19500000000000028,0.2650000000000001,0.015000000000000346,0.04249999999999998,0.06250000000000022,0.03499999999999992,0.05499999999999983,0.08250000000000002,0.20499999999999963,0.35250000000000026,0.5050000000000003,0.050000000000000155,0.0950000000000002,0.1499999999999997,0.05499999999999994,0.09249999999999992,0.1250000000000001
Size,Avg. Trace Length,0.0,0.0,0.0,0.03440000000000065,0.02676666666666705,0.02192500000000086,0.06882500000000036,0.06723333333333326,0.06452499999999883,0.000700000000000145,0.0009499999999995623,0.0007875000000003851,0.03465000000000096,0.026533333333332854,0.022175000000000278,0.0684250000000004,0.06599999999999984,0.06343750000000004,0.0008999999999992347,0.0009499999999995623,0.0009624999999999773,0.03417500000000029,0.027933333333333366,0.022800000000000153,0.0684250000000004,0.06619999999999848,0.06281249999999794
Size,Max. Trace Length,0.0,0.0,0.0,3.485000000000001,5.692499999999999,7.1225000000000005,6.067500000000003,9.14,11.7925,0.14500000000000002,0.24250000000000016,0.34999999999999964,3.485000000000001,5.692499999999999,7.125000000000002,6.062500000000002,9.14,11.792500000000004,0.23999999999999977,0.42749999999999977,0.5899999999999999,3.4925000000000015,5.682500000000001,7.090000000000002,6.039999999999999,9.157500000000002,11.7925
Variation,Percentage of Distinct Traces,0.035,0.0466666666666667,0.0525,0.07850000000000007,0.12200000000000011,0.15130000000000005,0.05507500000000004,0.08681666666666668,0.10776249999999998,0.03517499999999995,0.046816666666666645,0.052649999999999995,0.07754999999999995,0.12039999999999995,0.14958749999999998,0.05489999999999998,0.08624999999999997,0.10703750000000001,0.036599999999999994,0.048533333333333345,0.05426250000000005,0.07687499999999997,0.11976666666666663,0.14869999999999994,0.05489999999999998,0.08503333333333332,0.10448749999999996
Variation,Average Distinct Activities per Trace,0.0,0.0,0.0,0.008674999999999322,0.009416666666666185,0.00864999999999938,0.024749999999999606,0.021399999999998975,0.021612499999999812,0.000700000000000145,0.0006999999999997009,0.0007624999999999993,0.008674999999999766,0.009583333333333055,0.007787499999999614,0.023999999999999577,0.01921666666666777,0.02092499999999964,0.0008999999999999009,0.0012333333333331975,0.0010750000000001592,0.0096750000000001,0.009899999999999576,0.008375000000000021,0.023725000000000218,0.0196499999999995,0.02018750000000069
Variation,Structure,0.0,0.0,0.0,0.0032933884297520755,0.003644628099173597,0.0036652892561983563,0.006709183673469343,0.008214285714285563,0.008673356009070265,0.020342970521541937,0.03547220450680272,0.049708049886621336,0.013794419585853146,0.023601655892115436,0.03277062139007075,0.011997425277264606,0.019194754833144922,0.027265491579964496,0.03663055673658355,0.06472088451121183,0.08063672170256991,0.02066878997071303,0.03807734243665961,0.049731000292719874,0.017722742970490646,0.03052404004602366,0.04314547700187832
Variation,Estimated Number of Acyclic Paths,0.0,0.0,0.0,0.6729002372486272,0.6784447008089582,0.6784447008089582,13.473052473001438,17.4887889701434,20.733994314890154,0.49255474991400616,0.8859981177655983,1.32883428224561,21.148124227482448,39.37439370948797,56.23601087664993,220.84861427495966,487.76879788284066,810.3321703970196,1.125429581273319,2.4766192026426417,4.11680318311591,34.066691711467364,73.59181459481451,139.3416918546696,1890.2375270998623,7306.883013040369,22758.17955630603
Variation,Number of Ties in Paths to Goal,0.009999999999999787,0.009999999999999787,0.009999999999999787,215.555,427.73,635.1600000000001,464.87250000000006,911.6275,1358.3874999999998,2.6924999999999986,5.1475,7.567500000000001,216.135,428.95250000000004,637.0225,465.25,912.5949999999999,1359.905,5.075000000000001,10.185,15.295,216.735,430.4475,639.345,466.39,914.8025,1363.4275
Variation,Lempel-Ziv Complexity,36.662499999999994,67.37,96.3275,131.845,253.96999999999997,366.81499999999994,183.0025,348.8725,504.0999999999999,40.25,74.53999999999999,106.67,131.91750000000002,254.40999999999997,368.3125,183.3725,349.58000000000004,505.735,43.092499999999994,79.48999999999998,114.5575,132.39249999999998,254.99249999999998,369.91249999999997,183.95999999999998,351.36250000000007,507.12750000000005
Distance,Average Affinity,3.0356038519196993e-05,8.291134286891877e-05,0.00015652426979403944,0.0005946439005007909,0.0007638230321418971,0.0008211608819243266,0.0006819746657344417,0.0007755885630829351,0.0007492349503085971,0.0002894715129918568,0.0003325905398911533,0.00033662479163693027,0.0005476056065902013,0.0008195892393918214,0.0009005952596057853,0.000730812204360165,0.0008177717428615172,0.0006929590580837808,0.0002991109344170906,0.00040539274354645105,0.00041401973118748714,0.0006337344466859907,0.000660993167576035,0.0006835716707840611,0.0005902313451112695,0.0009066042190740975,0.0008155272685902021
Distance,Deviation from Random,0.0008494125835233346,0.0012038941382909174,0.0014335478285276704,0.0028159918664097394,0.0035852815741260202,0.004127536229755868,0.0026165692615617298,0.0036970722665921607,0.004143874912097889,0.0004979887007800499,0.0005106763359701283,0.0008149233318400784,0.002697071143969554,0.003142757411086494,0.0036412495693682323,0.002513518387735114,0.003416818684129519,0.0037930388594132336,0.00045389535302975403,0.000875274957496841,0.001276200794953164,0.0023490557322086714,0.0026299189855041316,0.002758139004926441,0.0024854719529470715,0.003324658343934972,0.003428167230680068
Distance,Average Edit Distance,0.0023762420119562977,0.0026786193672100334,0.002743769869756857,0.039619222840653556,0.024640957859654034,0.04064979489283216,0.08375249433106724,0.05974302150390409,0.08089160342529134,0.003725572047000393,0.004539528831666084,0.0040714234437494445,0.04048957946814902,0.025720376204173778,0.041456730078966775,0.08434254792826135,0.06221802036250779,0.07974384934878476,0.00421541950113391,0.0058929598685113355,0.004311475746077265,0.04152634508348951,0.026184618545405325,0.03854910009229773,0.08445083487940641,0.05756813221933044,0.07975335606604439
Graph Entropy,Sequence Entropy,204.5541177294932,409.43565574864056,612.9405590443607,1455.8115835344165,2985.9902397144006,4533.09325030488,2502.323865865943,5185.515050778558,8017.761415706969,213.32356814739202,430.1725228958612,644.0767153843605,1459.6066330169665,3003.0497547412524,4559.946957457996,2504.185360020624,5190.008066252407,8026.075474296357,223.02754994660046,451.3115722559196,678.7616641095599,1462.5223928976186,3019.205416620852,4590.629760782325,2508.8200793458614,5199.752021988276,8041.265172016458
Graph Entropy,Normalized Sequence Entropy,0.013577556493971306,0.021084603152309894,0.0256073971515128,0.01578809581316415,0.024275426528183763,0.03483362725262751,0.024045508870725152,0.03355733014019402,0.038503965196170886,0.013221199149255944,0.0207820059555502,0.025025449979431652,0.015501832071089211,0.023650152870477142,0.034286630695923526,0.02416137949255548,0.03375810597085549,0.03879691499018467,0.014125791705369109,0.021150396731848348,0.026322201842488,0.01552588668989352,0.023123591025923734,0.03383180935714347,0.024287229661819842,0.03400330144132491,0.03904817467953281
Graph Entropy,Variant Entropy,0.07731699453869134,0.052213345015842405,0.07731699453869134,626.4543338706699,1215.9079044498217,1763.2749976337986,1495.424300848256,2959.355389233827,4432.84307789794,4.559922657812241,9.25045243572548,13.554484384182928,635.4898585228061,1231.9213195476727,1796.3683423305629,1509.892900639973,2989.921472845736,4484.94297075128,9.01104246642678,19.711138820540523,30.282641169019016,644.3914315213591,1248.6014979931622,1823.3597374233896,1523.5829336707648,3019.367287795192,4529.482530309203
Graph Entropy,Normalized Variant Entropy,0.003530345809530294,0.0030910700188226947,0.0054995247621704435,0.038073166272994396,0.05740124114224404,0.06992915744873446,0.04093804242052618,0.06140221792785766,0.07437357225323785,0.032488499679620864,0.05157595343658844,0.06728450160129115,0.038062413772033954,0.05739218755776748,0.07000121977748047,0.040845280123133265,0.06136245468722873,0.0745349161327391,0.04150008445870229,0.06652068476378925,0.08768716892495426,0.038195674521805556,0.05752595176995512,0.06993184561383659,0.04090761105778512,0.06145180226681929,0.07457929557696868
