Noise Level,,None,None,None,None,None,None,None,None,None,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High
Model Complexity,,Simple,Simple,Simple,Middle,Middle,Middle,Complex,Complex,Complex,Simple,Simple,Simple,Middle,Middle,Middle,Complex,Complex,Complex,Simple,Simple,Simple,Middle,Middle,Middle,Complex,Complex,Complex
Window Size,,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200
Dimension,Metric,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Number of Events,1.0,2.0,3.0,0.9994207731590365,1.9967998160849212,3.000834882701941,1.0041804106447152,2.0021977964170867,3.00055953444822,1.0000514199183868,2.000121417721478,3.000239959215594,0.9993650319771534,1.9965977273814275,3.0008545995965243,1.004151488371631,2.0023972654163087,3.0004940750325577,1.0000666630563377,1.9999399742325596,2.999962852344009,0.9992560208630089,1.9965786371510719,3.0008499035575724,1.0039774892835023,2.0020919125197203,3.0001700760453955
Size,Number of Traces,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
Size,Number of Distinct Activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008285095134445863,0.017391450463772086,0.02653416087572634,0.006074977805212143,0.01165104517441706,0.0179460702381672,0.0075999471070359115,0.014732745994976891,0.02218026443550218,0.01871441434284046,0.03803595062944387,0.056847668843100094,0.01678026547864609,0.03063253070869213,0.04307197806111551,0.013195511179382217,0.02360663198177053,0.038295172123272006
Size,Number of Distinct Traces,0.0004170141784820595,0.0004170141784820595,0.0004170141784820595,0.7231531875527607,1.3489398178538878,1.894698097852252,0.8169323129579416,1.5792230419482562,2.2892691891240515,0.2181783550544676,0.4200113058224986,0.5961214012064329,0.7292849942476665,1.3650055524964473,1.9188481249041702,0.8198938582232407,1.5862889329972845,2.303133512450283,0.34172299745687884,0.6777891976650723,0.9788311492635988,0.7338427872815702,1.3732290109406509,1.9585630572933104,0.8226627269311164,1.5939577021536437,2.3082251555751943
Size,Number of Distinct Directly-Follows Relations,0.0,0.0,0.0,0.032229907989552,0.03485174636092772,0.0350059721474792,0.05177414191096102,0.06323579660174569,0.0687959288183331,0.10036370279337034,0.2039095743699324,0.3072376801471678,0.09775383154746625,0.16066971910999062,0.22415229111793872,0.10229293803799129,0.17903214368648834,0.2570447083594765,0.2050784142350656,0.3648082183228849,0.5248698259545006,0.1343163984879712,0.23390465573378333,0.31450088156707684,0.15035709528823854,0.25494672146578967,0.3586727011481227
Size,Min. Trace Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023467088525654274,0.042812742812742804,0.0626667951983278,0.005641473952993997,0.010990825571540599,0.01694139614181452,0.007379832810867256,0.014568142410406716,0.01910528511294535,0.041467727674624276,0.07495184219249373,0.0999853024873196,0.014725065824693226,0.029645693808655005,0.04322480519900415,0.012574530658287005,0.02175762002912622,0.029562321842819296
Size,Avg. Trace Length,0.0,0.0,0.0,0.0036475337865969305,0.002963089393202386,0.0026802865492514183,0.006179207311578349,0.004825699500739506,0.00498888916098998,0.00014287983786320034,0.00017446063969029553,0.00015021708612717927,0.0036785441745167233,0.003036718813874302,0.0028163068750549775,0.006119183515807671,0.004730753761350084,0.0050334988615594834,0.00015831882131324036,0.0001783837280509434,0.00017781864385887458,0.0036447964538687083,0.0029238885959472034,0.002757771179479416,0.006065521365017281,0.0047348425149611505,0.004822447433304337
Size,Max. Trace Length,0.0,0.0,0.0,0.1368506875756568,0.21988462123318747,0.2663738335482757,0.14137585855174242,0.21674084203700988,0.28462616517228434,0.028330447433130165,0.048502447384043273,0.06807106404205515,0.13674770733053576,0.220488826273391,0.26647312755893726,0.14137585855174242,0.21639302196336618,0.28452729011408306,0.04362536072705334,0.07846617275909787,0.1063691787375119,0.13745762747773313,0.22005612331108748,0.26661396453640607,0.14179586260806698,0.21682452852605338,0.28536051602579227
Variation,Percentage of Distinct Traces,0.49979149291075897,0.6665276619405059,0.7498957464553795,0.1384234062236196,0.21702006071537072,0.276325475536937,0.09153384352102917,0.1402589860172479,0.17768270271898715,0.39091082247276443,0.5266628980591658,0.6009696496983918,0.1353575028761668,0.2116648158345175,0.27028796877395744,0.09005307088837959,0.13790368900090533,0.17421662188742937,0.32913850127156136,0.4407369341116434,0.5052922126841002,0.13307860635921495,0.2089236630197831,0.26035923567667246,0.08866863653444185,0.13534743261545218,0.17294371110620138
Variation,Average Distinct Activities per Trace,0.0,0.0,0.0,0.0014966035354075607,0.0017390773748228077,0.0014668056903351673,0.003166846358308632,0.002166231920095674,0.0021643541949355146,0.0001317135441539075,0.00012964017827303927,0.00012334475130683934,0.0014311953896986983,0.001689238734210851,0.0015073131846961465,0.0030827893875640692,0.002055323376427564,0.002137442846397475,0.00016035441296775383,0.00021602289400941916,0.00022208478517512077,0.001524894885301286,0.0018331394113799814,0.0016804865642686536,0.003027431377040482,0.0021970745344011165,0.0021655092194313623
Variation,Structure,0.0,0.0,0.0,0.003948098122920209,0.004354322435206384,0.004378217982987881,0.00816158864524691,0.009988036251738384,0.01046712156329102,0.026246490804509675,0.0486924013324648,0.06844347910428589,0.017223268244794768,0.029951879412128346,0.039730933468469766,0.01447607543284114,0.023172193998753372,0.03189973202327427,0.0499218809361856,0.07866599006309313,0.10652311804628067,0.0261194806316696,0.04613678320404401,0.06232573965549759,0.021214675380067907,0.036074939959356386,0.0502717986691895
Variation,Estimated Number of Acyclic Paths,0.0,0.0,0.0,0.07468800547579826,0.08240326109839216,0.082875805325303,0.25080093667885583,0.3219255810916236,0.3680028636325903,0.21542652463777756,0.4134076885950968,0.6799099132562041,0.7205334214872523,1.714934437472973,2.804111710711778,1.8847433258524706,3.727142801328616,8.11969766683309,0.46298112166745997,0.838663206823825,1.363135049624311,1.2146099032108748,3.166487830488928,5.52200612442168,2.7362997764547243,8.335909750255155,27.423972207510907
Variation,Number of Ties in Paths to Goal,0.0004170141784820595,0.0004170141784820595,0.0004170141784820595,0.8678259102813131,1.6904261524560353,2.4833604599487744,0.9546246608602769,1.8435863204480636,2.752617128853373,0.25113229648435836,0.4536074950964498,0.6235000957404973,0.8697828703972882,1.6941921909769593,2.488739756345776,0.9554765676930911,1.8448622140627,2.7561838485564056,0.3518174624972208,0.6718859745768547,0.9878672596892644,0.8702911876826023,1.6966286434260414,2.4955532690596733,0.9576870371729693,1.8491281542832227,2.762494381102442
Variation,Lempel-Ziv Complexity,0.6090180769464729,1.1253736560093184,1.5912211012804072,0.715972894950382,1.364117821102501,1.9674724363923546,0.7029488309238432,1.3270946439040947,1.9107285173241126,0.6417507390341947,1.1894890283435031,1.6886822413166924,0.717761485466073,1.3667578781556893,1.9716803678460857,0.7052418112381011,1.3323605367240017,1.9152487199622161,0.655997165800858,1.2215287572404532,1.7505209967911612,0.7180247696364768,1.368168138690941,1.9770949223949947,0.704520356510499,1.3322496643153316,1.91595737192681
Distance,Average Affinity,3.712154673433576e-05,0.00010120875743841736,0.0002149800143043275,0.001159348515949723,0.00153010550839121,0.0017884227416129208,0.0014393450190152478,0.0018305172595850605,0.0015411848085971488,0.00032567260888418336,0.0003369845395960701,0.0003411287706837695,0.0010592729879538836,0.0016480156461521614,0.001968750928460797,0.0015518309721229825,0.001765130192440182,0.0014454875074409864,0.0003364452569052605,0.0005257668778996208,0.0004413676456381478,0.0013071800532883093,0.0013733480429349329,0.0015704241634169607,0.001281954796119315,0.0016999058138153628,0.001532025211179381
Distance,Deviation from Random,0.0014309829384011549,0.001936791590084985,0.0023663853256864096,0.003620280634267765,0.004617359052530901,0.005325337983643411,0.003241864705041977,0.004731785850462017,0.005280250359758853,0.0008620551294241466,0.0008214464515715165,0.0013445227702947368,0.0033600370660287248,0.004060999489476625,0.004573866295643273,0.003205875758301576,0.004337923811522225,0.004751636516543887,0.0007611222425004496,0.0014818712660636811,0.002232269822697665,0.0030186985013623416,0.0034181552401379035,0.0037116134510318003,0.003074473954321001,0.004166233950109954,0.0043172156156187046
Distance,Average Edit Distance,0.0018398321015920458,0.003243989765818407,0.0022986360256354115,0.0034901443663617492,0.003716581346464796,0.0036538157862410574,0.008034727936724662,0.006333183849400055,0.007249766164113466,0.0024264949516941987,0.0040767042635906385,0.004101098521733578,0.0037030443877894567,0.0034997301034435805,0.0037711571014298383,0.00808254798337776,0.006558260818581988,0.007196560414982636,0.003243311403420926,0.004692321088091927,0.003883115928130766,0.003624056086786065,0.0035990283817301343,0.0036265759154854174,0.007857164268786415,0.006086275232916345,0.007139157613295156
Graph Entropy,Sequence Entropy,1.0491894367230836,2.1196482822309513,3.1521177236703637,1.253222754671469,2.608230867283785,3.9978525957198174,1.3182632105487755,2.750501276657724,4.268112218881104,1.0780194815828903,2.14661921876315,3.2518671794367613,1.2545669324650395,2.6096987865131522,4.001588975674846,1.3186992238178077,2.752425775873549,4.271346748377034,1.0859403683450746,2.1825771256756568,3.281085219296167,1.2554043091688198,2.613287369103777,4.006653334416841,1.3191944853539326,2.751697512463941,4.271167431755169
Graph Entropy,Normalized Sequence Entropy,0.09034259736669027,0.13470616457390316,0.17064006910126475,0.033168644129722064,0.05122805293840937,0.06315620833620934,0.04789491969831159,0.06529380370232235,0.07528564798971976,0.08776350593227235,0.1296146622416614,0.1543438269579882,0.032846851853395975,0.050065900278266406,0.06294708216687653,0.0485065977967543,0.06602198234005191,0.07603503307818321,0.08546693207117803,0.12321035427480746,0.156695928074851,0.032627564263060085,0.050038304679130306,0.06210378085800056,0.04816304217562947,0.06587746472842315,0.07648116298693124
Graph Entropy,Variant Entropy,0.042050548135993696,0.042050548135993696,0.042050548135993696,1.012559390375631,2.0192078580848465,2.996496784730854,1.1731893022409068,2.3605694013644793,3.561255712969918,0.37533276830289947,0.6676351760556415,1.0193335770219303,1.0141996720033104,2.0274385393337253,3.0125858812911206,1.1748622683404584,2.3660434537904385,3.5717316837666573,0.5631047513236007,1.0872931186700816,1.6227597503877464,1.0236438132264185,2.0430800276656185,3.042555824216809,1.1787448281687638,2.368581935711819,3.576031391623631
Graph Entropy,Normalized Variant Entropy,0.016121568593560662,0.0192443285503986,0.033611770607715794,0.06482797453315887,0.09772518235019488,0.11951904044010679,0.07211676521666548,0.10891155832615404,0.13320224044521556,0.0679618825611982,0.10908120190341702,0.14364626785285087,0.06493492397721284,0.0978671716850944,0.11964244319379932,0.07209286929203942,0.10885249068339964,0.1332310386904616,0.08293625030695405,0.13347865937656814,0.176489197843624,0.06498205487161278,0.09786489655799865,0.11970788321489935,0.07202747747260514,0.10890924840428842,0.13342805008646885
