Noise Level,,None,None,None,None,None,None,None,None,None,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High
Model Complexity,,Simple,Simple,Simple,Middle,Middle,Middle,Complex,Complex,Complex,Simple,Simple,Simple,Middle,Middle,Middle,Complex,Complex,Complex,Simple,Simple,Simple,Middle,Middle,Middle,Complex,Complex,Complex
Window Size,,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200
Dimension,Metric,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Number of Events,262.0,524.5,787.5,385.25,767.25,1148.0,583.75,1175.5,1767.5,262.25,524.75,787.75,385.0,767.25,1148.75,584.75,1175.5,1768.75,262.5,525.0,788.0,384.25,766.75,1148.5,585.0,1176.25,1768.25
Size,Number of Traces,50.0,100.0,150.0,50.0,100.0,150.0,50.0,100.0,150.0,50.0,100.0,150.0,50.0,100.0,150.0,50.0,100.0,150.0,50.0,100.0,150.0,50.0,100.0,150.0,50.0,100.0,150.0
Size,Number of Distinct Activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
Size,Number of Distinct Traces,0.0,0.0,0.0,19.0,36.0,52.0,29.75,56.0,80.5,1.0,1.0,2.0,18.75,36.5,53.0,29.0,55.25,80.5,1.0,2.0,3.25,19.5,36.75,54.0,30.0,56.5,82.0
Size,Number of Distinct Directly-Follows Relations,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,4.5,5.5,2.75,6.25,9.0,2.0,3.0,5.0,3.75,6.0,8.25,5.0,10.5,14.25
Size,Min. Trace Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Size,Avg. Trace Length,0.0,0.0,0.0,0.05249999999999977,0.05499999999999883,0.05249999999999999,0.08999999999999986,0.09999999999999987,0.09499999999999975,0.0,0.0,0.0,0.05500000000000016,0.05166666666666586,0.05125000000000002,0.08500000000000041,0.09333333333333371,0.10000000000000142,0.0,0.0,0.0,0.05249999999999977,0.0533333333333319,0.05375000000000041,0.08749999999999991,0.08166666666666655,0.09625000000000039
Size,Max. Trace Length,0.0,0.0,0.0,4.0,5.5,6.5,6.0,9.5,12.0,0.0,0.0,0.0,4.0,5.75,6.5,6.0,9.5,12.0,0.0,1.0,1.0,4.0,5.5,6.5,6.0,9.5,12.0
Variation,Percentage of Distinct Traces,0.035,0.0466666666666667,0.0525,0.07999999999999996,0.12166666666666665,0.14875000000000005,0.06,0.0933333333333333,0.10874999999999999,0.025,0.04000000000000005,0.042499999999999996,0.08000000000000002,0.12666666666666665,0.15500000000000003,0.05749999999999994,0.08666666666666671,0.10750000000000004,0.034999999999999996,0.046666666666666703,0.051250000000000004,0.08000000000000002,0.1266666666666667,0.15750000000000003,0.04999999999999996,0.08333333333333334,0.10625000000000001
Variation,Average Distinct Activities per Trace,0.0,0.0,0.0,0.01750000000000007,0.013333333333333641,0.013749999999999596,0.020000000000000462,0.023333333333332984,0.015000000000000568,0.0,0.006666666666666821,0.004999999999999893,0.019999999999999574,0.013333333333332975,0.01249999999999929,0.019999999999999574,0.024999999999999467,0.015000000000000124,0.009999999999999787,0.006666666666666821,0.009999999999999787,0.019999999999999574,0.013333333333333197,0.015000000000000568,0.02250000000000041,0.025000000000000355,0.021249999999999325
Variation,Structure,0.0,0.0,0.0,0.0,0.0,0.0,0.007904652056901107,0.010204081632653073,0.010204081632653073,0.02777777777777779,0.04081632653061221,0.05555555555555558,0.015208907254361803,0.022813360881542732,0.033890036730945816,0.010054976851851916,0.021116344141142274,0.025798611111111147,0.04081632653061221,0.07996598639455782,0.08418367346938782,0.027634297520661155,0.04480084940312212,0.05808999081726357,0.019351881377551006,0.03239197530864196,0.045880874476696976
Variation,Estimated Number of Acyclic Paths,0.0,0.0,0.0,0.0,0.0,0.0,21.025405145608715,22.12403918777325,25.47284164131856,0.2431753361285145,0.7378008287493754,1.1827492181719717,6.894284067059317,18.875176632428612,30.512158824110323,20.773265660685578,60.84920257039747,154.73764093757376,0.930655589547976,1.5745119496560886,2.9197185516557327,14.604037394946928,31.825300501845653,69.69930946841116,143.25099429885168,453.7180081016344,1060.364204181457
Variation,Number of Ties in Paths to Goal,0.0,0.0,0.0,218.0,432.0,639.5,458.0,908.75,1356.25,5.0,6.0,10.0,217.5,432.0,639.75,459.5,912.75,1359.25,5.0,10.0,14.0,219.25,433.25,643.75,459.5,912.25,1359.5
Variation,Lempel-Ziv Complexity,36.5,67.5,96.5,133.0,253.0,366.0,181.75,347.25,498.25,38.0,69.75,99.5,132.5,254.0,367.5,181.75,348.0,500.25,43.5,83.5,114.75,134.0,255.75,369.25,183.75,349.5,501.5
Distance,Average Affinity,0.0007205927103884346,0.0008409154649396955,0.000879433611204461,0.001384662138071438,0.0015556954218850227,0.0016267328300103856,0.0011960446560005111,0.0016056841619740136,0.0017676183972056558,0.0009216656359514463,0.001984126984126977,0.0016666666666668162,0.0012845690464712567,0.0016698730510520399,0.0017691199355970022,0.001073069422002637,0.0011920840469519939,0.0014720796248203771,0.0015876966948398796,0.001460682707087324,0.001334781902710802,0.001128914773241091,0.0013397712688227315,0.0014900312514620762,0.0011104399670655574,0.0012328809423650666,0.001439329356045807
Distance,Deviation from Random,0.000606121045018948,0.0007001381898135706,0.0008597034735363662,0.0024455823568974577,0.002703573553594296,0.0029300123152796176,0.0025607368764044014,0.0030909557909959418,0.0033082942277108396,0.0009002482885313579,0.0010359203539989092,0.0011055779146484923,0.00189340540786187,0.002629710309984601,0.0026297427818393615,0.0021729475469067783,0.003057132330790191,0.002705037540780997,0.0009802990443277815,0.0010334690147674186,0.0013980521042989968,0.0018867568723207606,0.0017546626070514826,0.0019927080048243173,0.002304920478060579,0.0025786771500572736,0.0027482958508447952
Distance,Average Edit Distance,0.008827045969903025,0.009488197963749181,0.010266895703004875,0.06417851989280621,0.05849381363283479,0.0768987796123477,0.0885477221191513,0.06091220380769613,0.0896354220079969,0.013978561121417932,0.014117700771583641,0.012821505486616702,0.07375592661306962,0.05601241839017401,0.07099194954363752,0.08752009894867019,0.06357759211067027,0.09891857245410751,0.011795506081220597,0.011972332557183996,0.010162547431032586,0.06963203463203449,0.07819933342464558,0.07684622090042015,0.07980519480519455,0.070708578733508,0.10177725361501277
Graph Entropy,Sequence Entropy,203.57793234451555,408.62761383115344,611.1406173544945,1469.6289273080188,2982.6290460282835,4522.762342160844,2471.4162019609594,5181.073177393537,8023.474831066998,212.44650559305086,426.65116569816536,642.0524188018412,1479.1956504994846,3002.5223277345112,4554.7479924849595,2479.250054794548,5186.327266189413,8031.807703013679,221.25850396732227,448.0234026000201,673.4613584772083,1472.1215141134503,3020.635156921977,4581.079530670905,2483.4753509558486,5203.3298293338785,8038.88885481417
Graph Entropy,Normalized Sequence Entropy,0.014826715610641958,0.021600520669892855,0.026139808950562456,0.016415809065120968,0.0259119805323281,0.03534568219458184,0.02392621128201977,0.03314037429961092,0.037623122155372724,0.013072358674219818,0.021474086035339283,0.02529575329824269,0.015527905244419993,0.025688297630061585,0.03496926876411474,0.023921523677655987,0.03364088873114185,0.038086486008502396,0.0116715900240549,0.01969370260840094,0.023639529345107595,0.016047776986824025,0.025390802892953618,0.034312491892949964,0.02447914487623079,0.03425671106613487,0.038790389340010833
Graph Entropy,Variant Entropy,0.0,0.0,0.0,630.1905152917388,1214.5528887874898,1757.7208163652817,1482.2925749334704,2950.7095098852287,4414.471341985223,7.022653851055189,9.860683577253251,14.916387255874382,642.9773383624772,1235.8579223136367,1772.852586305547,1496.9017988070161,2976.033723916453,4467.749525244169,9.941294318732155,18.551659502402416,27.486298458664837,661.1326588960403,1257.8688250910689,1800.519192592174,1509.2983863333156,3026.927417733583,4518.712691464716
Graph Entropy,Normalized Variant Entropy,0.0,0.0,0.0,0.03807747036432452,0.05724016120101122,0.06969356449066816,0.04124926498908699,0.0614776455270612,0.07459722384009704,0.034817537718788705,0.059809657525387916,0.08970276395515711,0.0381402449660837,0.05742142642791842,0.06903823455351116,0.04107978169127924,0.06141715032332501,0.0745077235220794,0.041512173575739775,0.06898952559295143,0.0896797867015757,0.037758297054658385,0.057316557008406155,0.06942416743536023,0.041228462831155,0.061445043109686126,0.07467077364815361
