Noise Level,,None,None,None,None,None,None,None,None,None,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High
Model Complexity,,Simple,Simple,Simple,Middle,Middle,Middle,Complex,Complex,Complex,Simple,Simple,Simple,Middle,Middle,Middle,Complex,Complex,Complex,Simple,Simple,Simple,Middle,Middle,Middle,Complex,Complex,Complex
Window Size,,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200
Dimension,Metric,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Number of Events,1.0,0.5,0.3333333333333333,0.9923188559697002,0.4992170217809955,0.33211736930341296,0.9977105605246308,0.49912967798085295,0.3333286706893819,1.0,0.5,0.3333333333333333,0.9910402894392782,0.4989066988076436,0.33219807833759585,0.996237632262357,0.49864273397163617,0.3335953054594991,1.0,0.5,0.3333333333333333,0.9917912380197311,0.49856666221589707,0.3318291636775179,0.997090721294543,0.49845196878080333,0.33341194968553456
Size,Number of Traces,1.0,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333
Size,Number of Distinct Activities,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.0
Size,Number of Distinct Traces,inf,inf,inf,1.3452380952380953,0.7279226240538268,0.5171240910157167,1.246212121212121,0.6463994565217391,0.44281045751633985,2.625,2.0,1.2777777777777777,1.3944444444444444,0.7344322344322345,0.5092592592592593,1.246212121212121,0.6325147720496558,0.4351629502572899,3.0,1.5,1.05,1.3714285714285714,0.717607973421927,0.506198347107438,1.189327485380117,0.6240942028985508,0.42923898531375165
Size,Number of Distinct Directly-Follows Relations,inf,inf,inf,inf,inf,inf,21.75,17.25,15.583333333333332,8.0,3.75,2.6666666666666665,9.38888888888889,5.416666666666666,4.0,11.5,6.089285714285714,3.916666666666667,4.583333333333334,2.9,1.75,7.257142857142857,4.230769230769231,3.142857142857143,6.666666666666666,3.7626262626262625,2.6993103448275866
Size,Min. Trace Length,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,6.0,5.5,inf,inf,inf,inf,inf,inf
Size,Avg. Trace Length,inf,inf,inf,129.27727272727222,199.42941176470453,150.33333333333434,126.44444444444466,166.033444816051,150.96761133603283,inf,inf,inf,122.46666666666621,219.55384615385066,145.12347826087057,120.47058823529474,160.24505928854092,148.32521395655056,inf,inf,inf,115.07692307692238,182.71875000000514,137.67132867132844,132.54444444444476,167.0928853754957,147.83684210526263
Size,Max. Trace Length,inf,inf,inf,6.5,3.9680851063829787,3.25,6.791666666666666,4.2291021671826625,3.3068181818181817,inf,inf,inf,6.5,3.9680851063829787,3.25,6.791666666666666,4.2291021671826625,3.3068181818181817,inf,6.0,6.0,6.416666666666666,3.9680851063829787,3.271153846153846,6.791666666666666,4.2291021671826625,3.3068181818181817
Variation,Percentage of Distinct Traces,2.0,1.5000000000000002,1.3333333333333335,7.800000000000001,4.791497975708501,3.7515432098765444,10.125000000000007,6.63095238095238,5.3939393939393945,3.238095238095238,2.0,1.8055555555555558,7.071428571428571,4.7,3.8666666666666663,10.125000000000007,7.162934362934363,5.6985294117647065,3.0000000000000004,2.2499999999999973,1.9565217391304346,7.4025974025974,4.94736842105263,3.907692307692308,12.57142857142857,7.544117647058826,5.96774193548387
Variation,Average Distinct Activities per Trace,inf,inf,inf,364.4999999999958,323.39999999999645,409.9999999999844,280.26666666666347,268.08333333332484,407.333333333342,inf,899.9999999999792,1050.0000000000223,318.00000000000676,347.0999999999965,438.80000000000484,308.99999999999955,249.81818181818093,474.9999999999892,600.0000000000128,611.9999999999859,547.9999999999874,313.16666666667334,482.25000000001546,401.9999999999966,220.47619047618912,248.02499999999736,396.13333333333503
Variation,Structure,inf,inf,inf,inf,inf,inf,106.75000000000131,81.7500000000002,80.74999999999991,30.99999999999999,18.75000000000001,13.500000000000007,52.99999999999979,34.462426078176804,23.871428571428584,88.21196493037593,41.93406308938283,32.633704735376,15.999999999999986,9.3202875399361,7.999999999999998,29.907881002087684,18.393162393162406,13.901028547439129,45.5,26.681602192662304,19.40173947279498
Variation,Estimated Number of Acyclic Paths,inf,inf,inf,inf,inf,inf,2.2449724197850913,2.244972419785089,2.244972419785089,4.944022916789695,2.244972419785089,1.3553793395638642,2.2449724197850864,0.7897246750162827,0.661425341982549,1.8001758796744758,0.4731963441286545,0.24905062487717028,2.244972419785089,1.355379339563863,0.7151531998756948,1.0063283326653112,0.49506133730809043,0.26628180056685125,0.6614253419825489,0.17907258783719787,0.0912189644867755
Variation,Number of Ties in Paths to Goal,inf,inf,inf,1.1409505480712911,0.588393421884883,0.39628862106765605,1.0615553558949786,0.5386139519542337,0.3600318881359567,2.708333333333333,1.9375,1.2916666666666665,1.143588234220421,0.5894399678231168,0.39710429513821166,1.0590274279518512,0.5386452642869615,0.35947016465072035,2.7,1.5,1.0454545454545454,1.1448065943768246,0.5866504276107343,0.3947153191857092,1.0526471712538226,0.5398803552828035,0.3604227592439848
Variation,Lempel-Ziv Complexity,1.6711711711711712,0.9039343009931244,0.6361013903338693,1.4013095799905615,0.730988909426987,0.5084874675885911,1.4266606706925349,0.7527888621883199,0.5235756956388079,1.6243001119820828,0.8733285790693528,0.6016675351745701,1.4022683885457607,0.7302201834862385,0.5068147190544346,1.428513091520538,0.7526789785681715,0.5218391911410688,1.5119047619047619,0.7924813780260708,0.557374674007534,1.3946998946998947,0.7257326007326007,0.5055111863331041,1.4222412465822516,0.749074074074074,0.5215448647325254
Distance,Average Affinity,1178.1824158468653,1071.160460066101,1054.6533116769347,377.4437718542862,349.9039927637625,322.01818772659965,341.27398815889495,272.9920668185056,291.0462808747468,736.6433517485618,504.8076923076927,599.9999999999462,357.19744936109856,311.0570889707279,284.5990041506527,455.20125015642,418.14626765723983,267.47996364540995,494.50665131435596,536.9504689834812,598.348167646351,482.68801331299426,388.40164685024854,359.2813008587326,429.5614777901979,364.50489842882484,301.08738016121697
Distance,Deviation from Random,1023.7583814513266,914.6174041087999,695.0609631969617,317.2008528557706,283.9837759170315,261.01572911521146,308.83193310234947,264.66920360201925,237.13193918949867,672.8313687156467,580.6504051544239,549.8072231614535,389.4063782145546,307.1625159011345,287.93550567993947,362.8137496440561,267.6828581582423,287.74101614808114,612.7697186355895,649.9295910748315,454.9537825869069,414.1838337940668,441.69905443381833,380.6286597095621,349.82772329632417,313.13633345805954,289.74934412673724
Distance,Average Edit Distance,136.77196885428432,101.08776402039301,105.11237428946143,91.85077276744619,106.89884377966084,109.84888864969415,124.64358157864493,184.70915627522635,122.81499943826542,95.6253913043466,82.6485699224275,100.73796832303024,84.70477980569677,109.83961567123568,105.21970112846171,136.87758229039025,167.89091031180493,112.79745909578702,119.963845294566,126.5025093796261,137.3760606411426,114.40276541127969,119.6107481050668,137.55119792682865,150.71478040689567,134.87388113829755,109.44319551842051
Graph Entropy,Sequence Entropy,0.9384968907006492,0.4758643142264772,0.3108852846263497,0.7821277231487185,0.3784323024006372,0.24613866468301648,0.7612067141101133,0.36323120967537054,0.2343014601539449,0.9301380944759333,0.4635809166467762,0.30831782919451756,0.7836992746399725,0.3789138216208582,0.24652542306981517,0.7630180589309056,0.36385942034639185,0.23419297972913983,0.9139595945747393,0.4593929774649549,0.3045047685064287,0.7857075063395678,0.3780428183091923,0.2470013881752983,0.7610957329033796,0.3627953582375627,0.23444148784246926
Graph Entropy,Normalized Sequence Entropy,10.707355552932745,7.152859628404078,6.089503233847239,28.047821263257184,19.42283223183567,15.029873606624555,22.045964493002963,16.155800361911886,13.99941767928836,10.615633937087978,7.395186457314377,5.8849764348747575,29.533929414775145,19.340025982031364,15.319661188519547,21.31298641512947,15.69592755866989,13.901323814013661,12.191790650794738,7.923010482888474,6.551207934016453,29.377814140241366,19.3275799333181,15.285540178648745,21.45825350184434,15.814342708866391,13.656718968034784
Graph Entropy,Variant Entropy,5.838405911774962,inf,3.2591209024662193,0.9676159667776771,0.494591931233983,0.32935455467320207,0.865574882240036,0.42625228695836087,0.2804861592446986,1.8786796282839466,0.9917168882346571,0.7360153318529687,0.9616198931172663,0.4903193089956332,0.3277669447087821,0.8616909127877586,0.42436109587520293,0.2799490165209861,1.7616413949097236,0.9466510701141607,0.6033654345129855,0.9493792462018673,0.486798108900916,0.3250582914772691,0.8599644501876291,0.42113015106965634,0.2794442975875395
Graph Entropy,Normalized Variant Entropy,37.016274474903916,inf,29.357865142209608,15.064483011432944,10.064576143787866,8.293989153851582,13.671783695512284,9.207427750257752,7.444947284645188,15.539768337570944,8.12524325352108,5.335434610382098,15.35716267040512,10.225458467559738,8.396418489206546,13.674563002404597,9.181250704423745,7.42886577309285,11.635326270116677,7.294523137617676,5.65571510854617,15.382311676018443,10.227950456631321,8.418091729470039,13.64952999398907,9.208133626156837,7.474439458729972
