Noise Level,,None,None,None,None,None,None,None,None,None,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High
Model Complexity,,Simple,Simple,Simple,Middle,Middle,Middle,Complex,Complex,Complex,Simple,Simple,Simple,Middle,Middle,Middle,Complex,Complex,Complex,Simple,Simple,Simple,Middle,Middle,Middle,Complex,Complex,Complex
Window Size,,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200,100,150,200
Dimension,Metric,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Number of Events,1.0,2.0,3.0,1.007740605828221,2.003137112590145,3.0109844523460922,1.0022971798984228,2.0034934497816597,3.0000447168118702,1.0,2.0,3.0,1.0090407386475833,2.0043831168831168,3.0102523879244227,1.00377738671444,2.0054501858616116,2.9976459510357816,1.0,2.0,3.0,1.008276959227018,2.0057499877172007,3.013601170185419,1.0029177998156806,2.006225275484682,2.999292786421499
Size,Number of Traces,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
Size,Number of Distinct Activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043402777777777776
Size,Number of Distinct Traces,0.0,0.0,0.0,0.743421052631579,1.3738095238095238,1.9337719298245615,0.802439024390244,1.5471544715447156,2.2583333333333333,0.38181818181818183,0.5,0.7840909090909092,0.7171428571428571,1.3616298811544991,1.9642857142857144,0.802439024390244,1.5810298102981029,2.2980072463768115,0.3333333333333333,0.6666666666666666,0.9545454545454546,0.7293447293447293,1.3935483870967742,1.9758064516129032,0.8408268733850129,1.6023255813953488,2.329710144927536
Size,Number of Distinct Directly-Follows Relations,0.0,0.0,0.0,0.0,0.0,0.0,0.0459830866807611,0.05808080808080808,0.06439393939393939,0.12698412698412698,0.26785714285714285,0.375,0.10660218671152229,0.1846590909090909,0.25,0.08695652173913043,0.1647342995169082,0.2554347826086957,0.21825396825396826,0.34523809523809523,0.5714285714285714,0.1383442265795207,0.23636363636363636,0.3188405797101449,0.15037593984962405,0.26607142857142857,0.37064393939393936
Size,Min. Trace Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.18333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
Size,Avg. Trace Length,0.0,0.0,0.0,0.00776638529528707,0.0050151773351795005,0.006653487548684013,0.007942194595399377,0.006024695133606116,0.006629843880680211,0.0,0.0,0.0,0.0081665042182862,0.004604142469996064,0.0068909875270862595,0.008312228066757542,0.006241441341581842,0.006750312789120199,0.0,0.0,0.0,0.008690088080530824,0.0055042036978984335,0.007264018112262983,0.007600316016157581,0.0059854054903559235,0.006782312143306277
Size,Max. Trace Length,0.0,0.0,0.0,0.15384615384615385,0.25202702702702706,0.3076923076923077,0.14724480578139115,0.23665973665973666,0.30249480249480254,0.0,0.0,0.0,0.15384615384615385,0.25202702702702706,0.3076923076923077,0.14724480578139115,0.23665973665973666,0.30249480249480254,0.0,0.16666666666666666,0.16666666666666666,0.15587044534412955,0.25202702702702706,0.3057153127246585,0.14724480578139115,0.23665973665973666,0.30249480249480254
Variation,Percentage of Distinct Traces,0.5,0.6666666666666666,0.75,0.1282894736842105,0.20873015873015877,0.2665570175438596,0.09878048780487798,0.1509485094850949,0.18541666666666662,0.3090909090909091,0.5,0.5539772727272727,0.1414285714285714,0.21279003961516696,0.25892857142857145,0.09878048780487798,0.13965672990063233,0.17549818840579706,0.3333333333333333,0.44444444444444503,0.5113636363636364,0.13532763532763536,0.20215053763440866,0.2560483870967742,0.07958656330749356,0.1325581395348837,0.16757246376811596
Variation,Average Distinct Activities per Trace,0.0,0.0,0.0,0.0027760853008377906,0.0031200796517551433,0.0024395468392994072,0.003584388300774895,0.0038463193939626945,0.0024557877813504297,0.0,0.0011111111111111367,0.0009545454545454343,0.0031461785802621147,0.002882153070477015,0.0022815380519782854,0.0032389937106918247,0.004007209477312911,0.002105347138500865,0.0016666666666666312,0.0016346153846154223,0.0018248175182482172,0.003193340720447509,0.0020758274254573886,0.002487623762376258,0.004536991670749661,0.004047101555692658,0.0025299403237233568
Variation,Structure,0.0,0.0,0.0,0.0,0.0,0.0,0.009589902528859441,0.0122325303007631,0.012384969325153388,0.032258064516129045,0.05334281650071121,0.07407407407407404,0.018928571428571503,0.029219889796812892,0.041896499849563715,0.011477645824744111,0.023850427479862737,0.03064702620123895,0.06250000000000006,0.10733273239022062,0.12500000000000003,0.03353906213419487,0.05437226812198385,0.07193721400735942,0.021983225108225108,0.037492163387345706,0.05166785552935109
Variation,Estimated Number of Acyclic Paths,0.0,0.0,0.0,0.0,0.0,0.0,0.445439770745927,0.44543977074592744,0.44543977074592744,0.20226443461741284,0.44543977074592744,0.7378008287493754,0.4454397707459279,1.3005912811818094,1.5118864315095806,0.5916202997476514,2.1983498118284053,4.027345532473709,0.4454397707459274,0.737800828749376,1.406238856345694,1.0014223053278726,2.019951720402016,3.8066164624496928,1.511886431509581,5.599321189311916,11.073674673497958
Variation,Number of Ties in Paths to Goal,0.0,0.0,0.0,0.8766555226951267,1.6996072036685015,2.5234920032745642,0.9420144133449679,1.8566402905515509,2.777700988843311,0.3693181818181818,0.5166666666666666,0.775,0.874648811455814,1.6966690741474202,2.5182955475779387,0.9442635924198999,1.8565187720646317,2.7821057741047426,0.3704268292682927,0.6666666666666666,0.9583333333333333,0.8735951875442322,1.7045968705953718,2.533753999465087,0.9499862007106634,1.8522640306122449,2.774582114671329
Variation,Lempel-Ziv Complexity,0.5983870967741935,1.1063581112669472,1.572113136979897,0.7136205239125211,1.368012314930123,1.9667308515190416,0.700938060247961,1.3283958061817969,1.9099616084057385,0.6156621392190154,1.1450444132772324,1.6627304147465438,0.7131304824561404,1.3694580941762673,1.9731629278113316,0.7000306055184105,1.3285877780991786,1.9163012729844413,0.6614583333333333,1.2618606375092662,1.7943097014925373,0.7170001299207484,1.3779185295578738,1.9783283656234476,0.7031181306963956,1.334983498349835,1.9174167416741674
Distance,Average Affinity,0.0008537297625706366,0.0009469559736613995,0.0009548249759557658,0.002683177167789744,0.002858453143432379,0.0031067176047759925,0.0029313333703401656,0.003663170374166026,0.003449728886807469,0.0014520471544771656,0.001984126984126977,0.0016666666666668162,0.0028190793787645696,0.0032194644199610026,0.003520061470878971,0.0022122088164619382,0.0024093776380960004,0.003738831251868672,0.0020223976084218667,0.0018655747950167962,0.0017078715125931356,0.002075310887588806,0.002577133334441902,0.002784428450900423,0.0023354462052605444,0.0027441072057042114,0.0033275016633002768
Distance,Deviation from Random,0.000978777992966565,0.001128513416739236,0.0014387247777512262,0.003152584732780082,0.0035213907944820176,0.0038356983681772446,0.0032380224829574563,0.003780164422046291,0.004217420279570627,0.001505012296306708,0.001723909606740763,0.0018190647561402372,0.002568494990094445,0.003261203667711204,0.003483193753813549,0.002757348329139895,0.0037375560303861887,0.003482796315366548,0.0016323388504961092,0.0015510777760751847,0.002198025466821165,0.0024148688729003377,0.002268789053917716,0.0026376435124155963,0.0028690782042382406,0.003195534467222067,0.003476049894547263
Distance,Average Edit Distance,0.007311439678589341,0.009892394096265343,0.009513627741355854,0.010892892959121818,0.009359628572329508,0.009113545945848615,0.008111086872829376,0.005421141209205074,0.008142439166113248,0.010457473547138786,0.01210515379756582,0.009947578150627308,0.011810750371740359,0.00918234755207599,0.00954065012051706,0.007307629575470535,0.006166963288996444,0.008929035440791464,0.00834463464275477,0.007910687212649434,0.007289710305709211,0.008747519082098375,0.00847114645851556,0.007296898712351316,0.006644061305721278,0.007414362551509441,0.009262989423647151
Graph Entropy,Sequence Entropy,1.0655336313937436,2.1014393601367467,3.2166205653699285,1.2785636318955658,2.6424855265614537,4.062900878849586,1.313704282539989,2.7530927056305594,4.268018780390523,1.0751091756578672,2.1571207185000376,3.2434108566052964,1.276014852404293,2.6391550385282105,4.056618602770789,1.3105852721942455,2.748360123821149,4.270001018524679,1.0941405012436607,2.176785715502365,3.2840423295051346,1.2727417010791373,2.6452071042738607,4.048751281214564,1.313896794620601,2.756385687688134,4.265476988752806
Graph Entropy,Normalized Sequence Entropy,0.09339374181201072,0.1398042254357949,0.16421700779165493,0.03566795232441704,0.05183460458960068,0.0665356091420293,0.045361687460355495,0.06193616928139786,0.07143784661591099,0.09420068607549541,0.13522309488368983,0.1699248518039699,0.03386210025479938,0.052083112477354546,0.0653191530403938,0.04702473465629155,0.06373021288204983,0.07195364778744345,0.08202688147257858,0.12621466200426595,0.15264376809115038,0.034063154657935364,0.05213661671014794,0.06548531762949764,0.04660484644440511,0.06339428787262544,0.07324584982714323
Graph Entropy,Variant Entropy,0.1712796292534558,0.0,0.30683120691941407,1.0335770184330126,2.0219597455564786,3.0364195108147007,1.1557030907845474,2.3461913093204165,3.5652389615161066,0.5322887335045177,1.0083522947563064,1.3592148673075237,1.0399660958064751,2.039610753971281,3.051180376532346,1.1606864861288426,2.356483703551162,3.5720809510997302,0.5677184260313395,1.0563560810824413,1.6739294878122957,1.0533856101467851,2.054274686397816,3.076371555713988,1.1630633725104118,2.374563059128759,3.5786173630351494
Graph Entropy,Normalized Variant Entropy,0.02701514439758043,0.0,0.03406242228976788,0.06638231009862293,0.0993610438707363,0.12061528370184857,0.07314347488861209,0.108607969420886,0.13432578433752096,0.06435102366244877,0.12307323840017333,0.1968723384477558,0.06513283494482387,0.09781244984048387,0.11919970881650985,0.07312893277511553,0.10892036972914212,0.13461597252223517,0.0859919126665912,0.13811879469595395,0.17998666147746767,0.06501047972415432,0.09777306214751146,0.11884625743858959,0.07326862360649355,0.10859965082081131,0.13379433565273693
