Noise Level,,None,None,None,None,None,None,None,None,None,None,None,None,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High,High,High,High
Model Complexity,,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex
Window Size,,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200
Dimension,Metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Number of Events,0.0,0.0,0.0,0.0,0.08653390676846087,0.0607322958626606,0.05085677934529373,0.04275482462316986,0.11076617653287613,0.07685862585748648,0.06101948888022441,0.05143048153360776,0.002670070874605973,0.001879222432241205,0.0015261312245226206,0.0013141145389023914,0.08674810342585049,0.060840740844797125,0.05065666117092793,0.04259912103495517,0.11085018018305764,0.07685797709368392,0.061101469380181864,0.05139599365887711,0.0037293662027300177,0.002692220862666649,0.002190713652460533,0.001842090540404007,0.08647066409663992,0.06067315391071338,0.05072661547718299,0.04250509527547551,0.11077270594063707,0.07683296562859597,0.06103774512376392,0.051389585227279974
Size,Number of Traces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Size,Number of Distinct Activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035485793160842466,0.05033950706599139,0.06177984307315206,0.06890947255261545,0.026522716482655223,0.034151502618701465,0.04291435919129087,0.046703355525128845,0.02377869725407762,0.031061257252967836,0.037812916832557115,0.043671768840066336,0.057075253558679026,0.08065350718259139,0.09276013275423536,0.10404143244992642,0.03691191238531327,0.051178130511402645,0.06026687408974728,0.06736710594103185,0.031694402479062085,0.041068930222876276,0.04605307803082314,0.05471299363108652
Size,Number of Distinct Traces,0.005897471069112151,0.0,0.0,0.0,0.10278734350259819,0.08570845730689793,0.08031304074127504,0.06924304736131895,0.08046875017842806,0.06837991259899304,0.05551629640917514,0.05118352253346068,0.18826866151861496,0.1917813963243516,0.20799205330220988,0.20618967800953816,0.10417253532267462,0.08627456376210779,0.08161106375834494,0.07014490895973674,0.08051208169323412,0.06712621749804334,0.055294678648140555,0.05086699682857805,0.2528102781025624,0.25170158903904427,0.24044644723874056,0.2320244225083351,0.10774891269094847,0.09066088715644123,0.07973173669971192,0.07347456816305283,0.08056807972874083,0.06635178330272812,0.05496189993006001,0.050780043658854024
Size,Number of Distinct Directly-Follows Relations,0.0,0.0,0.0,0.0,0.04932248035230997,0.016478140137117063,0.005015841730905116,0.0,0.04535696819715595,0.03175139498049547,0.0203809315964944,0.012970589452434175,0.17269130888335366,0.19618837488288346,0.21696937485353215,0.22140978465757893,0.100721069882163,0.11550444131201432,0.135535550977361,0.14250430193515487,0.10211899010722136,0.10220564466221557,0.12386503748835809,0.14129088635674614,0.22532748584782708,0.23337837005417184,0.2335320053616795,0.21537266688755052,0.11285750576158957,0.13801861200496857,0.1494856027338845,0.1452494795799107,0.10037254941387143,0.11891018250646465,0.12945481192591007,0.13806360086849476
Size,Min. Trace Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08367818618541434,0.10470839847616412,0.12170192833180152,0.1296991102751316,0.038772299356189976,0.056375030604421845,0.0653851396533732,0.07748007647908807,0.03520987749730296,0.04702426177868814,0.05387917912859959,0.057358508490668356,0.10034438655918498,0.1229865734532282,0.13190019297357014,0.13434722322483572,0.06432629960023853,0.07910877825498353,0.09177953844347393,0.10404775104110675,0.0566120085339957,0.06653709058305615,0.0759584248380655,0.08853221858826357
Size,Avg. Trace Length,0.0,0.0,0.0,0.0,0.08653390676846087,0.06073229586266066,0.050856779345293715,0.042754824623169894,0.11076617653287618,0.07685862585748653,0.061019488880224446,0.05143048153360774,0.0026700708746059364,0.0018792224322411635,0.001526131224522638,0.0013141145389023638,0.08674810342585051,0.06084074084479718,0.05065666117092788,0.04259912103495518,0.11085018018305759,0.0768579770936839,0.06110146938018187,0.051395993658877086,0.0037293662027299427,0.00269222086266662,0.0021907136524605426,0.0018420905404039646,0.08647066409663992,0.0606731539107134,0.05072661547718296,0.04250509527547551,0.11077270594063696,0.07683296562859597,0.061037745123763906,0.051389585227279974
