Noise Level,,None,None,None,None,None,None,None,None,None,None,None,None,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High,High,High,High
Model Complexity,,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex
Window Size,,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200
Dimension,Metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Number of Events,inf,inf,inf,inf,11.556414442423804,16.46606284399216,19.663169898937767,23.392411854818327,9.0347770841466,13.129209035012947,16.40567277363804,19.443777257135473,374.52191296604434,532.14180528211,655.2517273135836,760.968675405757,11.527780520075336,16.436950415425628,19.741436352082808,23.477160968343135,9.028687842792692,13.127439764156318,16.384983732299872,19.456769710514866,268.1434644596264,371.6173190851706,456.47313889520217,543.8438939006471,11.564907933022077,16.481929248256666,19.713921418004045,23.527999650583837,9.03462515221049,13.130346883255593,16.40080053699804,19.459205423568108
Size,Number of Traces,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Size,Number of Distinct Activities,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.207705197792652,19.865113074887155,16.188873192219226,14.512705492319622,37.708815605279455,29.28155310083971,23.302623572754705,21.41422852634028,42.05464047310281,32.19612231998755,26.46168813323625,22.902006171393907,17.52122610373238,12.39872502224889,10.780555862881066,9.6117510029278,27.091879285894112,19.53959623308271,16.595390279998448,14.84436024020588,31.55289345402374,24.349332493245463,21.71461000321161,18.277234657489444
Size,Number of Distinct Traces,inf,inf,inf,inf,9.7358177664671,11.669364761718912,12.452252777290326,14.445073758090842,12.427361489322916,14.758842636961578,18.09627532038452,19.64497933265548,5.311870799626957,5.231649821813898,4.8085741681738146,4.8716504154961795,9.600553084843483,11.59101290247315,12.255856031228195,14.267786592462883,12.420956655157639,14.988066932944463,18.172741092564344,19.765966618218187,3.999910902029199,3.995328898148429,4.29683382681453,4.3594917920477325,9.280990811064072,11.030215065901551,12.542355533260107,13.610912360462816,12.411939465296548,15.157843522733359,18.2648750464387,19.798311869189604
Size,Number of Distinct Directly-Follows Relations,inf,inf,inf,inf,20.28230416235311,64.94756585114044,205.3370474876687,inf,22.128473194461684,31.73311538235886,52.58037217877828,95.1346527406197,5.8238539521045976,5.103736157468659,4.610761891632457,4.517601561966707,9.93322846688406,8.748082048116913,7.383993461847225,7.050640094617652,9.79350540992781,9.785341906270446,8.074025949239147,7.077631623097835,4.438645799568375,4.284892423934162,4.283178335483787,4.643117866710833,8.865060168986195,7.2468221250686415,6.691212444411523,6.886378252628987,9.966703947182264,8.450535078722554,7.732378182894836,7.245841879103571
Size,Min. Trace Length,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11.967307106911834,9.559133481748475,8.223124458282667,7.713013141940699,25.863982012296113,17.744630525346302,15.351331943360858,12.91089124108926,28.4023764776543,21.495176325773393,18.56007601936489,17.476305598038646,9.968262395812697,8.13097029804503,7.581945758504126,7.4486920664274,15.578464113730274,12.688600350657037,10.899244323962485,9.611074344918292,17.763841915873414,15.0755796438036,13.18633322356365,11.295882721724857
Size,Avg. Trace Length,inf,inf,inf,inf,11.556414442423804,16.466062843992148,19.66316989893777,23.392411854818306,9.034777084146596,13.129209035012941,16.405672773638035,19.44377725713548,374.5219129660494,532.1418052821218,655.2517273135762,760.9686754057731,11.527780520075334,16.436950415425613,19.74143635208283,23.477160968343128,9.0286878427927,13.127439764156318,16.384983732299872,19.456769710514873,268.1434644596318,371.6173190851746,456.47313889520024,543.8438939006597,11.564907933022077,16.481929248256655,19.713921418004055,23.527999650583844,9.034625152210499,13.130346883255594,16.40080053699804,19.459205423568108
