Metric,Sample Size,Mean Value,Sample CI Low,Sample CI High,Sample CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,50,0.5691900733280325,0.505475436581559,0.7551673970020906,0.43867940099621244,-0.00938798361181819,0.5068955686949567,0.02044174595575475,0.1483906771053785,50.0,True
Average Affinity,100,0.5679587054382206,0.5110596520763188,0.7435899255906829,0.40941404945092,-0.00938798361181819,0.5068955686949567,0.02044174595575475,0.1483906771053785,50.0,True
Average Affinity,150,0.5671783504459746,0.513343219345904,0.7459167865132628,0.4100536753289071,-0.00938798361181819,0.5068955686949567,0.02044174595575475,0.1483906771053785,50.0,True
Average Affinity,200,0.5666904891919917,0.5153716678631252,0.7268575684156715,0.37319472372668683,-0.00938798361181819,0.5068955686949567,0.02044174595575475,0.1483906771053785,50.0,True
Average Affinity,250,0.5609857359249407,0.5159404609781116,0.6929591394148018,0.31554933949403496,-0.00938798361181819,0.5068955686949567,0.02044174595575475,0.1483906771053785,50.0,True
Average Affinity,300,0.568981881395577,0.5157849175180694,0.7430486557725683,0.39942174906707933,-0.00938798361181819,0.5068955686949567,0.02044174595575475,0.1483906771053785,50.0,True
Average Affinity,350,0.5689613778023496,0.5158199827790803,0.7266256107062093,0.3705095568022202,-0.00938798361181819,0.5068955686949567,0.02044174595575475,0.1483906771053785,50.0,True
Average Affinity,400,0.5675501722587494,0.5171695577779224,0.7094985075423044,0.3388756786011477,-0.00938798361181819,0.5068955686949567,0.02044174595575475,0.1483906771053785,50.0,True
Average Affinity,450,0.5680544851941481,0.5166325610633145,0.7342842006696868,0.38315275256031817,-0.00938798361181819,0.5068955686949567,0.02044174595575475,0.1483906771053785,50.0,True
Average Affinity,500,0.5635766825443094,0.5162306689352734,0.7185973622569809,0.359075702720893,-0.00938798361181819,0.5068955686949567,0.02044174595575475,0.1483906771053785,50.0,True
Average Distinct Activities per Trace,50,3.67748,2.4885000000000006,4.811499999999999,0.6316825652348886,0.002811094653810537,0.8424777866779204,0.005041215497797658,0.7215553286116143,50.0,True
Average Distinct Activities per Trace,100,3.70308,2.80425,4.91,0.5686482603670459,0.002811094653810537,0.8424777866779204,0.005041215497797658,0.7215553286116143,50.0,True
Average Distinct Activities per Trace,150,3.68292,2.715166666666667,4.8901666666666666,0.5905640089928642,0.002811094653810537,0.8424777866779204,0.005041215497797658,0.7215553286116143,50.0,True
Average Distinct Activities per Trace,200,3.689,2.602375,4.810499999999999,0.5985700731905664,0.002811094653810537,0.8424777866779204,0.005041215497797658,0.7215553286116143,50.0,True
Average Distinct Activities per Trace,250,3.67564,2.8895,4.576999999999999,0.45910372071258315,0.002811094653810537,0.8424777866779204,0.005041215497797658,0.7215553286116143,50.0,True
Average Distinct Activities per Trace,300,3.7045666666666666,2.7496666666666667,4.872083333333332,0.5729190098706999,0.002811094653810537,0.8424777866779204,0.005041215497797658,0.7215553286116143,50.0,True
Average Distinct Activities per Trace,350,3.6981599999999997,2.6525000000000003,4.806,0.5823166115040993,0.002811094653810537,0.8424777866779204,0.005041215497797658,0.7215553286116143,50.0,True
Average Distinct Activities per Trace,400,3.667415,2.6035625000000002,4.6889375,0.5686225856631986,0.002811094653810537,0.8424777866779204,0.005041215497797658,0.7215553286116143,50.0,True
Average Distinct Activities per Trace,450,3.6924977777777777,2.670833333333334,4.877222222222221,0.5975328955287111,0.002811094653810537,0.8424777866779204,0.005041215497797658,0.7215553286116143,50.0,True
Average Distinct Activities per Trace,500,3.696556,2.8169000000000013,4.8390499999999985,0.5470362142491544,0.002811094653810537,0.8424777866779204,0.005041215497797658,0.7215553286116143,50.0,True
Average Edit Distance,50,2.0087542857142857,1.0716530612244906,2.4396530612244898,0.6810190821888188,0.0068026600323689845,0.6305833091751175,0.0031993490262496307,0.8210675270488764,50.0,True
Average Edit Distance,100,2.017249696969697,1.2420959595959602,2.362050505050505,0.5551888529897588,0.0068026600323689845,0.6305833091751175,0.0031993490262496307,0.8210675270488764,50.0,True
Average Edit Distance,150,2.011197673378076,1.258308724832215,2.3313534675615215,0.5335351949403283,0.0068026600323689845,0.6305833091751175,0.0031993490262496307,0.8210675270488764,50.0,True
Average Edit Distance,200,2.0162750753768846,1.3029070351758794,2.296777638190955,0.4929241129607774,0.0068026600323689845,0.6305833091751175,0.0031993490262496307,0.8210675270488764,50.0,True
Average Edit Distance,250,2.0381008192771084,1.4312120481927713,2.302681927710843,0.4275891905225632,0.0068026600323689845,0.6305833091751175,0.0031993490262496307,0.8210675270488764,50.0,True
Average Edit Distance,300,2.00148878483835,1.343022853957637,2.2749147157190635,0.465599342259962,0.0068026600323689845,0.6305833091751175,0.0031993490262496307,0.8210675270488764,50.0,True
Average Edit Distance,350,2.0009134997953337,1.3443888661481787,2.281228407695456,0.46820591776861087,0.0068026600323689845,0.6305833091751175,0.0031993490262496307,0.8210675270488764,50.0,True
Average Edit Distance,400,2.004145664160401,1.3219176065162908,2.2880404135338344,0.4820621695790173,0.0068026600323689845,0.6305833091751175,0.0031993490262496307,0.8210675270488764,50.0,True
Average Edit Distance,450,2.019075357584756,1.3157750556792873,2.2800049492699825,0.47756013165557104,0.0068026600323689845,0.6305833091751175,0.0031993490262496307,0.8210675270488764,50.0,True
Average Edit Distance,500,2.032183983967936,1.366546092184369,2.2874450901803605,0.4531572954324206,0.0068026600323689845,0.6305833091751175,0.0031993490262496307,0.8210675270488764,50.0,True
Avg. Trace Length,50,3.73444,2.5085000000000006,4.84,0.6243238611411615,0.0012206403568216816,0.9312352843623184,0.00346157909569133,0.8066808772155445,50.0,True
Avg. Trace Length,100,3.7576199999999997,2.8342500000000004,4.94525,0.5617917724517113,0.0012206403568216816,0.9312352843623184,0.00346157909569133,0.8066808772155445,50.0,True
Avg. Trace Length,150,3.7364133333333336,2.758666666666667,4.987,0.5963829840381684,0.0012206403568216816,0.9312352843623184,0.00346157909569133,0.8066808772155445,50.0,True
Avg. Trace Length,200,3.7422199999999997,2.642375,4.879124999999998,0.5977067088519645,0.0012206403568216816,0.9312352843623184,0.00346157909569133,0.8066808772155445,50.0,True
Avg. Trace Length,250,3.725008,2.9118,4.6423,0.46456276067058105,0.0012206403568216816,0.9312352843623184,0.00346157909569133,0.8066808772155445,50.0,True
