Metric,Sample Size,Sample ID,Value,Bootstrap CI Low,Bootstrap CI High
Average Affinity,50,0,0.6221963070942663,,
Average Affinity,50,1,0.6648707482993198,,
Average Affinity,50,10,0.611016520894072,,
Average Affinity,50,100,0.6469426627793974,,
Average Affinity,50,101,0.6155102040816327,,
Average Affinity,50,102,0.5882993197278912,,
Average Affinity,50,103,0.5964081632653061,,
Average Affinity,50,104,0.6500408163265307,,
Average Affinity,50,105,0.7168513119533528,,
Average Affinity,50,106,0.6848746355685131,,
Average Affinity,50,107,0.6382857142857143,,
Average Affinity,50,108,0.7112575315840621,,
Average Affinity,50,109,0.6109387755102041,,
Average Affinity,50,11,0.5570612244897959,,
Average Affinity,50,110,0.6433974732750244,,
Average Affinity,50,111,0.6382740524781341,,
Average Affinity,50,112,0.6533916423712343,,
Average Affinity,50,113,0.6856248785228377,,
Average Affinity,50,114,0.6042759961127309,,
Average Affinity,50,115,0.6682682215743438,,
Average Affinity,50,116,0.5828493683187562,,
Average Affinity,50,117,0.6048824101068998,,
Average Affinity,50,118,0.6610962099125365,,
Average Affinity,50,119,0.6693644314868804,,
Average Affinity,50,12,0.6193430515063169,,
Average Affinity,50,120,0.6561943634596694,,
Average Affinity,50,121,0.709271137026239,,
Average Affinity,50,122,0.612466472303207,,
Average Affinity,50,123,0.6839727891156463,,
Average Affinity,50,124,0.6370068027210883,,
Average Affinity,50,125,0.6161749271137025,,
Average Affinity,50,126,0.6883498542274054,,
Average Affinity,50,127,0.6433974732750243,,
Average Affinity,50,128,0.6027910592808552,,
Average Affinity,50,129,0.6350903790087463,,
Average Affinity,50,13,0.6845092322643344,,
Average Affinity,50,130,0.6437862001943635,,
Average Affinity,50,131,0.6287891156462585,,
Average Affinity,50,132,0.707008746355685,,
Average Affinity,50,133,0.5946666666666667,,
Average Affinity,50,134,0.6429465500485908,,
Average Affinity,50,135,0.6658853255587949,,
Average Affinity,50,136,0.5889251700680271,,
Average Affinity,50,137,0.645667638483965,,
Average Affinity,50,138,0.6929679300291546,,
