Metric,Sample Size,Mean Value,Sample CI Low,Sample CI High,Sample CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,50,0.8803502040816327,0.8726530612244898,0.8971428571428571,0.027818243018316414,-0.00166981332631598,0.9060326416024113,0.10451241063775701,1.2764775984730366e-13,50.0,True
Average Affinity,100,0.8806576767676768,0.8739393939393939,0.8939393939393939,0.02271029995833006,-0.00166981332631598,0.9060326416024113,0.10451241063775701,1.2764775984730366e-13,50.0,True
Average Affinity,150,0.8804592393736018,0.8747203579418344,0.8917002237136465,0.019285237762843327,-0.00166981332631598,0.9060326416024113,0.10451241063775701,1.2764775984730366e-13,50.0,True
Average Affinity,200,0.8804491708542714,0.875389447236181,0.8888944723618091,0.015338790213777626,-0.00166981332631598,0.9060326416024113,0.10451241063775701,1.2764775984730366e-13,50.0,True
Average Affinity,250,0.8804658473895582,0.8759584337349398,0.8876909638554217,0.013325366515086319,-0.00166981332631598,0.9060326416024113,0.10451241063775701,1.2764775984730366e-13,50.0,True
Average Affinity,300,0.8804252842809365,0.8761928651059085,0.8877086120401337,0.013079754909163435,-0.00166981332631598,0.9060326416024113,0.10451241063775701,1.2764775984730366e-13,50.0,True
Average Affinity,350,0.8803867867376176,0.8766230045026606,0.8865779778960294,0.011307499775477327,-0.00166981332631598,0.9060326416024113,0.10451241063775701,1.2764775984730366e-13,50.0,True
Average Affinity,400,0.8802612844611528,0.8765641447368421,0.8855921052631579,0.010256000900735108,-0.00166981332631598,0.9060326416024113,0.10451241063775701,1.2764775984730366e-13,50.0,True
Average Affinity,450,0.8804584706755754,0.8770204776045534,0.8851769364018808,0.009263876797129292,-0.00166981332631598,0.9060326416024113,0.10451241063775701,1.2764775984730366e-13,50.0,True
Average Affinity,500,0.880598140280561,0.8772044088176353,0.8851382765531062,0.00900963489764257,-0.00166981332631598,0.9060326416024113,0.10451241063775701,1.2764775984730366e-13,50.0,True
Average Distinct Activities per Trace,50,7.0,7.0,7.0,0.0,,,,,50.0,True
Average Distinct Activities per Trace,100,7.0,7.0,7.0,0.0,,,,,50.0,True
Average Distinct Activities per Trace,150,7.0,7.0,7.0,0.0,,,,,50.0,True
Average Distinct Activities per Trace,200,7.0,7.0,7.0,0.0,,,,,50.0,True
Average Distinct Activities per Trace,250,7.0,7.0,7.0,0.0,,,,,50.0,True
Average Distinct Activities per Trace,300,7.0,7.0,7.0,0.0,,,,,50.0,True
Average Distinct Activities per Trace,350,7.0,7.0,7.0,0.0,,,,,50.0,True
Average Distinct Activities per Trace,400,7.0,7.0,7.0,0.0,,,,,50.0,True
Average Distinct Activities per Trace,450,7.0,7.0,7.0,0.0,,,,,50.0,True
Average Distinct Activities per Trace,500,7.0,7.0,7.0,0.0,,,,,50.0,True
Average Edit Distance,50,1.8214938775510203,1.3759183673469388,2.2443673469387755,0.47677842363074935,0.009581770917809037,0.4981650972582214,0.012927625275448154,0.36075321866389043,50.0,True
Average Edit Distance,100,1.8062157575757576,1.5011919191919192,2.0895454545454544,0.325738236357324,0.009581770917809037,0.4981650972582214,0.012927625275448154,0.36075321866389043,50.0,True
Average Edit Distance,150,1.8041428187919464,1.5810782997762864,2.0395615212527964,0.2541280084375528,0.009581770917809037,0.4981650972582214,0.012927625275448154,0.36075321866389043,50.0,True
Average Edit Distance,200,1.8143084422110554,1.6236608040201006,2.002241206030151,0.20866374933949114,0.009581770917809037,0.4981650972582214,0.012927625275448154,0.36075321866389043,50.0,True
Average Edit Distance,250,1.8158579277108433,1.6303293172690763,1.9801044176706828,0.19262250370134937,0.009581770917809037,0.4981650972582214,0.012927625275448154,0.36075321866389043,50.0,True
Average Edit Distance,300,1.8164353177257526,1.6655094760312152,1.9501527313266442,0.15670431670080792,0.009581770917809037,0.4981650972582214,0.012927625275448154,0.36075321866389043,50.0,True
Average Edit Distance,350,1.814771051985264,1.6936618911174786,1.9459623413835447,0.13902604958904471,0.009581770917809037,0.4981650972582214,0.012927625275448154,0.36075321866389043,50.0,True
Average Edit Distance,400,1.8200573934837094,1.6786459899749373,1.9289473684210525,0.137523893115822,0.009581770917809037,0.4981650972582214,0.012927625275448154,0.36075321866389043,50.0,True
Average Edit Distance,450,1.816230536995793,1.7072590942835932,1.9364058401385795,0.12616611227890454,0.009581770917809037,0.4981650972582214,0.012927625275448154,0.36075321866389043,50.0,True
Average Edit Distance,500,1.8116675430861724,1.6754160320641283,1.912980761523046,0.13113042200569908,0.009581770917809037,0.4981650972582214,0.012927625275448154,0.36075321866389043,50.0,True
Avg. Trace Length,50,12.51624,12.24,12.821,0.04641969153675541,0.012280797854605735,0.3852853138663647,0.04325106215398725,0.0022209297967774803,50.0,True
Avg. Trace Length,100,12.50744,12.34,12.7105,0.029622368766110397,0.012280797854605735,0.3852853138663647,0.04325106215398725,0.0022209297967774803,50.0,True
Avg. Trace Length,150,12.505066666666668,12.373333333333333,12.666666666666666,0.02345715869834091,0.012280797854605735,0.3852853138663647,0.04325106215398725,0.0022209297967774803,50.0,True
Avg. Trace Length,200,12.51202,12.39,12.65,0.020780017934753925,0.012280797854605735,0.3852853138663647,0.04325106215398725,0.0022209297967774803,50.0,True
Avg. Trace Length,250,12.513392,12.4,12.632,0.018540136838996118,0.012280797854605735,0.3852853138663647,0.04325106215398725,0.0022209297967774803,50.0,True
Avg. Trace Length,300,12.514133333333334,12.416500000000001,12.613333333333333,0.015728882543470768,0.012280797854605735,0.3852853138663647,0.04325106215398725,0.0022209297967774803,50.0,True
Avg. Trace Length,350,12.512502857142858,12.428571428571429,12.608714285714285,0.01439702825242676,0.012280797854605735,0.3852853138663647,0.04325106215398725,0.0022209297967774803,50.0,True
