Metric,Sample Size,Mean Value,Sample CI Low,Sample CI High,Sample CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,50,0.8414448979591836,0.7379081632653064,0.9666666666666666,0.2718639140319045,0.008285120219146302,0.558070384547597,0.002773661062078552,0.8445484938609098,50.0,True
Average Affinity,100,0.8437609427609427,0.7624579124579124,0.9200336700336701,0.18675403137308125,0.008285120219146302,0.558070384547597,0.002773661062078552,0.8445484938609098,50.0,True
Average Affinity,150,0.8448055182699478,0.7858967188665177,0.9053691275167786,0.14142001450810227,0.008285120219146302,0.558070384547597,0.002773661062078552,0.8445484938609098,50.0,True
Average Affinity,200,0.8439326633165829,0.7923366834170854,0.8981993299832497,0.12543968395551036,0.008285120219146302,0.558070384547597,0.002773661062078552,0.8445484938609098,50.0,True
Average Affinity,250,0.8445078982597055,0.7937349397590362,0.8939491298527442,0.11866578193078055,0.008285120219146302,0.558070384547597,0.002773661062078552,0.8445484938609098,50.0,True
Average Affinity,300,0.8441836120401338,0.7986622073578595,0.8816239316239317,0.09827450223249305,0.008285120219146302,0.558070384547597,0.002773661062078552,0.8445484938609098,50.0,True
Average Affinity,350,0.843658343566653,0.8056897257470323,0.8850593532541958,0.09407792634589514,0.008285120219146302,0.558070384547597,0.002773661062078552,0.8445484938609098,50.0,True
Average Affinity,400,0.8432633040935673,0.8048872180451128,0.8788734857978279,0.0877380379219083,0.008285120219146302,0.558070384547597,0.002773661062078552,0.8445484938609098,50.0,True
Average Affinity,450,0.8431971459209767,0.8042646209684071,0.8755829827600429,0.08458088613871993,0.008285120219146302,0.558070384547597,0.002773661062078552,0.8445484938609098,50.0,True
Average Affinity,500,0.8444888710754843,0.8062057448229794,0.8742885771543086,0.08062016524222937,0.008285120219146302,0.558070384547597,0.002773661062078552,0.8445484938609098,50.0,True
Average Distinct Activities per Trace,50,9.361600000000001,8.857000000000001,9.88,0.10927619210391382,0.007679561620790184,0.5871991777316777,-0.019648069703636594,0.16479776995466577,50.0,True
Average Distinct Activities per Trace,100,9.37192,8.98,9.7,0.0768252396520669,0.007679561620790184,0.5871991777316777,-0.019648069703636594,0.16479776995466577,50.0,True
Average Distinct Activities per Trace,150,9.376719999999999,9.099,9.64,0.05769608135894006,0.007679561620790184,0.5871991777316777,-0.019648069703636594,0.16479776995466577,50.0,True
Average Distinct Activities per Trace,200,9.37252,9.13,9.61,0.051213547690482246,0.007679561620790184,0.5871991777316777,-0.019648069703636594,0.16479776995466577,50.0,True
Average Distinct Activities per Trace,250,9.375183999999999,9.136,9.592,0.04863904537766953,0.007679561620790184,0.5871991777316777,-0.019648069703636594,0.16479776995466577,50.0,True
Average Distinct Activities per Trace,300,9.373719999999999,9.16,9.54,0.04053886824014362,0.007679561620790184,0.5871991777316777,-0.019648069703636594,0.16479776995466577,50.0,True
Average Distinct Activities per Trace,350,9.371405714285714,9.194285714285714,9.554285714285715,0.03841472784079974,0.007679561620790184,0.5871991777316777,-0.019648069703636594,0.16479776995466577,50.0,True
