Metric,Basis,Dimension,Log,Pearson Rho,Spearman Rho,Pearson P,Spearman P,n,N Pop,Delta Pearson Spearman,Shape,Preferred Correlation,RelCI 50,RelCI 250,RelCI 500,Plateau n,Plateau Found,Plateau Reached,Timestamp
Number of Events,OC,Length,O2C_S,0.9996845995,0.9950182103,0.0000000000,0.0000000000,5000,10000,0.0046663892,Linear,Pearson,0.1223450057,0.0544465650,0.0372531264,,False,N,2025-11-26T20:39:00.488966
Number of Events,OC,Length,CLAIM_S,0.9992481067,0.9949883586,0.0000000000,0.0000000000,5000,10000,0.0042597481,Linear,Pearson,0.1810971992,0.0856330714,0.0632782792,,False,N,2025-11-26T20:39:00.492843
Number of Events,OC,Length,LOAN_S,0.9996708592,0.9949882483,0.0000000000,0.0000000000,5000,10000,0.0046826109,Linear,Pearson,0.1319838437,0.0621424612,0.0399673703,,False,N,2025-11-26T20:39:00.496751
Number of Events,OC,Length,CREDIT_S,0.9999624612,0.9949997688,0.0000000000,0.0000000000,5000,10000,0.0049626924,Linear,Pearson,0.0464196915,0.0185401368,0.0116772159,,False,N,2025-11-26T20:39:00.500658
Number of Events,OC,Length,MEAN,0.9996415066,0.9949986465,0.0000000000,0.0000000000,5000,10000,0.0046428601,,,0.1204614350,0.0551905586,0.0380439979,,0 / 4,0 / 4,2025-11-26T20:39:00.855811
Number of Traces,OC,Length,O2C_S,1.0000000000,1.0000000000,0.0000000000,0.0000000000,5000,10000,0.0000000000,Linear,Pearson,0.0000000000,0.0000000000,0.0000000000,,False,N,2025-11-26T20:39:00.504541
Number of Traces,OC,Length,CLAIM_S,1.0000000000,1.0000000000,0.0000000000,0.0000000000,5000,10000,0.0000000000,Linear,Pearson,0.0000000000,0.0000000000,0.0000000000,,False,N,2025-11-26T20:39:00.508466
Number of Traces,OC,Length,LOAN_S,1.0000000000,1.0000000000,0.0000000000,0.0000000000,5000,10000,0.0000000000,Linear,Pearson,0.0000000000,0.0000000000,0.0000000000,,False,N,2025-11-26T20:39:00.512318
Number of Traces,OC,Length,CREDIT_S,1.0000000000,1.0000000000,0.0000000000,0.0000000000,5000,10000,0.0000000000,Linear,Pearson,0.0000000000,0.0000000000,0.0000000000,,False,N,2025-11-26T20:39:00.516164
Number of Traces,OC,Length,MEAN,1.0000000000,1.0000000000,0.0000000000,0.0000000000,5000,10000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,,0 / 4,0 / 4,2025-11-26T20:39:00.859365
Number of Distinct Activities,PC,Size,O2C_S,0.0383876470,0.0383876470,0.0066328135,0.0066328135,5000,10000,0.0000000000,Linear,Pearson,0.0000000000,0.0000000000,0.0000000000,50.0000000000,True,Y (50),2025-11-26T20:39:00.520015
Number of Distinct Activities,PC,Size,CLAIM_S,0.0313402467,0.0313402467,0.0266860002,0.0266860002,5000,10000,0.0000000000,Linear,Pearson,0.0000000000,0.0000000000,0.0000000000,50.0000000000,True,Y (50),2025-11-26T20:39:00.523873
Number of Distinct Activities,PC,Size,LOAN_S,0.0483866565,0.0495681557,0.0006202470,0.0004544223,5000,10000,0.0011814993,Linear,Pearson,0.0000000000,0.0000000000,0.0000000000,50.0000000000,True,Y (50),2025-11-26T20:39:00.527733
Number of Distinct Activities,PC,Size,CREDIT_S,,,,,5000,10000,,Asymptotic,Spearman,0.0000000000,0.0000000000,0.0000000000,50.0000000000,True,Y (50),2025-11-26T20:39:00.531575
Number of Distinct Activities,PC,Size,MEAN,0.0393715167,0.0397653498,0.0113130202,0.0112577453,5000,10000,0.0003938331,,,0.0000000000,0.0000000000,0.0000000000,50.0000000000,4 / 4,4 / 4 (avg. 50),2025-11-26T20:39:00.849303
Number of Distinct Traces,PC,Size,O2C_S,0.5042118690,0.5024048780,0.0000000000,0.0000000000,5000,10000,0.0018069910,Linear,Pearson,0.5524861878,0.4835589942,0.2929973630,450.0000000000,True,Y (450),2025-11-26T20:39:00.535445
Number of Distinct Traces,PC,Size,CLAIM_S,0.3035525234,0.3050215595,0.0000000000,0.0000000000,5000,10000,0.0014690361,Linear,Pearson,0.2138579983,0.0000000000,0.1984914649,150.0000000000,True,Y (150),2025-11-26T20:39:00.539298
Number of Distinct Traces,PC,Size,LOAN_S,0.8992452140,0.9036229148,0.0000000000,0.0000000000,5000,10000,0.0043777008,Linear,Pearson,0.5745475438,0.3992972369,0.2861867209,,False,N,2025-11-26T20:39:00.543174
Number of Distinct Traces,PC,Size,CREDIT_S,0.7069721041,0.7156538412,0.0000000000,0.0000000000,5000,10000,0.0086817371,Linear,Pearson,0.5395683453,0.5167958656,0.4577706569,450.0000000000,True,Y (450),2025-11-26T20:39:00.547033
Number of Distinct Traces,PC,Size,MEAN,0.6034954276,0.6066757984,0.0000000000,0.0000000000,5000,10000,0.0040838663,,,0.4701150188,0.3499130242,0.3088615514,,3 / 4,3 / 4,2025-11-26T20:39:00.854037
Number of Distinct Directly-Follows Relations,PC,Size,O2C_S,0.0752883295,0.0859405523,0.0000000983,0.0000000012,5000,10000,0.0106522228,Linear,Pearson,0.0357756153,0.0000000000,0.0000000000,50.0000000000,True,Y (50),2025-11-26T20:39:00.550893
Number of Distinct Directly-Follows Relations,PC,Size,CLAIM_S,0.3187688503,0.3188154085,0.0000000000,0.0000000000,5000,10000,0.0000465582,Linear,Pearson,0.1498202157,0.0000000000,0.0000000000,100.0000000000,True,Y (100),2025-11-26T20:39:00.554744
Number of Distinct Directly-Follows Relations,PC,Size,LOAN_S,0.5712165853,0.5637107368,0.0000000000,0.0000000000,5000,10000,0.0075058485,Linear,Pearson,0.0967211529,0.0696799368,0.0457624016,200.0000000000,True,Y (200),2025-11-26T20:39:00.558626
Number of Distinct Directly-Follows Relations,PC,Size,CREDIT_S,0.2652389429,0.2793807462,0.0000000000,0.0000000000,5000,10000,0.0141418033,Linear,Pearson,0.1420656343,0.2083912198,0.2038043478,350.0000000000,True,Y (350),2025-11-26T20:39:00.563125
Number of Distinct Directly-Follows Relations,PC,Size,MEAN,0.3076281770,0.3119618610,0.0000000246,0.0000000003,5000,10000,0.0080866082,,,0.1060956546,0.0695177891,0.0623916874,175.0000000000,4 / 4,4 / 4 (avg. 175),2025-11-26T20:39:00.851675
Min. Trace Length,PD,Size,O2C_S,-0.0383876470,-0.0383876470,0.0066328135,0.0066328135,5000,10000,0.0000000000,Linear,Pearson,0.0000000000,0.0000000000,0.0000000000,50.0000000000,True,Y (50),2025-11-26T20:39:00.567104
Min. Trace Length,PD,Size,CLAIM_S,-0.0313402467,-0.0313402467,0.0266860002,0.0266860002,5000,10000,0.0000000000,Linear,Pearson,0.0000000000,0.0000000000,0.0000000000,50.0000000000,True,Y (50),2025-11-26T20:39:00.570958
Min. Trace Length,PD,Size,LOAN_S,,,,,5000,10000,,Asymptotic,Spearman,0.0000000000,0.0000000000,0.0000000000,50.0000000000,True,Y (50),2025-11-26T20:39:00.574838
Min. Trace Length,PD,Size,CREDIT_S,,,,,5000,10000,,Asymptotic,Spearman,0.0000000000,0.0000000000,0.0000000000,50.0000000000,True,Y (50),2025-11-26T20:39:00.578807
Min. Trace Length,PD,Size,MEAN,-0.0348639468,-0.0348639468,0.0166594068,0.0166594068,5000,10000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,50.0000000000,4 / 4,4 / 4 (avg. 50),2025-11-26T20:39:00.842771
Avg. Trace Length,PD,Size,O2C_S,0.0076795616,-0.0196480697,0.5871991777,0.1647977700,5000,10000,0.0273276313,Linear,Pearson,0.1223450057,0.0544465650,0.0372531264,50.0000000000,True,Y (50),2025-11-26T20:39:00.582650
Avg. Trace Length,PD,Size,CLAIM_S,0.0024301954,-0.0138616334,0.8635962964,0.3271021598,5000,10000,0.0162918288,Linear,Pearson,0.1810971992,0.0856330714,0.0632782792,50.0000000000,True,Y (50),2025-11-26T20:39:00.586526
Avg. Trace Length,PD,Size,LOAN_S,0.0041673176,-0.0013178852,0.7682983485,0.9257722449,5000,10000,0.0054852028,Linear,Pearson,0.1319838437,0.0621424612,0.0399673703,50.0000000000,True,Y (50),2025-11-26T20:39:00.590413
Avg. Trace Length,PD,Size,CREDIT_S,0.0122807979,0.0432510622,0.3852853139,0.0022209298,5000,10000,0.0309702643,Linear,Pearson,0.0464196915,0.0185401368,0.0116772159,50.0000000000,True,Y (50),2025-11-26T20:39:00.594302
Avg. Trace Length,PD,Size,MEAN,0.0066394681,0.0021058685,0.6510947841,0.3549732761,5000,10000,0.0200187318,,,0.1204614350,0.0551905586,0.0380439979,50.0000000000,4 / 4,4 / 4 (avg. 50),2025-11-26T20:39:00.831420
Max. Trace Length,PD,Size,O2C_S,,,,,5000,10000,,Asymptotic,Spearman,0.0000000000,0.0000000000,0.0000000000,50.0000000000,True,Y (50),2025-11-26T20:39:00.598216
Max. Trace Length,PD,Size,CLAIM_S,,,,,5000,10000,,Asymptotic,Spearman,0.0000000000,0.0000000000,0.0000000000,50.0000000000,True,Y (50),2025-11-26T20:39:00.602049
