Metric,Sample Size,Mean Value,Median Value,Sample Q05,Sample Q95,Empirical CI Rel Width,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Std,Bootstrap CI Low,Bootstrap CI High,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,100,0.46006425645201743,0.45235562179383093,0.43720921285504594,0.5174518108410924,0.17441606658354988,0.4355405505062837,0.5520491497746478,0.253244188468085,,,,,,,,,False
Average Affinity,500,0.4579611388739084,0.454251561391793,0.44215716385839376,0.48927387817040724,0.10288365171741404,0.4419297023214983,0.5176797523774478,0.16540715712737786,,,,,,,,,False
Average Affinity,1000,0.45725249168496923,0.4558936958250934,0.44403200507373836,0.4933103450714745,0.10777052261901539,0.4430933584461229,0.5020205797151209,0.1288723896328088,,,,,,,,,False
Average Distinct Activities per Trace,100,8.0528,8.115,6.577,9.3505,0.3444143651897477,6.18125,9.45725,0.40681502086230875,,,,,,,,,False
Average Distinct Activities per Trace,500,8.118540000000001,8.068999999999999,7.2512,8.980599999999999,0.21301859693984374,6.6169,9.0362,0.29799693048257425,,,,,,,,,False
Average Distinct Activities per Trace,1000,8.13986,8.167,7.10335,8.79275,0.20754656713997538,6.93555,8.8301,0.23274970331185052,,,,,,,,,False
Average Edit Distance,100,23.615547474747473,23.67737373737374,17.594565656565656,28.893818181818183,0.47846667697774187,15.783313131313134,29.411575757575758,0.5770885744163063,,,,,,,,,False
Average Edit Distance,500,23.796093867735472,23.746829659318635,19.36054509018036,26.883577955911825,0.3161457047339924,19.243875551102203,27.05629378757515,0.3283067498345016,,,,,,,,,False
Average Edit Distance,1000,23.986347407407408,24.53786086086086,20.794406006006007,25.96633803803804,0.2156198250691078,20.41163888888889,26.37975155155155,0.24881290015917973,,,,,,,,,False
Avg. Trace Length,100,19.715,19.64,14.9705,24.525499999999997,0.4846563530306872,13.297250000000002,25.28525,0.6080649251838701,,,,,,,,,False
Avg. Trace Length,500,19.86066,19.595999999999997,16.7545,22.6844,0.2985751732319067,15.39545,23.01365,0.38358241871116056,,,,,,,,,False
Avg. Trace Length,1000,19.923119999999997,20.425,16.91115,21.8131,0.24604329040832962,16.638225,22.070525,0.27266311702183205,,,,,,,,,False
Deviation from Random,100,0.7479458736327477,0.7494349716198268,0.7211507553576373,0.7711849391896795,0.06689546074908849,0.7147627470278407,0.7759143624557634,0.0817594127913446,,,,,,,,,False
Deviation from Random,500,0.7520034456016339,0.7530323910904685,0.7303373490158833,0.7641147688412201,0.04491657587860311,0.7294862955403657,0.7644223029414821,0.046457243787182516,,,,,,,,,False
Deviation from Random,1000,0.7543115379792746,0.7550426333284175,0.7439656761161065,0.764651578972387,0.02742355355148874,0.7394032091409728,0.7648680441913271,0.033759042210294306,,,,,,,,,False
Estimated Number of Acyclic Paths,100,114408.28793263908,91201.08393559096,14332.810039395023,331131.12148259144,2.7690154023607088,6463.685897431547,398107.17055349774,3.4232090326065947,,,,,,,,,False
Estimated Number of Acyclic Paths,500,3835608.4860676248,3019951.720402019,831763.7711026708,9120108.393559096,2.1608943281262456,758299.0510062105,9120108.393559096,2.1800476698615427,,,,,,,,,False
