Metric,Plateau n,Plateau Found,Plateau Classification,MK p-value,MK alpha,MK tail window sizes,MK tail means
Average Affinity,100.0,True,plateauing,0.6006536596119929,0.05,"100,200,300,400,500,600,700,800,900,1000","0.4600642565,0.45618062,0.4555372862,0.4577961459,0.4579611389,0.4569653135,0.4541060505,0.4558383768,0.4574248454,0.4572524917"
Average Distinct Activities per Trace,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","8.0528,8.21315,8.2497,8.1765,8.11854,8.163966667,8.259742857,8.238675,8.139255556,8.13986"
Average Edit Distance,100.0,True,plateauing,0.7274895282186948,0.05,"100,200,300,400,500,600,700,800,900,1000","23.61554747,24.12238693,24.31520446,24.08097845,23.79609387,24.13701302,24.19497915,24.4331128,24.03804449,23.98634741"
Avg. Trace Length,100.0,True,plateauing,0.8618005952380953,0.05,"100,200,300,400,500,600,700,800,900,1000","19.715,20.1453,20.2992,20.08895,19.86066,20.12378333,20.27418571,20.3386375,19.97054444,19.92312"
Deviation from Random,1100.0,True,plateauing,0.07255015432098766,0.05,"1100,1200,1300,1400,1500,1600,1700,1800,1900,2000","0.7533215931,0.7544218421,0.7541075749,0.7537113858,0.7545025545,0.7546329309,0.7546838261,0.7547164666,0.7544678426,0.7544456844"
Estimated Number of Acyclic Paths,8100.0,True,plateauing,0.10831349206349207,0.05,"8100,8200,8300,8400,8500,8600,8700,8800,8900,9000","106178733.7,104723876.5,105287854.1,107237849.4,106515206.1,103615062.4,109920058.6,106465507.7,107792256.5,108751975.5"
Lempel-Ziv Complexity,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","22249.14,22431.2,22655.59,22865.69,23062.8,23278.78,23480.56,23684.29,23885.05,24120.11"
Max. Trace Length,3100.0,True,plateauing,0.1557418430335097,0.05,"3100,3200,3300,3400,3500,3600,3700,3800,3900,4000","164.08,161.95,163.72,163.38,166.71,166,164.62,163.81,164.52,167.98"
Min. Trace Length,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","3,3,3,3,3,3,3,3,3,3"
Normalized Sequence Entropy,2100.0,True,plateauing,0.38071979717813054,0.05,"2100,2200,2300,2400,2500,2600,2700,2800,2900,3000","0.4490301965,0.449404583,0.4516125053,0.4497210084,0.4483601435,0.4470419992,0.4490206278,0.4481737728,0.4489762418,0.4491673774"
Normalized Variant Entropy,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","0.6982991415,0.6986597177,0.6988818877,0.6992939976,0.6995407345,0.6998695247,0.700158558,0.7004231426,0.7006256082,0.7010518336"
Number of Distinct Activities,4100.0,True,plateauing,1.0,0.05,"4100,4200,4300,4400,4500,4600,4700,4800,4900,5000","24,24,24,24,24,24,24,24,24,24"
Number of Distinct Directly-Follows Relations,8100.0,True,plateauing,0.07255015432098766,0.05,"8100,8200,8300,8400,8500,8600,8700,8800,8900,9000","123.16,123.08,123.12,123.21,123.18,123.04,123.35,123.19,123.23,123.3"
Number of Distinct Traces,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","3124.86,3154.88,3189.99,3218.25,3247.82,3277.98,3310.06,3341.65,3374.31,3409.73"
Number of Events,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","183327.67,185073.27,187198.22,189346.45,191128.82,193282.66,195221.78,197136.07,199109.25,201593.61"
Number of Ties in Paths to Goal,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","127999.58,129091.36,130565.71,131876.41,133025.6,134418.86,135687.81,136948.02,138255.4,139914.54"
Number of Traces,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","9100,9200,9300,9400,9500,9600,9700,9800,9900,10000"
Percentage of Distinct Traces,,False,trending,2.9761904761904762e-05,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","0.3433912088,0.3429217391,0.3430096774,0.3423670213,0.3418757895,0.34145625,0.341243299,0.3409846939,0.3408393939,0.340973"
Sequence Entropy,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","972087.9907,980484.4095,993612.7913,1004152.407,1016435.828,1028905.315,1036770.214,1050862.101,1058655.725,1074806.82"
Structure,2100.0,True,plateauing,0.6006536596119929,0.05,"2100,2200,2300,2400,2500,2600,2700,2800,2900,3000","0.7918441504,0.7924736137,0.7925642591,0.7922781453,0.7942453988,0.7938962403,0.7918247545,0.7920096881,0.7934663477,0.7927756774"
Variant Entropy,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","349620.6933,351913.19,356317.853,359792.3156,362900.2205,366734.7015,369971.5714,373378.3296,376669.4048,381357.8244"
