Metric,Sample Size,Sample ID,Value,Bootstrap CI Low,Bootstrap CI High
Average Affinity,100,0,0.4348572386028541,,
Average Affinity,100,1,0.4558476577792878,,
Average Affinity,100,10,0.44908336956015094,,
Average Affinity,100,11,0.4377824296090785,,
Average Affinity,100,12,0.4549067934320813,,
Average Affinity,100,13,0.4769152736997974,,
Average Affinity,100,14,0.43881681616743434,,
Average Affinity,100,15,0.4403164595218272,,
Average Affinity,100,16,0.4621831602063797,,
Average Affinity,100,17,0.47937396620190514,,
Average Affinity,100,18,0.6237864737506121,,
Average Affinity,100,19,0.4498922609611482,,
Average Affinity,100,2,0.45300648985039993,,
Average Affinity,100,20,0.4554786172624148,,
Average Affinity,100,21,0.460972412606315,,
Average Affinity,100,22,0.4489222588721848,,
Average Affinity,100,23,0.4574155884439682,,
Average Affinity,100,24,0.437887721554906,,
Average Affinity,100,25,0.46371061829085497,,
Average Affinity,100,26,0.45537589863983,,
Average Affinity,100,27,0.5724153501201997,,
Average Affinity,100,28,0.44675490013924746,,
Average Affinity,100,29,0.43543975075683267,,
Average Affinity,100,3,0.44152641768276474,,
Average Affinity,100,30,0.4463532085736804,,
Average Affinity,100,31,0.4572926324144072,,
Average Affinity,100,32,0.5192484441369887,,
Average Affinity,100,33,0.4615105457820315,,
Average Affinity,100,34,0.4412804083983147,,
Average Affinity,100,35,0.44122508302124036,,
Average Affinity,100,36,0.45036744884706864,,
Average Affinity,100,37,0.46864351838270285,,
Average Affinity,100,38,0.4499484187236333,,
Average Affinity,100,39,0.45268579513213164,,
Average Affinity,100,4,0.44273485786329364,,
Average Affinity,100,40,0.4483479712703358,,
Average Affinity,100,41,0.4662713725425263,,
Average Affinity,100,42,0.4685036884149393,,
Average Affinity,100,43,0.4767085322927104,,
Average Affinity,100,44,0.4795185980882108,,
Average Affinity,100,45,0.44753189104402,,
Average Affinity,100,46,0.44371737719338256,,
Average Affinity,100,47,0.44072257933731956,,
Average Affinity,100,48,0.45091670998090333,,
Average Affinity,100,49,0.471175440152478,,
Average Affinity,100,5,0.47665823306467237,,
Average Affinity,100,50,0.45898705002957174,,
Average Affinity,100,51,0.46712820397314825,,
Average Affinity,100,52,0.44405095982830844,,
Average Affinity,100,53,0.4457211857820717,,
Average Affinity,100,54,0.44037012441159296,,
Average Affinity,100,55,0.44958084465127807,,
Average Affinity,100,56,0.46814978264101303,,
Average Affinity,100,57,0.43722026942976355,,
Average Affinity,100,58,0.4356519607556771,,
Average Affinity,100,59,0.46749732527725196,,
Average Affinity,100,6,0.463439971640178,,
Average Affinity,100,60,0.45574802646422896,,
Average Affinity,100,61,0.4369991379354127,,
Average Affinity,100,62,0.45627273770643123,,
Average Affinity,100,63,0.5131224273375977,,
Average Affinity,100,64,0.44827590157234054,,
Average Affinity,100,65,0.46337668372688223,,
Average Affinity,100,66,0.463102917384533,,
Average Affinity,100,67,0.4323102728329074,,
