Metric,Sample Size,Mean Value,Median Value,Bootstrap CI Low,Bootstrap CI High,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Q05,Sample Q95,Empirical CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,100,0.5783275091462969,0.5513990700657366,,,0.5135801667468334,0.7651268536738235,0.43495542395746123,0.517147873394843,0.7295912457912457,0.3673409426952606,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,1100.0,True
Average Affinity,200,0.5667691874959212,0.5442904602376963,,,,,,,,,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,1100.0,True
Average Affinity,300,0.5660361442261442,0.5408904686295991,,,,,,,,,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,1100.0,True
Average Affinity,400,0.5691349139985606,0.5466849514659666,,,,,,,,,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,1100.0,True
Average Affinity,500,0.565760880233772,0.5389044239995144,,,0.5172122532800087,0.7283413136518341,0.3731771986154061,0.5198108744473072,0.6848506303371548,0.2917129155724822,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,1100.0,True
Average Affinity,600,0.5603667888419934,0.5341272340625428,,,,,,,,,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,1100.0,True
Average Affinity,700,0.5578364362494467,0.5330927682123268,,,,,,,,,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,1100.0,True
Average Affinity,800,0.5601470369211514,0.5337111705175301,,,,,,,,,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,1100.0,True
Average Affinity,900,0.5639891814457944,0.5366112085774675,,,,,,,,,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,1100.0,True
Average Affinity,1000,0.5568774532035642,0.5378291264930153,,,0.5205216679179179,0.6956924501485616,0.31455894151026226,0.5231184473145584,0.6679534404245514,0.2600841392963511,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,1100.0,True
Average Distinct Activities per Trace,100,3.7325999999999997,3.725,,,2.80275,5.011,0.5916117451642288,2.9175,4.7010000000000005,0.4778170712104165,-0.020429015643780066,0.5187447497994855,-0.040792174729594545,0.19743809389982878,100.0,True
Average Distinct Activities per Trace,200,3.6767000000000003,3.645,,,,,,,,,-0.020429015643780066,0.5187447497994855,-0.040792174729594545,0.19743809389982878,100.0,True
Average Distinct Activities per Trace,300,3.6809999999999996,3.6500000000000004,,,,,,,,,-0.020429015643780066,0.5187447497994855,-0.040792174729594545,0.19743809389982878,100.0,True
Average Distinct Activities per Trace,400,3.6662,3.6275,,,,,,,,,-0.020429015643780066,0.5187447497994855,-0.040792174729594545,0.19743809389982878,100.0,True
Average Distinct Activities per Trace,500,3.7024,3.676,,,2.83855,4.797199999999999,0.5290217156439064,2.9836,4.392199999999999,0.3804559204840101,-0.020429015643780066,0.5187447497994855,-0.040792174729594545,0.19743809389982878,100.0,True
Average Distinct Activities per Trace,600,3.62175,3.586666666666667,,,,,,,,,-0.020429015643780066,0.5187447497994855,-0.040792174729594545,0.19743809389982878,100.0,True
Average Distinct Activities per Trace,700,3.6803,3.640714285714285,,,,,,,,,-0.020429015643780066,0.5187447497994855,-0.040792174729594545,0.19743809389982878,100.0,True
Average Distinct Activities per Trace,800,3.682375,3.603125,,,,,,,,,-0.020429015643780066,0.5187447497994855,-0.040792174729594545,0.19743809389982878,100.0,True
Average Distinct Activities per Trace,900,3.6778555555555554,3.583333333333333,,,,,,,,,-0.020429015643780066,0.5187447497994855,-0.040792174729594545,0.19743809389982878,100.0,True
Average Distinct Activities per Trace,1000,3.67668,3.674,,,2.9442250000000003,4.7543,0.4923123578880945,3.0907999999999998,4.38765,0.35272310889171754,-0.020429015643780066,0.5187447497994855,-0.040792174729594545,0.19743809389982878,100.0,True
Average Edit Distance,100,1.9789474747474747,2.0574747474747475,,,1.1940808080808083,2.368974747474747,0.5936963736462294,1.263979797979798,2.3397171717171723,0.5435906649693392,0.05906978081619294,0.061867408154956824,0.04577306367885405,0.14805967720606525,1100.0,True
Average Edit Distance,200,2.024813567839196,2.0994723618090454,,,,,,,,,0.05906978081619294,0.061867408154956824,0.04577306367885405,0.14805967720606525,1100.0,True
Average Edit Distance,300,2.0196017837235227,2.0851170568561876,,,,,,,,,0.05906978081619294,0.061867408154956824,0.04577306367885405,0.14805967720606525,1100.0,True
Average Edit Distance,400,2.0133441102756895,2.1064160401002505,,,,,,,,,0.05906978081619294,0.061867408154956824,0.04577306367885405,0.14805967720606525,1100.0,True
