Metric,Sample Size,Mean Value,Median Value,Sample Q05,Sample Q95,Empirical CI Rel Width,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Std,Bootstrap CI Low,Bootstrap CI High,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,100,0.5783275091462969,0.5513990700657366,0.517147873394843,0.7295912457912457,0.3673409426952606,,,,,,,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,,False
Average Affinity,200,0.5667691874959212,0.5442904602376963,0.5194162618648799,0.6955861138303349,0.31083173865502844,,,,,,,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,,False
Average Affinity,300,0.5660361442261442,0.5408904686295991,0.5207655175742131,0.6818737338346036,0.28462531572193056,,,,,,,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,,False
Average Affinity,400,0.5691349139985606,0.5466849514659666,0.5193405949939784,0.7121496013663309,0.33877557259268765,,,,,,,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,,False
Average Affinity,500,0.565760880233772,0.5389044239995144,0.5198108744473072,0.6848506303371548,0.2917129155724822,,,,,,,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,,False
Average Affinity,600,0.5603667888419934,0.5341272340625428,0.5184441913470503,0.7108384422670944,0.3433362839322254,,,,,,,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,,False
Average Affinity,700,0.5578364362494467,0.5330927682123268,0.5218427097092793,0.6777036652251396,0.2794026086997377,,,,,,,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,,False
Average Affinity,800,0.5601470369211514,0.5337111705175301,0.5191579186115128,0.6856887695229614,0.29729845903815816,,,,,,,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,,False
Average Affinity,900,0.5639891814457944,0.5366112085774675,0.5201190778443185,0.6807860192002483,0.28487592783971094,,,,,,,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,,False
Average Affinity,1000,0.5568774532035642,0.5378291264930153,0.5231184473145584,0.6679534404245514,0.2600841392963511,,,,,,,-0.08242119764262594,0.009118878203375213,-0.08051683600140301,0.010861676909242455,,False
Average Distinct Activities per Trace,100,3.7325999999999997,3.725,2.9175,4.7010000000000005,0.4778170712104165,,,,,,,-0.020429015643780066,0.5187447497994855,-0.040792174729594545,0.19743809389982878,,False
Average Distinct Activities per Trace,200,3.6767000000000003,3.645,2.98225,4.516249999999999,0.417221965349362,,,,,,,-0.020429015643780066,0.5187447497994855,-0.040792174729594545,0.19743809389982878,,False
