Metric,Sample Size,Mean Value,Median Value,Sample Q05,Sample Q95,Empirical CI Rel Width,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Std,Bootstrap CI Low,Bootstrap CI High,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,100,0.5783275091462969,0.5513990700657366,0.517147873394843,0.7295912457912457,0.3673409426952606,0.5135801667468334,0.7651268536738235,0.43495542395746123,,,,,,,,,False
Average Affinity,500,0.565760880233772,0.5389044239995144,0.5198108744473072,0.6848506303371548,0.2917129155724822,0.5172122532800087,0.7283413136518341,0.3731771986154061,,,,,,,,,False
Average Affinity,1000,0.5568774532035642,0.5378291264930153,0.5231184473145584,0.6679534404245514,0.2600841392963511,0.5205216679179179,0.6956924501485616,0.31455894151026226,,,,,,,,,False
Average Distinct Activities per Trace,100,3.7325999999999997,3.725,2.9175,4.7010000000000005,0.4778170712104165,2.80275,5.011,0.5916117451642288,,,,,,,,,False
Average Distinct Activities per Trace,500,3.7024,3.676,2.9836,4.392199999999999,0.3804559204840101,2.83855,4.797199999999999,0.5290217156439064,,,,,,,,,False
Average Distinct Activities per Trace,1000,3.67668,3.674,3.0907999999999998,4.38765,0.35272310889171754,2.9442250000000003,4.7543,0.4923123578880945,,,,,,,,,False
Average Edit Distance,100,1.9789474747474747,2.0574747474747475,1.263979797979798,2.3397171717171723,0.5435906649693392,1.1940808080808083,2.368974747474747,0.5936963736462294,,,,,,,,,False
Average Edit Distance,500,2.032303486973948,2.1045170340681363,1.5733687374749499,2.271587575150301,0.34356032066597614,1.3390903807615233,2.282833867735471,0.46437133677271775,,,,,,,,,False
Average Edit Distance,1000,2.0530028628628627,2.1090490490490494,1.6736914914914915,2.2500565565565562,0.28074245559567196,1.486034884884885,2.275995195195195,0.3847828586116678,,,,,,,,,False
Avg. Trace Length,100,3.7848,3.745,2.938,4.753,0.4795497780596068,2.83375,5.096749999999999,0.5979179877404351,,,,,,,,,False
Avg. Trace Length,500,3.7546,3.724,3.0319000000000003,4.490099999999999,0.3883769243061841,2.866,4.915199999999999,0.5457838384914501,,,,,,,,,False
Avg. Trace Length,1000,3.72933,3.726,3.1136,4.48365,0.3673716190307642,3.000925,4.8112,0.4854156108469887,,,,,,,,,False
Deviation from Random,100,0.5926518234779301,0.5945523845437297,0.5600490152045033,0.6234058725579206,0.10690401150141166,0.5339891934482047,0.6282801011155251,0.15910000430603877,,,,,,,,,False
Deviation from Random,500,0.5920431051959103,0.5929718859823971,0.5649937689113438,0.6148755469551266,0.08425362546410645,0.5507383502284532,0.6168096263722093,0.11159875955635482,,,,,,,,,False
Deviation from Random,1000,0.5920024979416345,0.5916315124236866,0.5776564914434337,0.6150485646000295,0.06316201922560528,0.5709062966064843,0.6184567606709792,0.0803213909228858,,,,,,,,,False
Estimated Number of Acyclic Paths,100,4.166545018095641,3.630780547701014,2.08929613085404,9.120108393559097,1.6874442090916268,2.08929613085404,13.182567385564074,2.6624628334821927,,,,,,,,,False
Estimated Number of Acyclic Paths,500,16.22178813063265,10.964781961431852,5.203928788492922,57.543993733715695,3.2265286985462254,4.36515832240166,57.543993733715695,3.2782351108934167,,,,,,,,,False
Estimated Number of Acyclic Paths,1000,26.726455907788317,22.90867652767773,9.120108393559097,69.18309709189366,2.247323360252629,6.915769539909641,69.18309709189366,2.329801144110499,,,,,,,,,False
Lempel-Ziv Complexity,100,133.71,128.5,115.0,158.14999999999998,0.3227133348291076,113.47500000000001,164.62499999999994,0.382544312317702,,,,,,,,,False
Lempel-Ziv Complexity,500,469.09,470.5,376.45,530.0,0.32733590568973975,357.95,588.1749999999997,0.49079067982689834,,,,,,,,,False
Lempel-Ziv Complexity,1000,796.56,787.5,689.45,888.55,0.2499497840715074,650.1750000000001,979.7749999999999,0.41377925077834665,,,,,,,,,False
Max. Trace Length,100,7.38,6.0,6.0,10.0,0.5420054200542006,6.0,10.0,0.5420054200542006,,,,,,,,,False
Max. Trace Length,500,9.09,9.0,6.0,10.0,0.44004400440044006,6.0,14.524999999999991,0.937843784378437,,,,,,,,,False
Max. Trace Length,1000,9.65,9.0,8.95,12.0,0.3160621761658032,7.475000000000002,14.524999999999991,0.7305699481865273,,,,,,,,,False
