Metric,Plateau n,Plateau Found,Plateau Classification,MK p-value,MK alpha,MK tail window sizes,MK tail means
Average Affinity,1100.0,True,plateauing,0.07255015432098766,0.05,"1100,1200,1300,1400,1500,1600,1700,1800,1900,2000","0.5572209788,0.5510013856,0.5595659168,0.5633152628,0.5684285371,0.5561101149,0.5550364356,0.5524134319,0.5496710371,0.5486307381"
Average Distinct Activities per Trace,100.0,True,plateauing,0.38071979717813054,0.05,"100,200,300,400,500,600,700,800,900,1000","3.7326,3.6767,3.681,3.6662,3.7024,3.62175,3.6803,3.682375,3.677855556,3.67668"
Average Edit Distance,1100.0,True,plateauing,0.1557418430335097,0.05,"1100,1200,1300,1400,1500,1600,1700,1800,1900,2000","2.059081909,2.074478135,2.067099153,2.025461677,2.031546604,2.076604604,2.060778091,2.063056006,2.080812616,2.078236353"
Avg. Trace Length,100.0,True,plateauing,0.36917141633269157,0.05,"100,200,300,400,500,600,700,800,900,1000","3.7848,3.7327,3.734233333,3.720575,3.7546,3.672316667,3.728014286,3.7311875,3.734233333,3.72933"
Deviation from Random,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","0.5926518235,0.5928576793,0.5912509077,0.5893656182,0.5920431052,0.5914264977,0.5930224042,0.5916115464,0.5918109252,0.5920024979"
Estimated Number of Acyclic Paths,4100.0,True,plateauing,0.7274895282186948,0.05,"4100,4200,4300,4400,4500,4600,4700,4800,4900,5000","196.5373451,240.1117146,177.0743081,273.1624919,262.1816246,215.697394,189.7888954,268.5314373,175.9454554,278.6642966"
Lempel-Ziv Complexity,,False,trending,5.5114638447971785e-06,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","4637.06,4583.03,4671.1,4748.32,4761.19,4763.12,4781.71,4851.21,4897.48,4939.33"
Max. Trace Length,1100.0,True,plateauing,0.7274895282186948,0.05,"1100,1200,1300,1400,1500,1600,1700,1800,1900,2000","9.26,9.85,10.02,9.72,10.19,9.97,9.78,9.95,9.59,9.64"
Min. Trace Length,100.0,True,plateauing,0.11718508719813801,0.05,"100,200,300,400,500,600,700,800,900,1000","2.03,2,2,2,2,2,2,2,2,2"
Normalized Sequence Entropy,2100.0,True,plateauing,1.0,0.05,"2100,2200,2300,2400,2500,2600,2700,2800,2900,3000","0.09975956697,0.10072474,0.09852435228,0.09881324863,0.1040556256,0.09576114844,0.09864885907,0.09730265332,0.1019713895,0.09990418273"
Normalized Variant Entropy,6100.0,True,plateauing,0.1557418430335097,0.05,"6100,6200,6300,6400,6500,6600,6700,6800,6900,7000","0.7217682679,0.7239282867,0.7225775285,0.7201923231,0.7190732438,0.7226107099,0.7250625365,0.7264794783,0.7222741725,0.7272743285"
Number of Distinct Activities,1100.0,True,plateauing,0.14634982666257296,0.05,"1100,1200,1300,1400,1500,1600,1700,1800,1900,2000","10.45,10.79,10.62,10.7,10.76,10.76,10.67,10.8,10.77,10.76"
Number of Distinct Directly-Follows Relations,4100.0,True,plateauing,0.10831349206349207,0.05,"4100,4200,4300,4400,4500,4600,4700,4800,4900,5000","35.42,35.34,34.84,35.88,34.97,35.85,35.71,36.12,35.64,36.6"
Number of Distinct Traces,6100.0,True,plateauing,0.38071979717813054,0.05,"6100,6200,6300,6400,6500,6600,6700,6800,6900,7000","45.32,45.66,44.56,44.26,45.99,45.5,45.07,46.62,44.83,47.55"
Number of Events,,False,trending,5.5114638447971785e-06,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","33959.49,34137,34242.12,34894.17,35897.6,35738.33,36139.29,36410.82,36951.2,37225.77"
Number of Ties in Paths to Goal,5100.0,True,plateauing,0.07255015432098766,0.05,"5100,5200,5300,5400,5500,5600,5700,5800,5900,6000","238.18,236.7,240.57,250.33,233.24,261.28,252.68,267.11,245.58,255.83"
Number of Traces,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","9100,9200,9300,9400,9500,9600,9700,9800,9900,10000"
Percentage of Distinct Traces,8100.0,True,plateauing,0.10831349206349207,0.05,"8100,8200,8300,8400,8500,8600,8700,8800,8900,9000","0.006171604938,0.00585,0.00623373494,0.006061904762,0.005921176471,0.006069767442,0.005896551724,0.006090909091,0.005773033708,0.005626666667"
Sequence Entropy,,False,trending,0.009148478835978836,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","31658.88443,32251.65705,34114.63439,31408.38517,33449.93999,34051.74564,33260.97131,34637.1845,35174.42054,35557.36255"
Structure,6100.0,True,plateauing,1.0,0.05,"6100,6200,6300,6400,6500,6600,6700,6800,6900,7000","0.6781528926,0.6806834711,0.6819900826,0.6831297521,0.6826809917,0.6798710744,0.6802553719,0.6801123967,0.6852256198,0.6764991736"
Variant Entropy,6100.0,True,plateauing,0.7274895282186948,0.05,"6100,6200,6300,6400,6500,6600,6700,6800,6900,7000","281.9098669,280.097499,268.4349877,268.9011283,281.5042768,278.5826551,274.5137226,280.5005167,276.8751561,293.6376006"
