Metric,Sample Size,Sample ID,Value,Bootstrap CI Low,Bootstrap CI High
Average Affinity,100,0,0.5299201539201538,,
Average Affinity,100,1,0.5357830687830688,,
Average Affinity,100,10,0.7203405483405484,,
Average Affinity,100,11,0.5673907327240659,,
Average Affinity,100,12,0.6664896584896587,,
Average Affinity,100,13,0.5233285233285234,,
Average Affinity,100,14,0.6328964245630911,,
Average Affinity,100,15,0.5602212602212602,,
Average Affinity,100,16,0.5508417508417509,,
Average Affinity,100,17,0.5783232323232322,,
Average Affinity,100,18,0.6226531986531987,,
Average Affinity,100,19,0.5185272639818095,,
Average Affinity,100,2,0.5854891774891777,,
Average Affinity,100,20,0.5828340548340548,,
Average Affinity,100,21,0.5347436267436267,,
Average Affinity,100,22,0.5701279461279463,,
Average Affinity,100,23,0.5374011544011543,,
Average Affinity,100,24,0.5269292929292929,,
Average Affinity,100,25,0.5735492223825559,,
Average Affinity,100,26,0.5280166746833412,,
Average Affinity,100,27,0.6480584415584415,,
Average Affinity,100,28,0.5517267917267916,,
Average Affinity,100,29,0.5671139971139971,,
Average Affinity,100,3,0.5366657046657047,,
Average Affinity,100,30,0.5279345839345839,,
Average Affinity,100,31,0.5146291486291487,,
Average Affinity,100,32,0.5185656565656566,,
Average Affinity,100,33,0.5193496873496873,,
Average Affinity,100,34,0.549950937950938,,
Average Affinity,100,35,0.6009562289562291,,
Average Affinity,100,36,0.5405839345839344,,
Average Affinity,100,37,0.7672717652717652,,
Average Affinity,100,38,0.7282459515792848,,
Average Affinity,100,39,0.5472496392496392,,
Average Affinity,100,4,0.5477758537758538,,
Average Affinity,100,40,0.5573718133718135,,
Average Affinity,100,41,0.6260933140933144,,
Average Affinity,100,42,0.5115286195286195,,
Average Affinity,100,43,0.6375353535353536,,
Average Affinity,100,44,0.5744713804713806,,
Average Affinity,100,45,0.5383078403078403,,
Average Affinity,100,46,0.7551518358185024,,
Average Affinity,100,47,0.6985454545454546,,
Average Affinity,100,48,0.5251816578483245,,
Average Affinity,100,49,0.5336055796055796,,
Average Affinity,100,5,0.5526111111111112,,
Average Affinity,100,50,0.5510713484046816,,
Average Affinity,100,51,0.6059932659932659,,
Average Affinity,100,52,0.5308956228956226,,
Average Affinity,100,53,0.5129267275933942,,
Average Affinity,100,54,0.5867614237614234,,
Average Affinity,100,55,0.5741503126503127,,
Average Affinity,100,56,0.5386673080006413,,
Average Affinity,100,57,0.5542222222222223,,
Average Affinity,100,58,0.5218938592271926,,
Average Affinity,100,59,0.5301616161616162,,
Average Affinity,100,6,0.5227638287638287,,
Average Affinity,100,60,0.5098739195708896,,
Average Affinity,100,61,0.5566753246753245,,
Average Affinity,100,62,0.5552768959435623,,
Average Affinity,100,63,0.522923520923521,,
Average Affinity,100,64,0.6909764309764309,,
Average Affinity,100,65,0.6555595638928974,,
Average Affinity,100,66,0.7150634920634922,,
Average Affinity,100,67,0.5941366041366041,,
Average Affinity,100,68,0.5695642135642135,,
Average Affinity,100,69,0.5274102934102936,,
Average Affinity,100,7,0.5827274184849942,,
Average Affinity,100,70,0.5404583934583934,,
Average Affinity,100,71,0.6694006734006734,,
Average Affinity,100,72,0.5324489337822671,,
Average Affinity,100,73,0.5269613887795708,,
Average Affinity,100,74,0.5373660413660414,,
Average Affinity,100,75,0.562965848965849,,
Average Affinity,100,76,0.5172804378561954,,
Average Affinity,100,77,0.6014962321628989,,
Average Affinity,100,78,0.5421107102773768,,
Average Affinity,100,79,0.5608292448292447,,
Average Affinity,100,8,0.7117979797979797,,
Average Affinity,100,80,0.5742985409652078,,
Average Affinity,100,81,0.7995555555555557,,
Average Affinity,100,82,0.5228658300173451,,
Average Affinity,100,83,0.5215824915824915,,
Average Affinity,100,84,0.6006554433221098,,
Average Affinity,100,85,0.7627561619076774,,
Average Affinity,100,86,0.5302992406022707,,
Average Affinity,100,87,0.5194238415905083,,
Average Affinity,100,88,0.9676635401635402,,
Average Affinity,100,89,0.5191630591630594,,
Average Affinity,100,9,0.5245258938592272,,
Average Affinity,100,90,0.5207100368767034,,
Average Affinity,100,91,0.6083703703703705,,
Average Affinity,100,92,0.5433107846138148,,
Average Affinity,100,93,0.5710707070707071,,
Average Affinity,100,94,0.6159191919191921,,
Average Affinity,100,95,0.5143023889690556,,
Average Affinity,100,96,0.5884607984607985,,
Average Affinity,100,97,0.5287869167869169,,
Average Affinity,100,98,0.5195863395863396,,
Average Affinity,100,99,0.5443434343434342,,
Average Affinity,200,0,0.5364042434394193,,
Average Affinity,200,1,0.5389100263220866,,
Average Affinity,200,10,0.5266835766132246,,
Average Affinity,200,11,0.5351720507298395,,
Average Affinity,200,12,0.6086782324320013,,
Average Affinity,200,13,0.5216518704634282,,
Average Affinity,200,14,0.5397187524926219,,
Average Affinity,200,15,0.5433612506979342,,
Average Affinity,200,16,0.520680067001675,,
Average Affinity,200,17,0.5313560606060604,,
Average Affinity,200,18,0.5723297040759354,,
Average Affinity,200,19,0.5244198264047508,,
Average Affinity,200,2,0.5249112227805695,,
Average Affinity,200,20,0.6488006700167506,,
Average Affinity,200,21,0.5264053601340035,,
Average Affinity,200,22,0.5457151449890143,,
Average Affinity,200,23,0.5192490627741886,,
Average Affinity,200,24,0.5285285155938423,,
Average Affinity,200,25,0.5274517827231395,,
Average Affinity,200,26,0.5793362048336925,,
Average Affinity,200,27,0.5722099385817979,,
Average Affinity,200,28,0.545621759591609,,
Average Affinity,200,29,0.5331746031746032,,
Average Affinity,200,3,0.5294434872776582,,
Average Affinity,200,30,0.5996980138789182,,
Average Affinity,200,31,0.6896745632926538,,
Average Affinity,200,32,0.5226887177590693,,
Average Affinity,200,33,0.5452404881550611,,
Average Affinity,200,34,0.5794308990841653,,
Average Affinity,200,35,0.5942806891600861,,
Average Affinity,200,36,0.7001828333587128,,
Average Affinity,200,37,0.5251608040201006,,
Average Affinity,200,38,0.5399454414931802,,
Average Affinity,200,39,0.6658645608997366,,
Average Affinity,200,4,0.5409742797682495,,
Average Affinity,200,40,0.5378444603972242,,
Average Affinity,200,41,0.5078444640228557,,
Average Affinity,200,42,0.5243487640221309,,
Average Affinity,200,43,0.723794814621448,,
Average Affinity,200,44,0.5240516870064609,,
Average Affinity,200,45,0.5514931801866475,,
Average Affinity,200,46,0.5594740368509213,,
Average Affinity,200,47,0.5560544787429209,,
Average Affinity,200,48,0.5522175560341389,,
Average Affinity,200,49,0.5890469011725294,,
Average Affinity,200,5,0.6117353433835847,,
Average Affinity,200,50,0.5232908191752413,,
Average Affinity,200,51,0.5537945281965383,,
Average Affinity,200,52,0.5290447475472602,,
Average Affinity,200,53,0.5278952700007975,,
Average Affinity,200,54,0.5573601340033502,,
Average Affinity,200,55,0.5326112706389088,,
Average Affinity,200,56,0.5641404642258915,,
Average Affinity,200,57,0.6191178112786152,,
Average Affinity,200,58,0.722441812235782,,
Average Affinity,200,59,0.5260865510815259,,
Average Affinity,200,6,0.6590607003270319,,
Average Affinity,200,60,0.6144585626545427,,
Average Affinity,200,61,0.5580746789503072,,
Average Affinity,200,62,0.6953441812235781,,
Average Affinity,200,63,0.5704771476429769,,
Average Affinity,200,64,0.6514108638430243,,
Average Affinity,200,65,0.5478453378001116,,
Average Affinity,200,66,0.5452196697774586,,
Average Affinity,200,67,0.5284588889614014,,
Average Affinity,200,68,0.552177554438861,,
Average Affinity,200,69,0.5831512323522372,,
Average Affinity,200,7,0.5424580659429904,,
Average Affinity,200,70,0.5144371279195395,,
Average Affinity,200,71,0.5402947276062856,,
Average Affinity,200,72,0.5360987477067879,,
Average Affinity,200,73,0.5250648480497726,,
Average Affinity,200,74,0.5167202680067002,,
Average Affinity,200,75,0.6203120363723377,,
Average Affinity,200,76,0.767398659966499,,
Average Affinity,200,77,0.7083505623354869,,
Average Affinity,200,78,0.5220758047089706,,
Average Affinity,200,79,0.5159675832263771,,
Average Affinity,200,8,0.5502908191752414,,
Average Affinity,200,80,0.519559703278296,,
Average Affinity,200,81,0.5347192890861232,,
Average Affinity,200,82,0.5194250618170215,,
Average Affinity,200,83,0.5506962590731435,,
Average Affinity,200,84,0.5391642483702784,,
Average Affinity,200,85,0.6480910903724978,,
Average Affinity,200,86,0.575366355587461,,
Average Affinity,200,87,0.5811757996330862,,
Average Affinity,200,88,0.5335293929967297,,
Average Affinity,200,89,0.5259976669059583,,
Average Affinity,200,9,0.5454774268166231,,
Average Affinity,200,90,0.5610763340512086,,
Average Affinity,200,91,0.5252792534099068,,
Average Affinity,200,92,0.5271143089183291,,
Average Affinity,200,93,0.6008147084629495,,
Average Affinity,200,94,0.6939442450346973,,
Average Affinity,200,95,0.5263597369966716,,
Average Affinity,200,96,0.5261119885139984,,
Average Affinity,200,97,0.5784268963866953,,
Average Affinity,200,98,0.5275247666905959,,
Average Affinity,200,99,0.6948723487567711,,
Average Affinity,300,0,0.5269710321884232,,
Average Affinity,300,1,0.5796549481114698,,
Average Affinity,300,10,0.5474890906195254,,
Average Affinity,300,11,0.5740204384986992,,
Average Affinity,300,12,0.5280621118012424,,
Average Affinity,300,13,0.5192570714309844,,
Average Affinity,300,14,0.5278654775176509,,
Average Affinity,300,15,0.5688043936739587,,
Average Affinity,300,16,0.5309580081753994,,
Average Affinity,300,17,0.5296048556918123,,
Average Affinity,300,18,0.653893719806763,,
Average Affinity,300,19,0.5406810001592611,,
Average Affinity,300,2,0.5517023009196922,,
Average Affinity,300,20,0.6536200739678999,,
Average Affinity,300,21,0.5626572525702959,,
Average Affinity,300,22,0.6017160617160615,,
Average Affinity,300,23,0.6215159437985526,,
Average Affinity,300,24,0.5394226876183399,,
Average Affinity,300,25,0.5699071170375517,,
Average Affinity,300,26,0.5731783192652756,,
Average Affinity,300,27,0.5291954309780398,,
Average Affinity,300,28,0.5560264019394455,,
Average Affinity,300,29,0.5379932048627701,,
Average Affinity,300,3,0.6484394542655414,,
