Metric,Basis,Dimension,Log,Pearson Rho,Spearman Rho,Pearson P,Spearman P,n,N Pop,Delta Pearson Spearman,Shape,Preferred Correlation,RelCI 100,RelCI 500,RelCI 1000,Plateau n,Plateau Found,Plateau Reached,Timestamp
Number of Events,OC,Length,BPIC12,0.9840449260,0.9834908487,0.0000000000,0.0000000000,1000,81728,0.0005540772,Linear,Pearson,0.48465635303068716,0.2985751732,0.24604329040832948,,False,N,2026-04-27T10:15:26.663410
Number of Events,OC,Length,RTFMP,0.9676382685,0.9739676617,0.0000000000,0.0000000000,1000,81728,0.0063293932,Linear,Pearson,0.4795497780596067,0.3883769243,0.36737161903076415,,False,N,2026-04-27T10:15:26.667379
Number of Events,OC,Length,MEAN,0.9758415973,0.9787292552,0.0000000000,0.0000000000,1000,81728,0.0034417352,,,0.4821030655451469,0.3434760487,0.3067074547195468,,0 / 2,0 / 2,2026-04-27T10:15:26.936897
Number of Traces,OC,Length,BPIC12,1.0000000000,1.0000000000,0.0000000000,0.0000000000,1000,81728,0.0000000000,Linear,Pearson,0.0,0.0000000000,0.0,,False,N,2026-04-27T10:15:26.675393
Number of Traces,OC,Length,RTFMP,1.0000000000,1.0000000000,0.0000000000,0.0000000000,1000,81728,0.0000000000,Linear,Pearson,0.0,0.0000000000,0.0,,False,N,2026-04-27T10:15:26.677870
Number of Traces,OC,Length,MEAN,1.0000000000,1.0000000000,0.0000000000,0.0000000000,1000,81728,0.0000000000,,,0.0,0.0000000000,0.0,,0 / 2,0 / 2,2026-04-27T10:15:26.939628
Number of Distinct Activities,PC,Size,BPIC12,0.4306767590,0.4207726655,0.0000000000,0.0000000000,1000,81728,0.0099040935,Linear,Pearson,0.04424778761061947,0.0431965443,0.04275331338178709,4100.0000000000,True,Y (4100),2026-04-27T10:15:26.685049
Number of Distinct Activities,PC,Size,RTFMP,0.4330547399,0.4297848810,0.0000000000,0.0000000000,1000,81728,0.0032698589,Linear,Pearson,0.5820721769499418,0.2909796314,0.09831460674157311,1100.0000000000,True,Y (1100),2026-04-27T10:15:26.696305
Number of Distinct Activities,PC,Size,MEAN,0.4318657495,0.4252787732,0.0000000000,0.0000000000,1000,81728,0.0065869762,,,0.31315998228028064,0.1670880879,0.0705339600616801,2600.0000000000,2 / 2,2 / 2 (avg. 2600),2026-04-27T10:15:26.925939
Number of Distinct Traces,PC,Size,BPIC12,0.9758897512,0.9754781391,0.0000000000,0.0000000000,1000,81728,0.0004116121,Linear,Pearson,0.4489247311827957,0.3224584298,0.3437330562082054,,False,N,2026-04-27T10:15:26.698980
Number of Distinct Traces,PC,Size,RTFMP,0.6583699014,0.7361596743,0.0000000000,0.0000000000,1000,81728,0.0777897729,Linear,Pearson,0.5471289274106175,0.7047619048,0.6018981018981018,6100.0000000000,True,Y (6100),2026-04-27T10:15:26.706248
Number of Distinct Traces,PC,Size,MEAN,0.8171298263,0.8558189067,0.0000000000,0.0000000000,1000,81728,0.0391006925,,,0.4980268292967066,0.5136101673,0.4728155790531536,,1 / 2,1 / 2,2026-04-27T10:15:26.933539
Number of Distinct Directly-Follows Relations,PC,Size,BPIC12,0.8267237191,0.8446790424,0.0000000000,0.0000000000,1000,81728,0.0179553233,Linear,Pearson,0.218153251148175,0.1259811997,0.1093095281472035,8100.0000000000,True,Y (8100),2026-04-27T10:15:26.719501
Number of Distinct Directly-Follows Relations,PC,Size,RTFMP,0.6221115390,0.6326334349,0.0000000000,0.0000000000,1000,81728,0.0105218959,Linear,Pearson,0.756646216768916,0.6972198089,0.45609386828160486,4100.0000000000,True,Y (4100),2026-04-27T10:15:26.730276
Number of Distinct Directly-Follows Relations,PC,Size,MEAN,0.7244176290,0.7386562386,0.0000000000,0.0000000000,1000,81728,0.0142386096,,,0.48739973395854547,0.4116005043,0.28270169821440416,6100.0000000000,2 / 2,2 / 2 (avg. 6100),2026-04-27T10:15:26.931482
