Metric,Sample Size,Mean Value,Median Value,Sample Q05,Sample Q95,Empirical CI Rel Width,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Std,Bootstrap CI Low,Bootstrap CI High,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,100,0.6539971236171236,0.6541289081289081,0.6071582010582011,0.7053721019721019,0.15017482090853843,,,,,,,0.02312116860684792,0.46518317198029213,0.03870322402530131,0.22139360311149445,,False
Average Affinity,200,0.6503070064608758,0.6497761426178512,0.6250253649198373,0.689352033979421,0.09891738582006773,,,,,,,0.02312116860684792,0.46518317198029213,0.03870322402530131,0.22139360311149445,,False
Average Affinity,300,0.6534601167914211,0.6519738811912724,0.6233821202951638,0.6865724000637045,0.09670105052288973,,,,,,,0.02312116860684792,0.46518317198029213,0.03870322402530131,0.22139360311149445,,False
Average Affinity,400,0.6550142326053228,0.6558109559613319,0.6288677646497196,0.6752785714285714,0.07085465394278923,,,,,,,0.02312116860684792,0.46518317198029213,0.03870322402530131,0.22139360311149445,,False
Average Affinity,500,0.6540454921271113,0.6541447848077105,0.6308072640519132,0.6776509094379235,0.07162138712043349,,,,,,,0.02312116860684792,0.46518317198029213,0.03870322402530131,0.22139360311149445,,False
Average Affinity,600,0.653810570262607,0.6535156477727428,0.6305313485438694,0.6748795214245966,0.06783030880475749,,,,,,,0.02312116860684792,0.46518317198029213,0.03870322402530131,0.22139360311149445,,False
Average Affinity,700,0.6545060331085223,0.6548502038869912,0.6328891711190914,0.6731759150584411,0.06155289928804959,,,,,,,0.02312116860684792,0.46518317198029213,0.03870322402530131,0.22139360311149445,,False
Average Affinity,800,0.6548762080576911,0.6565731643721318,0.6365082603254067,0.6716211529292568,0.053617603100885335,,,,,,,0.02312116860684792,0.46518317198029213,0.03870322402530131,0.22139360311149445,,False
Average Affinity,900,0.6544075579568127,0.6536226024212677,0.6371144728710914,0.6697727380805246,0.0499050856188133,,,,,,,0.02312116860684792,0.46518317198029213,0.03870322402530131,0.22139360311149445,,False
Average Affinity,1000,0.6526261035321035,0.6523850088183422,0.6379128137661472,0.6680227823061158,0.046136629192441526,,,,,,,0.02312116860684792,0.46518317198029213,0.03870322402530131,0.22139360311149445,,False
Average Distinct Activities per Trace,100,7.4209000000000005,7.4350000000000005,7.0795,7.7505,0.090420299424598,,,,,,,0.01909307065971266,0.5464583135733893,0.017869030340569445,0.5724773974507364,,False
Average Distinct Activities per Trace,200,7.3968,7.395,7.218999999999999,7.641249999999999,0.05708549643088904,,,,,,,0.01909307065971266,0.5464583135733893,0.017869030340569445,0.5724773974507364,,False
Average Distinct Activities per Trace,300,7.4158333333333335,7.41,7.1963333333333335,7.6401666666666666,0.059849421283290224,,,,,,,0.01909307065971266,0.5464583135733893,0.017869030340569445,0.5724773974507364,,False
Average Distinct Activities per Trace,400,7.425924999999999,7.4375,7.24,7.560124999999999,0.04310910761958936,,,,,,,0.01909307065971266,0.5464583135733893,0.017869030340569445,0.5724773974507364,,False
Average Distinct Activities per Trace,500,7.41938,7.415,7.258,7.576099999999999,0.042874202426617776,,,,,,,0.01909307065971266,0.5464583135733893,0.017869030340569445,0.5724773974507364,,False
Average Distinct Activities per Trace,600,7.41715,7.415,7.2562500000000005,7.56,0.040952387372508184,,,,,,,0.01909307065971266,0.5464583135733893,0.017869030340569445,0.5724773974507364,,False
Average Distinct Activities per Trace,700,7.4215,7.424285714285714,7.271214285714286,7.5475,0.037227745642486654,,,,,,,0.01909307065971266,0.5464583135733893,0.017869030340569445,0.5724773974507364,,False
Average Distinct Activities per Trace,800,7.425762499999999,7.4425,7.3026875,7.53875,0.031789664697733075,,,,,,,0.01909307065971266,0.5464583135733893,0.017869030340569445,0.5724773974507364,,False
Average Distinct Activities per Trace,900,7.422655555555556,7.418888888888889,7.304833333333333,7.525166666666667,0.02968389570070025,,,,,,,0.01909307065971266,0.5464583135733893,0.017869030340569445,0.5724773974507364,,False
Average Distinct Activities per Trace,1000,7.41059,7.409,7.30925,7.512,0.027359494992976265,,,,,,,0.01909307065971266,0.5464583135733893,0.017869030340569445,0.5724773974507364,,False
Average Edit Distance,100,4.98000404040404,4.956767676767677,4.374727272727273,5.582454545454546,0.24251531985289054,,,,,,,-0.03395519094172145,0.2833950681564,-0.03544207559264742,0.2628301781790043,,False
Average Edit Distance,200,5.012291959798995,5.01359296482412,4.664168341708543,5.333706030150753,0.13357914778552923,,,,,,,-0.03395519094172145,0.2833950681564,-0.03544207559264742,0.2628301781790043,,False
Average Edit Distance,300,4.974684503901895,4.995719063545151,4.536168338907469,5.300540691192865,0.15365242794510095,,,,,,,-0.03395519094172145,0.2833950681564,-0.03544207559264742,0.2628301781790043,,False
Average Edit Distance,400,4.954442606516291,4.936672932330827,4.679203007518797,5.245913533834586,0.11438431551723444,,,,,,,-0.03395519094172145,0.2833950681564,-0.03544207559264742,0.2628301781790043,,False
Average Edit Distance,500,4.96461002004008,4.971991983967936,4.675007615230461,5.238416432865731,0.11348500997279161,,,,,,,-0.03395519094172145,0.2833950681564,-0.03544207559264742,0.2628301781790043,,False
Average Edit Distance,600,4.968637952142459,4.960236505286589,4.71728018920423,5.232723984418476,0.10373945539581694,,,,,,,-0.03395519094172145,0.2833950681564,-0.03544207559264742,0.2628301781790043,,False
Average Edit Distance,700,4.9563390557939915,4.947999182505621,4.747305538524423,5.23714960147149,0.09883183079947609,,,,,,,-0.03395519094172145,0.2833950681564,-0.03544207559264742,0.2628301781790043,,False
Average Edit Distance,800,4.956460607008761,4.941914893617021,4.733732790988736,5.20044931163955,0.09416326642258512,,,,,,,-0.03395519094172145,0.2833950681564,-0.03544207559264742,0.2628301781790043,,False
Average Edit Distance,900,4.961376269929551,4.968612038066988,4.774291434927697,5.15711358299345,0.07716047468239864,,,,,,,-0.03395519094172145,0.2833950681564,-0.03544207559264742,0.2628301781790043,,False
Average Edit Distance,1000,4.984639219219219,4.9924614614614615,4.787221121121122,5.165712812812813,0.0759316121079224,,,,,,,-0.03395519094172145,0.2833950681564,-0.03544207559264742,0.2628301781790043,,False
Avg. Trace Length,100,12.841800000000001,12.870000000000001,12.159,13.501,0.10450248407544104,,,,,,,0.019093070659712757,0.5464583135733856,0.017869030340569445,0.5724773974507364,,False
Avg. Trace Length,200,12.7936,12.79,12.437999999999999,13.282499999999999,0.06600956728364182,,,,,,,0.019093070659712757,0.5464583135733856,0.017869030340569445,0.5724773974507364,,False
Avg. Trace Length,300,12.831666666666667,12.82,12.392666666666667,13.280333333333333,0.06917781530068837,,,,,,,0.019093070659712757,0.5464583135733856,0.017869030340569445,0.5724773974507364,,False
Avg. Trace Length,400,12.851849999999999,12.875,12.48,13.120249999999999,0.049817730521286685,,,,,,,0.019093070659712757,0.5464583135733856,0.017869030340569445,0.5724773974507364,,False
Avg. Trace Length,500,12.83876,12.83,12.516,13.152199999999999,0.04955307210353638,,,,,,,0.019093070659712757,0.5464583135733856,0.017869030340569445,0.5724773974507364,,False
Avg. Trace Length,600,12.8343,12.83,12.512500000000001,13.12,0.0473340969121805,,,,,,,0.019093070659712757,0.5464583135733856,0.017869030340569445,0.5724773974507364,,False
Avg. Trace Length,700,12.843,12.848571428571429,12.542428571428573,13.095,0.04302510539371079,,,,,,,0.019093070659712757,0.5464583135733856,0.017869030340569445,0.5724773974507364,,False
Avg. Trace Length,800,12.851524999999999,12.885,12.605375,13.0775,0.0367368853112763,,,,,,,0.019093070659712757,0.5464583135733856,0.017869030340569445,0.5724773974507364,,False
Avg. Trace Length,900,12.845311111111112,12.837777777777776,12.609666666666666,13.050333333333334,0.034305643736841446,,,,,,,0.019093070659712757,0.5464583135733856,0.017869030340569445,0.5724773974507364,,False
Avg. Trace Length,1000,12.82118,12.818,12.6185,13.024,0.031627354112491984,,,,,,,0.019093070659712757,0.5464583135733856,0.017869030340569445,0.5724773974507364,,False
Deviation from Random,100,0.7591072889451297,0.7590483762199143,0.7574454275061202,0.7611717378436428,0.004908805898439902,,,,,,,0.0548227963971702,0.0831340723529804,0.114644326116266,0.0002803389437877402,,False
Deviation from Random,200,0.75909021513273,0.7589660562180136,0.7577841393105741,0.7607930250835716,0.0039638052408189715,,,,,,,0.0548227963971702,0.0831340723529804,0.114644326116266,0.0002803389437877402,,False
Deviation from Random,300,0.7591838387872556,0.7591552821803332,0.7582735292980022,0.760251153679379,0.002604934773817038,,,,,,,0.0548227963971702,0.0831340723529804,0.114644326116266,0.0002803389437877402,,False
Deviation from Random,400,0.7591846477781565,0.7591720400481321,0.7586201523402264,0.7599687890664355,0.0017764278165477286,,,,,,,0.0548227963971702,0.0831340723529804,0.114644326116266,0.0002803389437877402,,False
Deviation from Random,500,0.7591589808688686,0.7591111438369874,0.7586960856507863,0.7598606685119151,0.0015340434487068543,,,,,,,0.0548227963971702,0.0831340723529804,0.114644326116266,0.0002803389437877402,,False
Deviation from Random,600,0.7591970124308325,0.7591387052547508,0.7587479772653745,0.7597726691785357,0.0013497048807928377,,,,,,,0.0548227963971702,0.0831340723529804,0.114644326116266,0.0002803389437877402,,False
Deviation from Random,700,0.7591681088601453,0.7591461487628728,0.7587129914811417,0.7596253827193502,0.0012018303028803895,,,,,,,0.0548227963971702,0.0831340723529804,0.114644326116266,0.0002803389437877402,,False
Deviation from Random,800,0.7592174416466263,0.7591658932299626,0.7588834542069076,0.7597306226431992,0.0011158442757245469,,,,,,,0.0548227963971702,0.0831340723529804,0.114644326116266,0.0002803389437877402,,False
Deviation from Random,900,0.7592023846113348,0.7591880333624835,0.7588524505854765,0.7596384914204469,0.0010353508509761522,,,,,,,0.0548227963971702,0.0831340723529804,0.114644326116266,0.0002803389437877402,,False
Deviation from Random,1000,0.7592100317111098,0.7592062490762711,0.7588560078227538,0.7596120800178279,0.0009958669715810818,,,,,,,0.0548227963971702,0.0831340723529804,0.114644326116266,0.0002803389437877402,,False
Estimated Number of Acyclic Paths,100,6.06848208406285,6.309573444801933,3.630780547701014,6.309573444801933,0.4414271740434087,,,,,,,0.1630700132562949,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Estimated Number of Acyclic Paths,200,6.229209657888906,6.309573444801933,6.309573444801933,6.309573444801933,0.0,,,,,,,0.1630700132562949,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Estimated Number of Acyclic Paths,300,6.309573444801933,6.309573444801933,6.309573444801933,6.309573444801933,0.0,,,,,,,0.1630700132562949,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Estimated Number of Acyclic Paths,400,6.309573444801933,6.309573444801933,6.309573444801933,6.309573444801933,0.0,,,,,,,0.1630700132562949,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Estimated Number of Acyclic Paths,500,6.309573444801933,6.309573444801933,6.309573444801933,6.309573444801933,0.0,,,,,,,0.1630700132562949,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Estimated Number of Acyclic Paths,600,6.309573444801933,6.309573444801933,6.309573444801933,6.309573444801933,0.0,,,,,,,0.1630700132562949,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Estimated Number of Acyclic Paths,700,6.309573444801933,6.309573444801933,6.309573444801933,6.309573444801933,0.0,,,,,,,0.1630700132562949,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Estimated Number of Acyclic Paths,800,6.309573444801933,6.309573444801933,6.309573444801933,6.309573444801933,0.0,,,,,,,0.1630700132562949,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Estimated Number of Acyclic Paths,900,6.309573444801933,6.309573444801933,6.309573444801933,6.309573444801933,0.0,,,,,,,0.1630700132562949,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Estimated Number of Acyclic Paths,1000,6.309573444801933,6.309573444801933,6.309573444801933,6.309573444801933,0.0,,,,,,,0.1630700132562949,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Lempel-Ziv Complexity,100,249.34,249.0,244.0,254.0,0.040105879521937914,,,,,,,0.9953012750265962,0.0,0.9950044926248037,0.0,,False
Lempel-Ziv Complexity,200,387.87,387.0,380.0,397.05,0.04395802717405319,,,,,,,0.9953012750265962,0.0,0.9950044926248037,0.0,,False
Lempel-Ziv Complexity,300,502.83,502.0,492.95,514.05,0.04196249229361806,,,,,,,0.9953012750265962,0.0,0.9950044926248037,0.0,,False
Lempel-Ziv Complexity,400,602.71,602.0,587.95,616.0,0.04653979525808424,,,,,,,0.9953012750265962,0.0,0.9950044926248037,0.0,,False
Lempel-Ziv Complexity,500,696.26,695.5,683.0,710.05,0.038850429437279115,,,,,,,0.9953012750265962,0.0,0.9950044926248037,0.0,,False
Lempel-Ziv Complexity,600,787.69,788.0,770.95,803.1,0.04081554926430445,,,,,,,0.9953012750265962,0.0,0.9950044926248037,0.0,,False
Lempel-Ziv Complexity,700,871.08,871.0,854.95,885.0,0.03449740551958483,,,,,,,0.9953012750265962,0.0,0.9950044926248037,0.0,,False
Lempel-Ziv Complexity,800,951.12,950.5,936.9,965.05,0.029596686012280236,,,,,,,0.9953012750265962,0.0,0.9950044926248037,0.0,,False
Lempel-Ziv Complexity,900,1027.64,1028.0,1013.0,1042.1,0.028317309563660336,,,,,,,0.9953012750265962,0.0,0.9950044926248037,0.0,,False
Lempel-Ziv Complexity,1000,1103.74,1104.0,1089.0,1117.0,0.025368293257470056,,,,,,,0.9953012750265962,0.0,0.9950044926248037,0.0,,False
Max. Trace Length,100,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,False
Max. Trace Length,200,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,False
Max. Trace Length,300,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,False
Max. Trace Length,400,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,False
Max. Trace Length,500,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,False
Max. Trace Length,600,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,False
Max. Trace Length,700,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,False
Max. Trace Length,800,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,False
Max. Trace Length,900,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,False
Max. Trace Length,1000,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,False
Min. Trace Length,100,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,False
Min. Trace Length,200,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,False
Min. Trace Length,300,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,False
Min. Trace Length,400,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,False
Min. Trace Length,500,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,False
Min. Trace Length,600,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,False
Min. Trace Length,700,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,False
Min. Trace Length,800,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,False
Min. Trace Length,900,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,False
Min. Trace Length,1000,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,False
Normalized Sequence Entropy,100,0.08419884339307895,0.10344303536166374,0.023968336777536518,0.1559524545348825,1.5675288690271358,,,,,,,-0.04099524505265029,0.19521448235389813,-0.2131240150082184,9.792100905019463e-12,,False
Normalized Sequence Entropy,200,0.08127064754007705,0.09919750358561975,0.025052003809990904,0.13671696297640476,1.3739887960330135,,,,,,,-0.04099524505265029,0.19521448235389813,-0.2131240150082184,9.792100905019463e-12,,False
Normalized Sequence Entropy,300,0.07282030179852474,0.09313043455956904,0.025243581985650205,0.12982440560816785,1.436149274852859,,,,,,,-0.04099524505265029,0.19521448235389813,-0.2131240150082184,9.792100905019463e-12,,False
Normalized Sequence Entropy,400,0.07811376820965533,0.0924835334621661,0.025994010994519073,0.13581928151036904,1.4059655939409013,,,,,,,-0.04099524505265029,0.19521448235389813,-0.2131240150082184,9.792100905019463e-12,,False
Normalized Sequence Entropy,500,0.08115798167707719,0.09004262930730325,0.026342546843335157,0.13154357010195392,1.2962498707423185,,,,,,,-0.04099524505265029,0.19521448235389813,-0.2131240150082184,9.792100905019463e-12,,False
Normalized Sequence Entropy,600,0.0762204388735244,0.08784685182377075,0.027011550191182444,0.13021422800158855,1.354002670880109,,,,,,,-0.04099524505265029,0.19521448235389813,-0.2131240150082184,9.792100905019463e-12,,False
Normalized Sequence Entropy,700,0.07271267055918013,0.08616243533903414,0.026117137134990285,0.11676367174669516,1.2466401510852028,,,,,,,-0.04099524505265029,0.19521448235389813,-0.2131240150082184,9.792100905019463e-12,,False
Normalized Sequence Entropy,800,0.07177946339907836,0.08493225542589064,0.025644400862640117,0.126137039778792,1.4000193670637306,,,,,,,-0.04099524505265029,0.19521448235389813,-0.2131240150082184,9.792100905019463e-12,,False
Normalized Sequence Entropy,900,0.07893076390211742,0.0843908098746466,0.02541916388081655,0.12533395612585496,1.2658536077130005,,,,,,,-0.04099524505265029,0.19521448235389813,-0.2131240150082184,9.792100905019463e-12,,False
Normalized Sequence Entropy,1000,0.07932034137797588,0.08357653915084096,0.02494151606455865,0.14652284835127077,1.5327888177807372,,,,,,,-0.04099524505265029,0.19521448235389813,-0.2131240150082184,9.792100905019463e-12,,False
Normalized Variant Entropy,100,0.36066678518171835,0.3801136347548948,0.3155183387863541,0.4431138321255652,0.35377666749912495,,,,,,,0.06699517351824237,0.03414933801132711,0.0675224616947975,0.032759857857740673,,False
Normalized Variant Entropy,200,0.3652547876160373,0.38017788156891563,0.3155183387863541,0.4431138321255652,0.3493328428957977,,,,,,,0.06699517351824237,0.03414933801132711,0.0675224616947975,0.032759857857740673,,False
Normalized Variant Entropy,300,0.3637548564051384,0.3478159867706244,0.3155183387863541,0.44322323533903846,0.35107406623995907,,,,,,,0.06699517351824237,0.03414933801132711,0.0675224616947975,0.032759857857740673,,False
Normalized Variant Entropy,400,0.3716089029912402,0.39341294011392225,0.3155183387863541,0.44552679380590193,0.3498529071102811,,,,,,,0.06699517351824237,0.03414933801132711,0.0675224616947975,0.032759857857740673,,False
Normalized Variant Entropy,500,0.376666592200608,0.4065837518449081,0.3155183387863541,0.4453018963950307,0.34455818566345137,,,,,,,0.06699517351824237,0.03414933801132711,0.0675224616947975,0.032759857857740673,,False
Normalized Variant Entropy,600,0.369576738531385,0.39341294011392225,0.3155183387863541,0.449799844612456,0.3633386299140645,,,,,,,0.06699517351824237,0.03414933801132711,0.0675224616947975,0.032759857857740673,,False
Normalized Variant Entropy,700,0.3699824360044052,0.4065837518449081,0.3155183387863541,0.449799844612456,0.3629402175850938,,,,,,,0.06699517351824237,0.03414933801132711,0.0675224616947975,0.032759857857740673,,False
Normalized Variant Entropy,800,0.361113692975265,0.3155183387863541,0.3155183387863541,0.4453018963950307,0.3593980514540231,,,,,,,0.06699517351824237,0.03414933801132711,0.0675224616947975,0.032759857857740673,,False
Normalized Variant Entropy,900,0.37222003920052293,0.4065837518449081,0.3155183387863541,0.449799844612456,0.36075840009721116,,,,,,,0.06699517351824237,0.03414933801132711,0.0675224616947975,0.032759857857740673,,False
Normalized Variant Entropy,1000,0.3812052677082523,0.4065837518449081,0.3155183387863541,0.449799844612456,0.35225511607796434,,,,,,,0.06699517351824237,0.03414933801132711,0.0675224616947975,0.032759857857740673,,False
Number of Distinct Activities,100,12.0,12.0,12.0,12.0,0.0,,,,,,,,,,,,False
Number of Distinct Activities,200,12.0,12.0,12.0,12.0,0.0,,,,,,,,,,,,False
Number of Distinct Activities,300,12.0,12.0,12.0,12.0,0.0,,,,,,,,,,,,False
Number of Distinct Activities,400,12.0,12.0,12.0,12.0,0.0,,,,,,,,,,,,False
Number of Distinct Activities,500,12.0,12.0,12.0,12.0,0.0,,,,,,,,,,,,False
Number of Distinct Activities,600,12.0,12.0,12.0,12.0,0.0,,,,,,,,,,,,False
Number of Distinct Activities,700,12.0,12.0,12.0,12.0,0.0,,,,,,,,,,,,False
Number of Distinct Activities,800,12.0,12.0,12.0,12.0,0.0,,,,,,,,,,,,False
Number of Distinct Activities,900,12.0,12.0,12.0,12.0,0.0,,,,,,,,,,,,False
Number of Distinct Activities,1000,12.0,12.0,12.0,12.0,0.0,,,,,,,,,,,,False
Number of Distinct Directly-Follows Relations,100,20.73,21.0,18.0,21.0,0.1447178002894356,,,,,,,0.16307001325629494,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Number of Distinct Directly-Follows Relations,200,20.91,21.0,21.0,21.0,0.0,,,,,,,0.16307001325629494,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Number of Distinct Directly-Follows Relations,300,21.0,21.0,21.0,21.0,0.0,,,,,,,0.16307001325629494,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Number of Distinct Directly-Follows Relations,400,21.0,21.0,21.0,21.0,0.0,,,,,,,0.16307001325629494,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Number of Distinct Directly-Follows Relations,500,21.0,21.0,21.0,21.0,0.0,,,,,,,0.16307001325629494,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Number of Distinct Directly-Follows Relations,600,21.0,21.0,21.0,21.0,0.0,,,,,,,0.16307001325629494,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Number of Distinct Directly-Follows Relations,700,21.0,21.0,21.0,21.0,0.0,,,,,,,0.16307001325629494,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Number of Distinct Directly-Follows Relations,800,21.0,21.0,21.0,21.0,0.0,,,,,,,0.16307001325629494,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Number of Distinct Directly-Follows Relations,900,21.0,21.0,21.0,21.0,0.0,,,,,,,0.16307001325629494,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Number of Distinct Directly-Follows Relations,1000,21.0,21.0,21.0,21.0,0.0,,,,,,,0.16307001325629494,2.159906422324533e-07,0.16307001325629486,2.1599064223245905e-07,,False
Number of Distinct Traces,100,4.93,5.0,4.0,5.0,0.20283975659229211,,,,,,,0.16836811839579396,8.513768529451836e-08,0.16660387910846985,1.1646172544236107e-07,,False
Number of Distinct Traces,200,5.01,5.0,5.0,5.0,0.0,,,,,,,0.16836811839579396,8.513768529451836e-08,0.16660387910846985,1.1646172544236107e-07,,False
