Metric,Sample Size,Mean Value,Median Value,Sample Q05,Sample Q95,Empirical CI Rel Width,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Std,Bootstrap CI Low,Bootstrap CI High,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,100,0.6539971236171236,0.6541289081289081,0.6071582010582011,0.7053721019721019,0.15017482090853843,0.6026924963924964,0.7105396825396825,0.16490467962719074,,,,,,,,,False
Average Affinity,500,0.6540454921271113,0.6541447848077105,0.6308072640519132,0.6776509094379235,0.07162138712043349,0.6294085971943888,0.6798760635556829,0.07716201238106829,,,,,,,,,False
Average Affinity,1000,0.6526261035321035,0.6523850088183422,0.6379128137661472,0.6680227823061158,0.046136629192441526,0.6357706272939606,0.668635178035178,0.05035739539584746,,,,,,,,,False
Average Distinct Activities per Trace,100,7.4209000000000005,7.4350000000000005,7.0795,7.7505,0.090420299424598,7.04425,7.78,0.09914565618725496,,,,,,,,,False
Average Distinct Activities per Trace,500,7.41938,7.415,7.258,7.576099999999999,0.042874202426617776,7.25075,7.591349999999999,0.04590680083780577,,,,,,,,,False
Average Distinct Activities per Trace,1000,7.41059,7.409,7.30925,7.512,0.027359494992976265,7.292949999999999,7.515625,0.030048214784517916,,,,,,,,,False
Average Edit Distance,100,4.98000404040404,4.956767676767677,4.374727272727273,5.582454545454546,0.24251531985289054,4.212752525252526,5.6320707070707074,0.2850034197367897,,,,,,,,,False
Average Edit Distance,500,4.96461002004008,4.971991983967936,4.675007615230461,5.238416432865731,0.11348500997279161,4.6408855711422845,5.293884569138276,0.13153077388961157,,,,,,,,,False
Average Edit Distance,1000,4.984639219219219,4.9924614614614615,4.787221121121122,5.165712812812813,0.0759316121079224,4.771451301301301,5.16831016016016,0.07961636567972548,,,,,,,,,False
Avg. Trace Length,100,12.841800000000001,12.870000000000001,12.159,13.501,0.10450248407544104,12.0885,13.56,0.1145867401766108,,,,,,,,,False
Avg. Trace Length,500,12.83876,12.83,12.516,13.152199999999999,0.04955307210353638,12.5015,13.182699999999999,0.05305808349092893,,,,,,,,,False
Avg. Trace Length,1000,12.82118,12.818,12.6185,13.024,0.031627354112491984,12.585899999999999,13.03125,0.03473549236497742,,,,,,,,,False
Deviation from Random,100,0.7591072889451297,0.7590483762199143,0.7574454275061202,0.7611717378436428,0.004908805898439902,0.757135397474624,0.7621996816172137,0.006671368087674637,,,,,,,,,False
Deviation from Random,500,0.7591589808688686,0.7591111438369874,0.7586960856507863,0.7598606685119151,0.0015340434487068543,0.7586471115967465,0.759963740450592,0.001734325598491419,,,,,,,,,False
Deviation from Random,1000,0.7592100317111098,0.7592062490762711,0.7588560078227538,0.7596120800178279,0.0009958669715810818,0.7587804011418333,0.7596536891184819,0.0011502587428676636,,,,,,,,,False
Estimated Number of Acyclic Paths,100,6.06848208406285,6.309573444801933,3.630780547701014,6.309573444801933,0.4414271740434087,3.630780547701014,6.309573444801933,0.4414271740434087,,,,,,,,,False
Estimated Number of Acyclic Paths,500,6.309573444801933,6.309573444801933,6.309573444801933,6.309573444801933,0.0,6.309573444801933,6.309573444801933,0.0,,,,,,,,,False
Estimated Number of Acyclic Paths,1000,6.309573444801933,6.309573444801933,6.309573444801933,6.309573444801933,0.0,6.309573444801933,6.309573444801933,0.0,,,,,,,,,False
Lempel-Ziv Complexity,100,249.34,249.0,244.0,254.0,0.040105879521937914,242.0,255.0,0.05213764337851929,,,,,,,,,False
Lempel-Ziv Complexity,500,696.26,695.5,683.0,710.05,0.038850429437279115,682.475,712.0,0.042405136012409125,,,,,,,,,False
Lempel-Ziv Complexity,1000,1103.74,1104.0,1089.0,1117.0,0.025368293257470056,1086.475,1120.05,0.03041930164712708,,,,,,,,,False
Max. Trace Length,100,16.0,16.0,16.0,16.0,0.0,16.0,16.0,0.0,,,,,,,,,False
Max. Trace Length,500,16.0,16.0,16.0,16.0,0.0,16.0,16.0,0.0,,,,,,,,,False
Max. Trace Length,1000,16.0,16.0,16.0,16.0,0.0,16.0,16.0,0.0,,,,,,,,,False
Min. Trace Length,100,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,,,,,,,,,False
Min. Trace Length,500,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,,,,,,,,,False
Min. Trace Length,1000,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,,,,,,,,,False
Normalized Sequence Entropy,100,0.08419884339307895,0.10344303536166374,0.023968336777536518,0.1559524545348825,1.5675288690271358,0.021807899984557618,0.16439298342985614,1.6934328038170992,,,,,,,,,False
Normalized Sequence Entropy,500,0.08115798167707719,0.09004262930730325,0.026342546843335157,0.13154357010195392,1.2962498707423185,0.025287649622149497,0.13247122651406976,1.320678196734825,,,,,,,,,False
Normalized Sequence Entropy,1000,0.07932034137797588,0.08357653915084096,0.02494151606455865,0.14652284835127077,1.5327888177807372,0.024774691567444114,0.14701573117413178,1.5411058182942865,,,,,,,,,False
Normalized Variant Entropy,100,0.36066678518171835,0.3801136347548948,0.3155183387863541,0.4431138321255652,0.35377666749912495,0.2070436602386922,0.4488931987321041,0.6705622708549622,,,,,,,,,False
Normalized Variant Entropy,500,0.376666592200608,0.4065837518449081,0.3155183387863541,0.4453018963950307,0.34455818566345137,0.3155183387863541,0.44766331920917896,0.35082745101122764,,,,,,,,,False
Normalized Variant Entropy,1000,0.3812052677082523,0.4065837518449081,0.3155183387863541,0.449799844612456,0.35225511607796434,0.3155183387863541,0.4651499427853224,0.39252239324637506,,,,,,,,,False
Number of Distinct Activities,100,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,,,,,,,,,False
Number of Distinct Activities,500,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,,,,,,,,,False
Number of Distinct Activities,1000,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,,,,,,,,,False
Number of Distinct Directly-Follows Relations,100,20.73,21.0,18.0,21.0,0.1447178002894356,18.0,21.0,0.1447178002894356,,,,,,,,,False
Number of Distinct Directly-Follows Relations,500,21.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,,,,,,,,,False
Number of Distinct Directly-Follows Relations,1000,21.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,,,,,,,,,False
Number of Distinct Traces,100,4.93,5.0,4.0,5.0,0.20283975659229211,4.0,5.0,0.20283975659229211,,,,,,,,,False
Number of Distinct Traces,500,5.03,5.0,5.0,5.0,0.0,5.0,5.5249999999999915,0.10437375745526668,,,,,,,,,False
Number of Distinct Traces,1000,5.14,5.0,5.0,6.0,0.19455252918287938,5.0,6.0,0.19455252918287938,,,,,,,,,False
