Metric,Plateau n,Plateau Found,Plateau Classification,MK p-value,MK alpha,MK tail window sizes,MK tail means
Average Affinity,100.0,True,plateauing,0.6006536596119929,0.05,"100,200,300,400,500,600,700,800,900,1000","0.6539971236,0.6503070065,0.6534601168,0.6550142326,0.6540454921,0.6538105703,0.6545060331,0.6548762081,0.654407558,0.6526261035"
Average Distinct Activities per Trace,100.0,True,plateauing,0.6006536596119929,0.05,"100,200,300,400,500,600,700,800,900,1000","7.4209,7.3968,7.415833333,7.425925,7.41938,7.41715,7.4215,7.4257625,7.422655556,7.41059"
Average Edit Distance,100.0,True,plateauing,0.4843127204585538,0.05,"100,200,300,400,500,600,700,800,900,1000","4.98000404,5.01229196,4.974684504,4.954442607,4.96461002,4.968637952,4.956339056,4.956460607,4.96137627,4.984639219"
Avg. Trace Length,100.0,True,plateauing,0.6006536596119929,0.05,"100,200,300,400,500,600,700,800,900,1000","12.8418,12.7936,12.83166667,12.85185,12.83876,12.8343,12.843,12.851525,12.84531111,12.82118"
Deviation from Random,1100.0,True,plateauing,0.07255015432098766,0.05,"1100,1200,1300,1400,1500,1600,1700,1800,1900,2000","0.7591720539,0.7591979697,0.7591655487,0.7592118271,0.7591997021,0.7592082609,0.7592172362,0.7592136708,0.7592048023,0.7592109335"
Estimated Number of Acyclic Paths,1100.0,True,plateauing,1.0,0.05,"1100,1200,1300,1400,1500,1600,1700,1800,1900,2000","6.309573445,6.309573445,6.309573445,6.309573445,6.309573445,6.309573445,6.309573445,6.309573445,6.309573445,6.309573445"
Lempel-Ziv Complexity,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","5126.9,5168.16,5209.54,5249.26,5290.84,5331.96,5373.04,5414.54,5456.71,5497"
Max. Trace Length,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","16,16,16,16,16,16,16,16,16,16"
Min. Trace Length,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","4,4,4,4,4,4,4,4,4,4"
Normalized Sequence Entropy,100.0,True,plateauing,0.21637345679012346,0.05,"100,200,300,400,500,600,700,800,900,1000","0.08419884339,0.08127064754,0.0728203018,0.07811376821,0.08115798168,0.07622043887,0.07271267056,0.0717794634,0.0789307639,0.07932034138"
Normalized Variant Entropy,100.0,True,plateauing,0.07255015432098766,0.05,"100,200,300,400,500,600,700,800,900,1000","0.3606667852,0.3652547876,0.3637548564,0.371608903,0.3766665922,0.3695767385,0.369982436,0.361113693,0.3722200392,0.3812052677"
Number of Distinct Activities,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","12,12,12,12,12,12,12,12,12,12"
Number of Distinct Directly-Follows Relations,1100.0,True,plateauing,1.0,0.05,"1100,1200,1300,1400,1500,1600,1700,1800,1900,2000","21,21,21,21,21,21,21,21,21,21"
Number of Distinct Traces,2100.0,True,plateauing,0.23598289445748843,0.05,"2100,2200,2300,2400,2500,2600,2700,2800,2900,3000","5.25,5.22,5.23,5.24,5.37,5.3,5.24,5.24,5.3,5.26"
Number of Events,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","116837.24,118105.7,119381.08,120675.96,121952.8,123243.12,124528.3,125802.12,127079,128340"
Number of Ties in Paths to Goal,2100.0,True,plateauing,0.23598289445748843,0.05,"2100,2200,2300,2400,2500,2600,2700,2800,2900,3000","52.75,52.3,52.45,52.6,54.55,53.5,52.6,52.6,53.5,52.9"
Number of Traces,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","9100,9200,9300,9400,9500,9600,9700,9800,9900,10000"
Percentage of Distinct Traces,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","0.0006593406593,0.000652173913,0.0006451612903,0.0006382978723,0.0006315789474,0.000625,0.000618556701,0.000612244898,0.0006060606061,0.0006"
Sequence Entropy,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","91644.62043,92640.8338,93649.70464,94655.8467,95654.7282,96655.92068,97655.27787,98650.72996,99652.17117,100644.9908"
Structure,1100.0,True,plateauing,1.0,0.05,"1100,1200,1300,1400,1500,1600,1700,1800,1900,2000","0.8541666667,0.8541666667,0.8541666667,0.8541666667,0.8541666667,0.8541666667,0.8541666667,0.8541666667,0.8541666667,0.8541666667"
Variant Entropy,1100.0,True,plateauing,0.1557418430335097,0.05,"1100,1200,1300,1400,1500,1600,1700,1800,1900,2000","33.63192027,33.47518816,34.16847761,32.47236693,33.34955711,33.49938943,33.41165152,32.58881253,33.03461795,33.27182675"
