Metric,Sample Size,Sample ID,Value,Bootstrap CI Low,Bootstrap CI High
Average Affinity,100,0,0.655984607984608,,
Average Affinity,100,1,0.6321279461279462,,
Average Affinity,100,10,0.6143915343915344,,
Average Affinity,100,11,0.6712457912457913,,
Average Affinity,100,12,0.6966522366522366,,
Average Affinity,100,13,0.692874458874459,,
Average Affinity,100,14,0.6422914862914862,,
Average Affinity,100,15,0.6541702741702742,,
Average Affinity,100,16,0.6166734006734007,,
Average Affinity,100,17,0.6112900432900432,,
Average Affinity,100,18,0.6183665223665223,,
Average Affinity,100,19,0.6604906204906205,,
Average Affinity,100,2,0.6284329004329005,,
Average Affinity,100,20,0.6713881673881674,,
Average Affinity,100,21,0.7138528138528139,,
Average Affinity,100,22,0.6868677248677247,,
Average Affinity,100,23,0.6812813852813852,,
Average Affinity,100,24,0.6606907166907168,,
Average Affinity,100,25,0.6130572390572391,,
Average Affinity,100,26,0.687946127946128,,
Average Affinity,100,27,0.6805060125060125,,
Average Affinity,100,28,0.709044733044733,,
Average Affinity,100,29,0.6682212602212602,,
Average Affinity,100,3,0.6071919191919192,,
Average Affinity,100,30,0.6554497354497354,,
Average Affinity,100,31,0.63193265993266,,
Average Affinity,100,32,0.6658470418470418,,
Average Affinity,100,33,0.6989379509379509,,
Average Affinity,100,34,0.6548686868686869,,
Average Affinity,100,35,0.694868686868687,,
Average Affinity,100,36,0.694978354978355,,
Average Affinity,100,37,0.6675949975949975,,
Average Affinity,100,38,0.6146541606541607,,
Average Affinity,100,39,0.6731774891774891,,
Average Affinity,100,4,0.6052813852813853,,
Average Affinity,100,40,0.6156248196248196,,
Average Affinity,100,41,0.660065416065416,,
Average Affinity,100,42,0.6713131313131313,,
Average Affinity,100,43,0.6331313131313131,,
Average Affinity,100,44,0.6425868205868207,,
Average Affinity,100,45,0.656883116883117,,
Average Affinity,100,46,0.6552727272727272,,
Average Affinity,100,47,0.687946127946128,,
Average Affinity,100,48,0.6407811447811448,,
Average Affinity,100,49,0.6344011544011544,,
Average Affinity,100,5,0.6362424242424243,,
Average Affinity,100,50,0.6155892255892257,,
Average Affinity,100,51,0.6614757094757094,,
Average Affinity,100,52,0.6540875420875422,,
Average Affinity,100,53,0.6319499759499758,,
Average Affinity,100,54,0.6319326599326598,,
Average Affinity,100,55,0.6199595959595959,,
Average Affinity,100,56,0.6508821548821548,,
Average Affinity,100,57,0.6448821548821548,,
Average Affinity,100,58,0.650882154882155,,
Average Affinity,100,59,0.6118095238095237,,
Average Affinity,100,6,0.6773641173641173,,
Average Affinity,100,60,0.6645194805194805,,
Average Affinity,100,61,0.6003501683501683,,
Average Affinity,100,62,0.692874458874459,,
Average Affinity,100,63,0.6114747474747475,,
Average Affinity,100,64,0.6395930735930735,,
Average Affinity,100,65,0.6863434343434343,,
Average Affinity,100,66,0.65003367003367,,
Average Affinity,100,67,0.6405656565656566,,
Average Affinity,100,68,0.6727118807118807,,
Average Affinity,100,69,0.7051832611832611,,
Average Affinity,100,7,0.6933477633477633,,
Average Affinity,100,70,0.6174920634920635,,
