Metric,Sample Size,Mean Value,Median Value,Bootstrap CI Low,Bootstrap CI High,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Q05,Sample Q95,Empirical CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,100,0.8805530303030303,0.8798484848484849,,,0.8745757575757576,0.891969696969697,0.019753426307503045,0.875,0.891969696969697,0.019271635421954175,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,100.0,True
Average Affinity,200,0.8803711055276382,0.8793969849246231,,,,,,,,,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,100.0,True
Average Affinity,300,0.8800379041248607,0.8795986622073578,,,,,,,,,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,100.0,True
Average Affinity,400,0.8807254072681704,0.879953007518797,,,,,,,,,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,100.0,True
Average Affinity,500,0.8801740480961924,0.8797595190380761,,,0.8768016032064129,0.8842905811623246,0.008508519391261684,0.8771907815631262,0.8840160320641283,0.007754432791747236,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,100.0,True
Average Affinity,600,0.8802760434056761,0.8794713411240958,,,,,,,,,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,100.0,True
Average Affinity,700,0.8803319231555282,0.8799724095646843,,,,,,,,,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,100.0,True
Average Affinity,800,0.880276540988736,0.8801032540675845,,,,,,,,,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,100.0,True
Average Affinity,900,0.8805782227165987,0.880321344703992,,,,,,,,,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,100.0,True
Average Affinity,1000,0.880423008008008,0.8802882882882883,,,0.8784064064064064,0.8834019144144144,0.005673986211821634,0.8786588338338338,0.8833333333333333,0.005309379079126676,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,100.0,True
Average Distinct Activities per Trace,100,7.0,7.0,,,7.0,7.0,0.0,7.0,7.0,0.0,,,,,100.0,True
Average Distinct Activities per Trace,200,7.0,7.0,,,,,,,,,,,,,100.0,True
Average Distinct Activities per Trace,300,7.0,7.0,,,,,,,,,,,,,100.0,True
Average Distinct Activities per Trace,400,7.0,7.0,,,,,,,,,,,,,100.0,True
Average Distinct Activities per Trace,500,7.0,7.0,,,7.0,7.0,0.0,7.0,7.0,0.0,,,,,100.0,True
Average Distinct Activities per Trace,600,7.0,7.0,,,,,,,,,,,,,100.0,True
Average Distinct Activities per Trace,700,7.0,7.0,,,,,,,,,,,,,100.0,True
Average Distinct Activities per Trace,800,7.0,7.0,,,,,,,,,,,,,100.0,True
Average Distinct Activities per Trace,900,7.0,7.0,,,,,,,,,,,,,100.0,True
Average Distinct Activities per Trace,1000,7.0,7.0,,,7.0,7.0,0.0,7.0,7.0,0.0,,,,,100.0,True
Average Edit Distance,100,1.8086080808080809,1.8096969696969696,,,1.5056868686868687,2.0975555555555556,0.3272509357606329,1.563151515151515,2.0604646464646468,0.27497009252050547,0.013016106261586294,0.6809933204476244,0.020054133780874277,0.5264477042492923,100.0,True
Average Edit Distance,200,1.8052859296482413,1.8079899497487437,,,,,,,,,0.013016106261586294,0.6809933204476244,0.020054133780874277,0.5264477042492923,100.0,True
Average Edit Distance,300,1.8222713489409141,1.8064882943143814,,,,,,,,,0.013016106261586294,0.6809933204476244,0.020054133780874277,0.5264477042492923,100.0,True
Average Edit Distance,400,1.8155870927318296,1.8151002506265663,,,,,,,,,0.013016106261586294,0.6809933204476244,0.020054133780874277,0.5264477042492923,100.0,True
Average Edit Distance,500,1.819375871743487,1.8154068136272548,,,1.746141883767535,1.9023523046092186,0.08585934510167424,1.7529330661322646,1.8919623246492985,0.07641590760671335,0.013016106261586294,0.6809933204476244,0.020054133780874277,0.5264477042492923,100.0,True
Average Edit Distance,600,1.8055114635503617,1.8056204785754035,,,,,,,,,0.013016106261586294,0.6809933204476244,0.020054133780874277,0.5264477042492923,100.0,True
Average Edit Distance,700,1.8169269160024524,1.8204986715716331,,,,,,,,,0.013016106261586294,0.6809933204476244,0.020054133780874277,0.5264477042492923,100.0,True
Average Edit Distance,800,1.8109983416770965,1.8195791614518146,,,,,,,,,0.013016106261586294,0.6809933204476244,0.020054133780874277,0.5264477042492923,100.0,True
Average Edit Distance,900,1.8146841181559759,1.8180299097762944,,,,,,,,,0.013016106261586294,0.6809933204476244,0.020054133780874277,0.5264477042492923,100.0,True
Average Edit Distance,1000,1.8149313113113112,1.8180320320320318,,,1.748444044044044,1.8710788788788788,0.06756995929847587,1.7578088088088089,1.8650912912912911,0.05911104283333418,0.013016106261586294,0.6809933204476244,0.020054133780874277,0.5264477042492923,100.0,True
Avg. Trace Length,100,12.5076,12.5,,,12.3295,12.7105,0.030461479420512347,12.36,12.681,0.02566439604720328,0.02617735598684561,0.4082897560135121,0.054187854220914926,0.08677038726190424,100.0,True
Avg. Trace Length,200,12.5026,12.5,,,,,,,,,0.02617735598684561,0.4082897560135121,0.054187854220914926,0.08677038726190424,100.0,True
Avg. Trace Length,300,12.516666666666667,12.5,,,,,,,,,0.02617735598684561,0.4082897560135121,0.054187854220914926,0.08677038726190424,100.0,True
Avg. Trace Length,400,12.51455,12.51,,,,,,,,,0.02617735598684561,0.4082897560135121,0.054187854220914926,0.08677038726190424,100.0,True
Avg. Trace Length,500,12.51492,12.51,,,12.464,12.584,0.009588555100631823,12.4678,12.576,0.008645680515736423,0.02617735598684561,0.4082897560135121,0.054187854220914926,0.08677038726190424,100.0,True
Avg. Trace Length,600,12.503733333333335,12.498333333333333,,,,,,,,,0.02617735598684561,0.4082897560135121,0.054187854220914926,0.08677038726190424,100.0,True
Avg. Trace Length,700,12.513714285714286,12.514285714285714,,,,,,,,,0.02617735598684561,0.4082897560135121,0.054187854220914926,0.08677038726190424,100.0,True
Avg. Trace Length,800,12.509575,12.5125,,,,,,,,,0.02617735598684561,0.4082897560135121,0.054187854220914926,0.08677038726190424,100.0,True
Avg. Trace Length,900,12.514000000000001,12.517777777777775,,,,,,,,,0.02617735598684561,0.4082897560135121,0.054187854220914926,0.08677038726190424,100.0,True
Avg. Trace Length,1000,12.51264,12.512,,,12.464,12.55505,0.007276641859751355,12.4659,12.552,0.0068810418904403925,0.02617735598684561,0.4082897560135121,0.054187854220914926,0.08677038726190424,100.0,True
Deviation from Random,100,0.7403475665544202,0.740654000481946,,,0.736090329600169,0.7430215293255972,0.009362088887096692,0.7363214928422951,0.7427298451110651,0.00865586997009324,0.04331460068740761,0.17110646929679438,-0.030277191420720828,0.33883451149713073,100.0,True
