Metric,Sample Size,Mean Value,Median Value,Sample Q05,Sample Q95,Empirical CI Rel Width,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Std,Bootstrap CI Low,Bootstrap CI High,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,100,0.8805530303030303,0.8798484848484849,0.875,0.891969696969697,0.019271635421954175,,,,,,,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,,False
Average Affinity,200,0.8803711055276382,0.8793969849246231,0.8756162060301508,0.8872361809045226,0.013198950762255605,,,,,,,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,,False
Average Affinity,300,0.8800379041248607,0.8795986622073578,0.8761928651059085,0.8849127647714604,0.009908550102990426,,,,,,,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,,False
Average Affinity,400,0.8807254072681704,0.879953007518797,0.876796522556391,0.8852625313283208,0.009612540642139128,,,,,,,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,,False
Average Affinity,500,0.8801740480961924,0.8797595190380761,0.8771907815631262,0.8840160320641283,0.007754432791747236,,,,,,,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,,False
Average Affinity,600,0.8802760434056761,0.8794713411240958,0.8778644963828603,0.8839303700612131,0.0068908767014545435,,,,,,,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,,False
Average Affinity,700,0.8803319231555282,0.8799724095646843,0.8782470876762722,0.8836688636828122,0.006158786094119705,,,,,,,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,,False
Average Affinity,800,0.880276540988736,0.8801032540675845,0.8780425923028786,0.8839674593241552,0.006730688306906053,,,,,,,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,,False
Average Affinity,900,0.8805782227165987,0.880321344703992,0.8779761463354344,0.8837597330367074,0.006567942009093217,,,,,,,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,,False
Average Affinity,1000,0.880423008008008,0.8802882882882883,0.8786588338338338,0.8833333333333333,0.005309379079126676,,,,,,,0.002588000176883594,0.9348554337761218,0.08883477888147503,0.004934966227348882,,False
Average Distinct Activities per Trace,100,7.0,7.0,7.0,7.0,0.0,,,,,,,,,,,,False
Average Distinct Activities per Trace,200,7.0,7.0,7.0,7.0,0.0,,,,,,,,,,,,False
Average Distinct Activities per Trace,300,7.0,7.0,7.0,7.0,0.0,,,,,,,,,,,,False
Average Distinct Activities per Trace,400,7.0,7.0,7.0,7.0,0.0,,,,,,,,,,,,False
Average Distinct Activities per Trace,500,7.0,7.0,7.0,7.0,0.0,,,,,,,,,,,,False
Average Distinct Activities per Trace,600,7.0,7.0,7.0,7.0,0.0,,,,,,,,,,,,False
Average Distinct Activities per Trace,700,7.0,7.0,7.0,7.0,0.0,,,,,,,,,,,,False
Average Distinct Activities per Trace,800,7.0,7.0,7.0,7.0,0.0,,,,,,,,,,,,False
Average Distinct Activities per Trace,900,7.0,7.0,7.0,7.0,0.0,,,,,,,,,,,,False
Average Distinct Activities per Trace,1000,7.0,7.0,7.0,7.0,0.0,,,,,,,,,,,,False
Average Edit Distance,100,1.8086080808080809,1.8096969696969696,1.563151515151515,2.0604646464646468,0.27497009252050547,,,,,,,0.013016106261586294,0.6809933204476244,0.020054133780874277,0.5264477042492923,,False
Average Edit Distance,200,1.8052859296482413,1.8079899497487437,1.6496331658291457,1.9505427135678395,0.16668248657835927,,,,,,,0.013016106261586294,0.6809933204476244,0.020054133780874277,0.5264477042492923,,False
Average Edit Distance,300,1.8222713489409141,1.8064882943143814,1.704251950947603,1.9489186176142694,0.13426467293625846,,,,,,,0.013016106261586294,0.6809933204476244,0.020054133780874277,0.5264477042492923,,False
Average Edit Distance,400,1.8155870927318296,1.8151002506265663,1.7107719298245616,1.9244160401002508,0.11767219051674839,,,,,,,0.013016106261586294,0.6809933204476244,0.020054133780874277,0.5264477042492923,,False
Average Edit Distance,500,1.819375871743487,1.8154068136272548,1.7529330661322646,1.8919623246492985,0.07641590760671335,,,,,,,0.013016106261586294,0.6809933204476244,0.020054133780874277,0.5264477042492923,,False
Average Edit Distance,600,1.8055114635503617,1.8056204785754035,1.736783528102393,1.8909393433500281,0.08538069038038833,,,,,,,0.013016106261586294,0.6809933204476244,0.020054133780874277,0.5264477042492923,,False
