Metric,Sample Size,Mean Value,Median Value,Sample Q05,Sample Q95,Empirical CI Rel Width,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Std,Bootstrap CI Low,Bootstrap CI High,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,100,0.8805530303030303,0.8798484848484849,0.875,0.891969696969697,0.019271635421954175,0.8745757575757576,0.891969696969697,0.019753426307503045,,,,,,,,,False
Average Affinity,500,0.8801740480961924,0.8797595190380761,0.8771907815631262,0.8840160320641283,0.007754432791747236,0.8768016032064129,0.8842905811623246,0.008508519391261684,,,,,,,,,False
Average Affinity,1000,0.880423008008008,0.8802882882882883,0.8786588338338338,0.8833333333333333,0.005309379079126676,0.8784064064064064,0.8834019144144144,0.005673986211821634,,,,,,,,,False
Average Distinct Activities per Trace,100,7.0,7.0,7.0,7.0,0.0,7.0,7.0,0.0,,,,,,,,,False
Average Distinct Activities per Trace,500,7.0,7.0,7.0,7.0,0.0,7.0,7.0,0.0,,,,,,,,,False
Average Distinct Activities per Trace,1000,7.0,7.0,7.0,7.0,0.0,7.0,7.0,0.0,,,,,,,,,False
Average Edit Distance,100,1.8086080808080809,1.8096969696969696,1.563151515151515,2.0604646464646468,0.27497009252050547,1.5056868686868687,2.0975555555555556,0.3272509357606329,,,,,,,,,False
Average Edit Distance,500,1.819375871743487,1.8154068136272548,1.7529330661322646,1.8919623246492985,0.07641590760671335,1.746141883767535,1.9023523046092186,0.08585934510167424,,,,,,,,,False
Average Edit Distance,1000,1.8149313113113112,1.8180320320320318,1.7578088088088089,1.8650912912912911,0.05911104283333418,1.748444044044044,1.8710788788788788,0.06756995929847587,,,,,,,,,False
Avg. Trace Length,100,12.5076,12.5,12.36,12.681,0.02566439604720328,12.3295,12.7105,0.030461479420512347,,,,,,,,,False
Avg. Trace Length,500,12.51492,12.51,12.4678,12.576,0.008645680515736423,12.464,12.584,0.009588555100631823,,,,,,,,,False
Avg. Trace Length,1000,12.51264,12.512,12.4659,12.552,0.0068810418904403925,12.464,12.55505,0.007276641859751355,,,,,,,,,False
Deviation from Random,100,0.7403475665544202,0.740654000481946,0.7363214928422951,0.7427298451110651,0.00865586997009324,0.736090329600169,0.7430215293255972,0.009362088887096692,,,,,,,,,False
Deviation from Random,500,0.7405733462567666,0.7405826175683815,0.7391585419145041,0.7417149693305144,0.003451957093691982,0.739049588971146,0.7417326465257863,0.0036229464214473837,,,,,,,,,False
Deviation from Random,1000,0.7405872795952456,0.7406267504680482,0.7394496083090166,0.7415003051523983,0.002769014402330042,0.7394254142361252,0.7416870339079826,0.0030538192245126027,,,,,,,,,False
Estimated Number of Acyclic Paths,100,3.763735723328914,3.630780547701014,3.630780547701014,5.248074602497725,0.42970446749812236,3.630780547701014,5.248074602497725,0.42970446749812236,,,,,,,,,False
Estimated Number of Acyclic Paths,500,4.402207225897741,3.630780547701014,3.630780547701014,6.309573444801933,0.6085113125392759,3.630780547701014,6.309573444801933,0.6085113125392759,,,,,,,,,False
Estimated Number of Acyclic Paths,1000,4.826858850098834,4.36515832240166,3.630780547701014,6.309573444801933,0.5549764309031057,3.630780547701014,6.309573444801933,0.5549764309031057,,,,,,,,,False
Lempel-Ziv Complexity,100,252.1,253.0,235.95,273.05,0.147163823879413,234.475,276.0,0.1647163823879413,,,,,,,,,False
Lempel-Ziv Complexity,500,755.94,763.0,718.95,803.5999999999999,0.11197978675556242,717.475,824.8749999999999,0.14207476783871717,,,,,,,,,False
Lempel-Ziv Complexity,1000,1263.79,1235.0,1212.6,1358.0,0.11505076001550898,1161.9,1359.525,0.15637487240759937,,,,,,,,,False
Max. Trace Length,100,17.7,18.0,16.0,20.0,0.22598870056497175,16.0,22.0,0.33898305084745767,,,,,,,,,False
Max. Trace Length,500,19.66,20.0,18.0,22.0,0.2034587995930824,18.0,24.0,0.3051881993896236,,,,,,,,,False
Max. Trace Length,1000,21.14,20.0,20.0,24.0,0.1892147587511826,18.0,24.0,0.28382213812677387,,,,,,,,,False
Min. Trace Length,100,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,,,,,,,,,False
Min. Trace Length,500,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,,,,,,,,,False
Min. Trace Length,1000,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,,,,,,,,,False
Normalized Sequence Entropy,100,0.13757936267257362,0.1361768981648257,0.10798483249588095,0.16955734855705767,0.44754180325514165,0.10482357715579903,0.1777931555368444,0.5303817154227292,,,,,,,,,False
Normalized Sequence Entropy,500,0.12373492286467497,0.11698153143733764,0.10279685218662085,0.16541488086106762,0.5060659288803223,0.10178008324416597,0.1667405121089703,0.5249967217084666,,,,,,,,,False
Normalized Sequence Entropy,1000,0.1158547135682452,0.10456635055889985,0.09580344314431738,0.15597358029546043,0.5193585595090987,0.09470129949301526,0.15686047590129634,0.5365269525410004,,,,,,,,,False
Normalized Variant Entropy,100,0.4306203811814315,0.42831157576513,0.3876261783991214,0.4684725615033109,0.18774397738068707,0.38762617839912133,0.4700338789523974,0.19136971716755685,,,,,,,,,False
Normalized Variant Entropy,500,0.475616519556695,0.47816944980075393,0.4568686158179085,0.4968421163361448,0.08404565206333485,0.4466120814881626,0.5025155398910267,0.11753893337214126,,,,,,,,,False
Normalized Variant Entropy,1000,0.49808878133954076,0.4968663190617017,0.4793043875460214,0.5180450394176515,0.07777860759570301,0.478384397871919,0.5242979196613714,0.09217939353296485,,,,,,,,,False
Number of Distinct Activities,100,8.0,8.0,8.0,8.0,0.0,8.0,8.0,0.0,,,,,,,,,False
Number of Distinct Activities,500,8.0,8.0,8.0,8.0,0.0,8.0,8.0,0.0,,,,,,,,,False
Number of Distinct Activities,1000,8.0,8.0,8.0,8.0,0.0,8.0,8.0,0.0,,,,,,,,,False
Number of Distinct Directly-Follows Relations,100,14.16,14.0,14.0,16.0,0.14124293785310735,14.0,16.0,0.14124293785310735,,,,,,,,,False
Number of Distinct Directly-Follows Relations,500,14.91,14.0,14.0,17.0,0.20120724346076457,14.0,17.0,0.20120724346076457,,,,,,,,,False
Number of Distinct Directly-Follows Relations,1000,15.4,15.0,14.0,17.0,0.19480519480519481,14.0,17.0,0.19480519480519481,,,,,,,,,False
Number of Distinct Traces,100,6.41,6.0,5.0,8.0,0.46801872074882994,5.0,8.0,0.46801872074882994,,,,,,,,,False
Number of Distinct Traces,500,8.68,9.0,7.95,10.049999999999997,0.2419354838709674,7.0,11.0,0.4608294930875576,,,,,,,,,False
Number of Distinct Traces,1000,10.36,10.0,9.0,12.0,0.2895752895752896,9.0,13.0,0.3861003861003861,,,,,,,,,False
Number of Events,100,1250.76,1250.0,1236.0,1268.1,0.025664396047203226,1232.95,1271.05,0.030461479420512257,,,,,,,,,False
Number of Events,500,6257.46,6255.0,6233.9,6288.0,0.008645680515736475,6232.0,6292.0,0.009588555100631885,,,,,,,,,False
Number of Events,1000,12512.64,12512.0,12465.9,12552.0,0.006881041890440416,12464.0,12555.05,0.007276641859751362,,,,,,,,,False
Number of Ties in Paths to Goal,100,85.91,80.0,63.0,114.0,0.5936445116982889,63.0,114.0,0.5936445116982889,,,,,,,,,False
Number of Ties in Paths to Goal,500,122.64,123.0,99.85,152.54999999999995,0.4297129810828438,95.0,165.0,0.5707762557077626,,,,,,,,,False
Number of Ties in Paths to Goal,1000,150.76,152.0,125.0,182.0,0.37808437251260285,123.0,197.0,0.4908463783496949,,,,,,,,,False
Number of Traces,100,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,,,,,,,,,False
Number of Traces,500,500.0,500.0,500.0,500.0,0.0,500.0,500.0,0.0,,,,,,,,,False
Number of Traces,1000,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,0.0,,,,,,,,,False
Percentage of Distinct Traces,100,0.0641,0.06,0.05,0.08,0.4680187207488299,0.05,0.08,0.4680187207488299,,,,,,,,,False
Percentage of Distinct Traces,500,0.01736,0.018,0.0159,0.020099999999999996,0.24193548387096747,0.014,0.022,0.4608294930875575,,,,,,,,,False
Percentage of Distinct Traces,1000,0.010360000000000001,0.01,0.009,0.012,0.2895752895752896,0.009,0.013,0.38610038610038605,,,,,,,,,False
Sequence Entropy,100,1227.9283428003653,1216.7809498201736,950.3394994864517,1536.347171726607,0.47723279267561264,921.5419868903257,1581.2533847986358,0.5372556157501814,,,,,,,,,False
Sequence Entropy,500,6768.260392497485,6414.296390125526,5603.0690682435925,9023.408647488186,0.505349880308386,5543.726857374348,9102.712335991491,0.5258345974044122,,,,,,,,,False
Sequence Entropy,1000,13678.24669977217,12345.75141481125,11270.620260995249,18423.748891293726,0.5229565445999467,11129.404117031916,18521.56092196324,0.5404316040779151,,,,,,,,,False
Structure,100,0.77875,0.78125,0.75,0.78125,0.04012841091492777,0.75,0.78125,0.04012841091492777,,,,,,,,,False
Structure,500,0.76703125,0.78125,0.734375,0.78125,0.06111224281931146,0.734375,0.78125,0.06111224281931146,,,,,,,,,False
Structure,1000,0.759375,0.765625,0.734375,0.78125,0.06172839506172839,0.734375,0.78125,0.06172839506172839,,,,,,,,,False
Variant Entropy,100,85.82343013634667,84.61634289566794,58.39092863352863,125.75572330315728,0.7849231213738136,58.02526179206682,127.5325643080765,0.8098872581250159,,,,,,,,,False
Variant Entropy,500,135.03343262597429,135.47291119439726,106.86388872030336,180.20696038289785,0.5431475023355558,96.2025372751938,200.22882383664592,0.7703743031519602,,,,,,,,,False
Variant Entropy,1000,175.5864931174128,170.29991307951107,137.52514183351036,230.42144313211165,0.5290629116698773,134.24375367243672,262.14512474209914,0.728423746034589,,,,,,,,,False
