Metric,Plateau n,Plateau Found,Plateau Classification,MK p-value,MK alpha,MK tail window sizes,MK tail means
Average Affinity,100.0,True,plateauing,0.7274895282186948,0.05,"100,200,300,400,500,600,700,800,900,1000","0.8805530303,0.8803711055,0.8800379041,0.8807254073,0.8801740481,0.8802760434,0.8803319232,0.880276541,0.8805782227,0.880423008"
Average Distinct Activities per Trace,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","7,7,7,7,7,7,7,7,7,7"
Average Edit Distance,100.0,True,plateauing,0.8618005952380953,0.05,"100,200,300,400,500,600,700,800,900,1000","1.808608081,1.80528593,1.822271349,1.815587093,1.819375872,1.805511464,1.816926916,1.810998342,1.814684118,1.814931311"
Avg. Trace Length,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","12.5076,12.5026,12.51666667,12.51455,12.51492,12.50373333,12.51371429,12.509575,12.514,12.51264"
Deviation from Random,100.0,True,plateauing,0.38071979717813054,0.05,"100,200,300,400,500,600,700,800,900,1000","0.7403475666,0.7406562877,0.7404920482,0.7404570437,0.7405733463,0.7407577578,0.7405626067,0.7406415023,0.7405314284,0.7405872796"
Estimated Number of Acyclic Paths,5100.0,True,plateauing,1.0,0.05,"5100,5200,5300,5400,5500,5600,5700,5800,5900,6000","6.309573445,6.309573445,6.309573445,6.309573445,6.309573445,6.309573445,6.309573445,6.309573445,6.309573445,6.309573445"
Lempel-Ziv Complexity,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","6421.3,6472.77,6527.78,6575.73,6627.53,6677.38,6727.65,6776.27,6823.55,6877"
Max. Trace Length,2100.0,True,plateauing,0.3105515521726103,0.05,"2100,2200,2300,2400,2500,2600,2700,2800,2900,3000","21.88,21.96,21.64,21.96,22.06,21.88,21.92,21.88,22.22,21.96"
Min. Trace Length,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","12,12,12,12,12,12,12,12,12,12"
Normalized Sequence Entropy,1100.0,True,plateauing,0.07255015432098766,0.05,"1100,1200,1300,1400,1500,1600,1700,1800,1900,2000","0.1152482446,0.1188465441,0.1135299433,0.1151702801,0.1115850345,0.1107234263,0.1128920129,0.1099763883,0.1141106448,0.1122156699"
Normalized Variant Entropy,9100.0,True,plateauing,1.0,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","0.5776067792,0.5776067792,0.5776067792,0.5776067792,0.5776067792,0.5776067792,0.5776067792,0.5776067792,0.5776067792,0.5776067792"
Number of Distinct Activities,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","8,8,8,8,8,8,8,8,8,8"
Number of Distinct Directly-Follows Relations,5100.0,True,plateauing,1.0,0.05,"5100,5200,5300,5400,5500,5600,5700,5800,5900,6000","17,17,17,17,17,17,17,17,17,17"
Number of Distinct Traces,9100.0,True,plateauing,1.0,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","20,20,20,20,20,20,20,20,20,20"
Number of Events,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","113862.28,115110.64,116361.42,117615.8,118865.56,120114.96,121364.9,122604.62,123849.96,125102"
Number of Ties in Paths to Goal,9100.0,True,plateauing,1.0,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","292,292,292,292,292,292,292,292,292,292"
Number of Traces,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","9100,9200,9300,9400,9500,9600,9700,9800,9900,10000"
Percentage of Distinct Traces,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","0.002197802198,0.002173913043,0.002150537634,0.002127659574,0.002105263158,0.002083333333,0.00206185567,0.002040816327,0.00202020202,0.002"
Sequence Entropy,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","158917.2882,160651.1663,162405.525,164169.849,165906.7642,167629.0059,169362.0446,171024.6466,172766.029,174534.5539"
Structure,5100.0,True,plateauing,1.0,0.05,"5100,5200,5300,5400,5500,5600,5700,5800,5900,6000","0.734375,0.734375,0.734375,0.734375,0.734375,0.734375,0.734375,0.734375,0.734375,0.734375"
Variant Entropy,9100.0,True,plateauing,1.0,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","403.0396539,403.0396539,403.0396539,403.0396539,403.0396539,403.0396539,403.0396539,403.0396539,403.0396539,403.0396539"
