Metric,Sample Size,Sample ID,Value,Bootstrap CI Low,Bootstrap CI High
Average Affinity,100,0,0.881010101010101,,
Average Affinity,100,1,0.8741919191919192,,
Average Affinity,100,10,0.8778282828282828,,
Average Affinity,100,11,0.8822727272727273,,
Average Affinity,100,12,0.891969696969697,,
Average Affinity,100,13,0.8836363636363637,,
Average Affinity,100,14,0.881010101010101,,
Average Affinity,100,15,0.8866666666666667,,
Average Affinity,100,16,0.891969696969697,,
Average Affinity,100,17,0.8787878787878788,,
Average Affinity,100,18,0.875,,
Average Affinity,100,19,0.8836363636363637,,
Average Affinity,100,2,0.8755555555555555,,
Average Affinity,100,20,0.8762121212121212,,
Average Affinity,100,21,0.8787878787878788,,
Average Affinity,100,22,0.8787878787878788,,
Average Affinity,100,23,0.8836363636363637,,
Average Affinity,100,24,0.8762121212121212,,
Average Affinity,100,25,0.891969696969697,,
Average Affinity,100,26,0.8762121212121212,,
Average Affinity,100,27,0.8741919191919192,,
Average Affinity,100,28,0.8762121212121212,,
Average Affinity,100,29,0.8836363636363637,,
Average Affinity,100,3,0.8778282828282828,,
Average Affinity,100,30,0.88510101010101,,
Average Affinity,100,31,0.8822727272727273,,
Average Affinity,100,32,0.881010101010101,,
Average Affinity,100,33,0.8778282828282828,,
Average Affinity,100,34,0.8939393939393939,,
Average Affinity,100,35,0.881010101010101,,
Average Affinity,100,36,0.876969696969697,,
Average Affinity,100,37,0.881010101010101,,
Average Affinity,100,38,0.8778282828282828,,
Average Affinity,100,39,0.8901010101010101,,
Average Affinity,100,4,0.881010101010101,,
Average Affinity,100,40,0.8755555555555555,,
Average Affinity,100,41,0.8836363636363637,,
Average Affinity,100,42,0.8787878787878788,,
Average Affinity,100,43,0.8836363636363637,,
Average Affinity,100,44,0.8822727272727273,,
Average Affinity,100,45,0.8866666666666667,,
Average Affinity,100,46,0.881010101010101,,
Average Affinity,100,47,0.8798484848484849,,
Average Affinity,100,48,0.8755555555555555,,
Average Affinity,100,49,0.875,,
Average Affinity,100,5,0.8787878787878788,,
