Metric,Sample Size,Mean Value,Median Value,Bootstrap CI Low,Bootstrap CI High,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Q05,Sample Q95,Empirical CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,100,0.631058562628844,0.6294574178067469,,,0.6125115899833263,0.6543206126638148,0.06625220725366875,0.6162094557360426,0.6537471285288883,0.059483659704215784,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,100.0,True
Average Affinity,200,0.630834483259891,0.6307139133026919,,,,,,,,,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,100.0,True
Average Affinity,300,0.6309804977656339,0.6298936010937457,,,,,,,,,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,100.0,True
Average Affinity,400,0.6305691515674444,0.6302777677091154,,,,,,,,,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,100.0,True
Average Affinity,500,0.6312739217135932,0.6303683280118646,,,0.6232992164507417,0.6411998625586716,0.02835638459345595,0.6244986747254903,0.6399138149971861,0.024419098811893702,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,100.0,True
Average Affinity,600,0.6311053904082651,0.6309165844036316,,,,,,,,,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,100.0,True
Average Affinity,700,0.6312307218724909,0.6308601000335373,,,,,,,,,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,100.0,True
Average Affinity,800,0.6317623739119086,0.630981594041647,,,,,,,,,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,100.0,True
Average Affinity,900,0.6303371602321112,0.629901132968242,,,,,,,,,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,100.0,True
Average Affinity,1000,0.6305934119781118,0.630216920497455,,,0.6256124093095565,0.636824561486981,0.017780319242874706,0.6261369706731281,0.6360812639744279,0.01576973864998914,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,100.0,True
