Metric,Sample Size,Mean Value,Median Value,Sample Q05,Sample Q95,Empirical CI Rel Width,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Std,Bootstrap CI Low,Bootstrap CI High,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,100,0.631058562628844,0.6294574178067469,0.6162094557360426,0.6537471285288883,0.059483659704215784,,,,,,,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,,False
Average Affinity,200,0.630834483259891,0.6307139133026919,0.6202862843321233,0.643547256328697,0.03687333621391569,,,,,,,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,,False
Average Affinity,300,0.6309804977656339,0.6298936010937457,0.6228368340155208,0.6413312577572648,0.02931061071972061,,,,,,,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,,False
Average Affinity,400,0.6305691515674444,0.6302777677091154,0.6233644721046315,0.6373484431322547,0.022176744601067704,,,,,,,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,,False
Average Affinity,500,0.6312739217135932,0.6303683280118646,0.6244986747254903,0.6399138149971861,0.024419098811893702,,,,,,,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,,False
Average Affinity,600,0.6311053904082651,0.6309165844036316,0.6246644670918888,0.6382803281226189,0.021574623252578983,,,,,,,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,,False
Average Affinity,700,0.6312307218724909,0.6308601000335373,0.6250667238807777,0.6375601077615753,0.019792103660191233,,,,,,,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,,False
Average Affinity,800,0.6317623739119086,0.630981594041647,0.6265695627377067,0.6379394489205834,0.0179970929773385,,,,,,,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,,False
Average Affinity,900,0.6303371602321112,0.629901132968242,0.625366096022352,0.6355890671060913,0.016218258622060017,,,,,,,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,,False
Average Affinity,1000,0.6305934119781118,0.630216920497455,0.6261369706731281,0.6360812639744279,0.01576973864998914,,,,,,,-0.005842734408308929,0.8535945784149237,0.04121059180034897,0.19287653634403878,,False
Average Distinct Activities per Trace,100,11.888599999999999,11.88,11.387500000000001,12.2505,0.07259054892922628,,,,,,,0.02270081136534889,0.47333877670656765,-0.010723683471846381,0.7348370587683895,,False
Average Distinct Activities per Trace,200,11.90645,11.907499999999999,11.63925,12.12625,0.040902200068030366,,,,,,,0.02270081136534889,0.47333877670656765,-0.010723683471846381,0.7348370587683895,,False
Average Distinct Activities per Trace,300,11.930433333333333,11.93,11.729166666666668,12.1435,0.03472911014687913,,,,,,,0.02270081136534889,0.47333877670656765,-0.010723683471846381,0.7348370587683895,,False
Average Distinct Activities per Trace,400,11.8775,11.8875,11.6425,12.0325,0.03283519259103351,,,,,,,0.02270081136534889,0.47333877670656765,-0.010723683471846381,0.7348370587683895,,False
Average Distinct Activities per Trace,500,11.914159999999999,11.921,11.6975,12.0586,0.03030847327885478,,,,,,,0.02270081136534889,0.47333877670656765,-0.010723683471846381,0.7348370587683895,,False
Average Distinct Activities per Trace,600,11.90205,11.908333333333331,11.726416666666669,12.055166666666667,0.0276212921303471,,,,,,,0.02270081136534889,0.47333877670656765,-0.010723683471846381,0.7348370587683895,,False
Average Distinct Activities per Trace,700,11.890042857142857,11.887857142857142,11.759428571428572,12.004357142857144,0.02059946918369876,,,,,,,0.02270081136534889,0.47333877670656765,-0.010723683471846381,0.7348370587683895,,False
Average Distinct Activities per Trace,800,11.928387500000001,11.938125,11.798187500000001,12.068999999999999,0.02270319437560174,,,,,,,0.02270081136534889,0.47333877670656765,-0.010723683471846381,0.7348370587683895,,False
