Metric,Sample Size,Mean Value,Median Value,Sample Q05,Sample Q95,Empirical CI Rel Width,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Std,Bootstrap CI Low,Bootstrap CI High,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,100,0.631058562628844,0.6294574178067469,0.6162094557360426,0.6537471285288883,0.059483659704215784,0.6125115899833263,0.6543206126638148,0.06625220725366875,,,,,,,,,False
Average Affinity,500,0.6312739217135932,0.6303683280118646,0.6244986747254903,0.6399138149971861,0.024419098811893702,0.6232992164507417,0.6411998625586716,0.02835638459345595,,,,,,,,,False
Average Affinity,1000,0.6305934119781118,0.630216920497455,0.6261369706731281,0.6360812639744279,0.01576973864998914,0.6256124093095565,0.636824561486981,0.017780319242874706,,,,,,,,,False
Average Distinct Activities per Trace,100,11.888599999999999,11.88,11.387500000000001,12.2505,0.07259054892922628,11.2885,12.3505,0.08932927342159712,,,,,,,,,False
Average Distinct Activities per Trace,500,11.914159999999999,11.921,11.6975,12.0586,0.03030847327885478,11.67295,12.14015,0.03921384302376333,,,,,,,,,False
Average Distinct Activities per Trace,1000,11.90441,11.9065,11.7927,12.0002,0.017430515246030637,11.7767,12.0341,0.021622239153389417,,,,,,,,,False
Average Edit Distance,100,9.241551515151516,9.278484848484847,8.508585858585858,9.976131313131313,0.15879860131055,8.41909090909091,10.17010101010101,0.18947144298652896,,,,,,,,,False
Average Edit Distance,500,9.258782685370742,9.306260521042084,8.827737074148297,9.511271743486974,0.07382554408785183,8.793058116232466,9.541606012024046,0.08084733395614917,,,,,,,,,False
Average Edit Distance,1000,9.25652092092092,9.255244244244244,9.015713413413412,9.493111911911912,0.051574290446372635,8.977615915915916,9.516208208208209,0.05818517528275722,,,,,,,,,False
Avg. Trace Length,100,22.0398,22.03,20.916,22.861,0.08824943965008758,20.7455,22.941000000000003,0.09961524151761825,,,,,,,,,False
Avg. Trace Length,500,22.09684,22.107999999999997,21.6742,22.444599999999998,0.03486471368756793,21.6051,22.5745,0.04387052628339619,,,,,,,,,False
Avg. Trace Length,1000,22.073800000000002,22.083,21.8396,22.3002,0.02086636646159698,21.8017,22.34545,0.024633275648053315,,,,,,,,,False
Deviation from Random,100,0.8200328586192829,0.8201701072526324,0.8169782451305485,0.822558235852245,0.006804594063574085,0.8163386448275377,0.8230642787749057,0.008201663965871079,,,,,,,,,False
Deviation from Random,500,0.8205856727376463,0.8208201580478818,0.8192437134976689,0.8216825985492622,0.002972127265464743,0.8192252913408983,0.8217872050424995,0.003122055120770157,,,,,,,,,False
Deviation from Random,1000,0.8205835442588871,0.8204524348567823,0.8197326546348542,0.8215599493855372,0.0022268235373076152,0.8195675665817411,0.8216551804346193,0.002544060099040349,,,,,,,,,False
Estimated Number of Acyclic Paths,100,59.592359466629034,57.543993733715695,47.86300923226383,83.17637711026708,0.5925821396244311,47.86300923226383,83.17637711026708,0.5925821396244311,,,,,,,,,False
Estimated Number of Acyclic Paths,500,79.37200696009761,83.17637711026708,69.18309709189366,83.17637711026708,0.1762999394157718,63.072567828850254,83.17637711026708,0.2532858882039299,,,,,,,,,False
Estimated Number of Acyclic Paths,1000,83.17637711026708,83.17637711026708,83.17637711026708,83.17637711026708,0.0,83.17637711026708,83.17637711026708,0.0,,,,,,,,,False
Lempel-Ziv Complexity,100,499.07,497.0,479.95,518.0,0.0762418097661651,477.475,520.5749999999999,0.08636063077323804,,,,,,,,,False
Lempel-Ziv Complexity,500,1531.6,1536.0,1482.8,1579.1,0.06287542439279183,1444.9750000000001,1583.525,0.09046095586314962,,,,,,,,,False
Lempel-Ziv Complexity,1000,2519.5,2535.0,2442.95,2606.05,0.06473506648144488,2441.0,2610.525,0.06728517563008538,,,,,,,,,False
Max. Trace Length,100,35.12,34.0,32.0,42.099999999999994,0.28758542141230053,32.0,44.0,0.34168564920273353,,,,,,,,,False
Max. Trace Length,500,38.62,38.0,36.0,42.0,0.15535991714137753,32.0,44.0,0.31071983428275507,,,,,,,,,False
Max. Trace Length,1000,41.72,42.0,38.0,48.0,0.23969319271332695,38.0,48.0,0.23969319271332695,,,,,,,,,False
Min. Trace Length,100,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,,,,,,,,,False
Min. Trace Length,500,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,,,,,,,,,False
Min. Trace Length,1000,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,,,,,,,,,False
Normalized Sequence Entropy,100,0.2256247350118209,0.2254721450206416,0.19038544410251068,0.26042109794821217,0.31040769462635465,0.1802389533309899,0.2680614719326131,0.3892415368245064,,,,,,,,,False
