Metric,Plateau n,Plateau Found,Plateau Classification,MK p-value,MK alpha,MK tail window sizes,MK tail means
Average Affinity,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","0.6310585626,0.6308344833,0.6309804978,0.6305691516,0.6312739217,0.6311053904,0.6312307219,0.6317623739,0.6303371602,0.630593412"
Average Distinct Activities per Trace,100.0,True,plateauing,0.7274895282186948,0.05,"100,200,300,400,500,600,700,800,900,1000","11.8886,11.90645,11.93043333,11.8775,11.91416,11.90205,11.89004286,11.9283875,11.90821111,11.90441"
Average Edit Distance,100.0,True,plateauing,0.4843127204585538,0.05,"100,200,300,400,500,600,700,800,900,1000","9.241551515,9.238998995,9.250375697,9.249571805,9.258782685,9.249456316,9.226956101,9.241077222,9.276489927,9.256520921"
Avg. Trace Length,100.0,True,plateauing,0.8618005952380953,0.05,"100,200,300,400,500,600,700,800,900,1000","22.0398,22.0802,22.1244,22.0124,22.09684,22.07446667,22.03888571,22.126425,22.08793333,22.0738"
Deviation from Random,100.0,True,plateauing,0.10831349206349207,0.05,"100,200,300,400,500,600,700,800,900,1000","0.8200328586,0.8203746244,0.8206475888,0.8203191032,0.8205856727,0.820501199,0.8203812848,0.8206740122,0.8206578073,0.8205835443"
Estimated Number of Acyclic Paths,1100.0,True,plateauing,1.0,0.05,"1100,1200,1300,1400,1500,1600,1700,1800,1900,2000","83.17637711,83.17637711,83.17637711,83.17637711,83.17637711,83.17637711,83.17637711,83.17637711,83.17637711,83.17637711"
Lempel-Ziv Complexity,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","12759.93,12865.34,12973.14,13072.72,13177.77,13277.72,13381.42,13484.81,13580.41,13688"
Max. Trace Length,4100.0,True,plateauing,0.8618005952380953,0.05,"4100,4200,4300,4400,4500,4600,4700,4800,4900,5000","45.3,45.58,45.2,45.12,45.72,45.28,45.6,45.52,45.44,45.4"
Min. Trace Length,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","14,14,14,14,14,14,14,14,14,14"
Normalized Sequence Entropy,5100.0,True,plateauing,0.21637345679012346,0.05,"5100,5200,5300,5400,5500,5600,5700,5800,5900,6000","0.1680549298,0.1685959529,0.1700476275,0.1682343302,0.1678737063,0.169106599,0.1686225518,0.1666011327,0.1667268996,0.166949114"
Normalized Variant Entropy,,False,trending,0.0006026065546520943,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","0.6239999238,0.6239983947,0.6246535895,0.6250932496,0.6255267782,0.6256854199,0.6258969422,0.6258969422,0.6258969422,0.6258969422"
Number of Distinct Activities,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","21,21,21,21,21,21,21,21,21,21"
Number of Distinct Directly-Follows Relations,1100.0,True,plateauing,1.0,0.05,"1100,1200,1300,1400,1500,1600,1700,1800,1900,2000","44,44,44,44,44,44,44,44,44,44"
Number of Distinct Traces,,False,trending,0.0002993433429267429,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","65.76,65.8,66.24,66.43,66.65,66.8,67,67,67,67"
Number of Events,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","200893.4,203108.32,205323.78,207534.76,209755.22,211961.12,214166.68,216390.62,218600.44,220792"
Number of Ties in Paths to Goal,,False,trending,0.0002993433429267429,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","1766.34,1767.1,1775.76,1778.95,1782.35,1785.2,1789,1789,1789,1789"
Number of Traces,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","9100,9200,9300,9400,9500,9600,9700,9800,9900,10000"
Percentage of Distinct Traces,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","0.007226373626,0.007152173913,0.007122580645,0.007067021277,0.007015789474,0.006958333333,0.006907216495,0.006836734694,0.006767676768,0.0067"
Sequence Entropy,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","422502.767,427143.235,432076.7637,436549.1406,441276.4622,445886.4118,450472.4553,454908.7219,459240.7913,463695.1268"
Structure,1100.0,True,plateauing,1.0,0.05,"1100,1200,1300,1400,1500,1600,1700,1800,1900,2000","0.9002267574,0.9002267574,0.9002267574,0.9002267574,0.9002267574,0.9002267574,0.9002267574,0.9002267574,0.9002267574,0.9002267574"
Variant Entropy,,False,trending,0.0002993433429267429,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","2550.400344,2553.284504,2573.259562,2579.26363,2587.499005,2595.850008,2606.984679,2606.984679,2606.984679,2606.984679"
