Metric,Sample Size,Mean Value,Median Value,Bootstrap CI Low,Bootstrap CI High,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Q05,Sample Q95,Empirical CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,100,0.8511346801346801,0.8484848484848485,,,0.7737373737373737,0.9353535353535354,0.18988318228389917,0.7853535353535354,0.92003367003367,0.15823598523658253,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,100.0,True
Average Affinity,200,0.8451691792294806,0.8459170854271356,,,,,,,,,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,100.0,True
Average Affinity,300,0.8441462281679674,0.8450575994054254,,,,,,,,,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,100.0,True
Average Affinity,400,0.8414608395989975,0.8429824561403508,,,,,,,,,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,100.0,True
Average Affinity,500,0.8428497661990647,0.8417434869739477,,,0.8085410821643287,0.8742885771543086,0.0780061852380601,0.8160921843687374,0.871503006012024,0.06574222817094504,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,100.0,True
Average Affinity,600,0.8460274531626786,0.8453162678538306,,,,,,,,,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,100.0,True
Average Affinity,700,0.8443449145037129,0.845038830983037,,,,,,,,,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,100.0,True
Average Affinity,800,0.8444300688360451,0.8464851898206089,,,,,,,,,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,100.0,True
Average Affinity,900,0.8454533844189016,0.8468751287438716,,,,,,,,,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,100.0,True
Average Affinity,1000,0.8458016349683016,0.8458608608608609,,,0.8256980730730732,0.8668287037037036,0.0486291689802324,0.8289222555889222,0.864733066399733,0.042339491117385844,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,100.0,True
