Metric,Sample Size,Mean Value,Median Value,Sample Q05,Sample Q95,Empirical CI Rel Width,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Std,Bootstrap CI Low,Bootstrap CI High,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,100,0.8511346801346801,0.8484848484848485,0.7853535353535354,0.92003367003367,0.15823598523658253,,,,,,,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,,False
Average Affinity,200,0.8451691792294806,0.8459170854271356,0.8040933835845896,0.8909547738693467,0.1027739681230999,,,,,,,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,,False
Average Affinity,300,0.8441462281679674,0.8450575994054254,0.8108695652173913,0.8769230769230769,0.07824889752696065,,,,,,,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,,False
Average Affinity,400,0.8414608395989975,0.8429824561403508,0.8079469507101087,0.8735275689223058,0.07793662536149615,,,,,,,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,,False
Average Affinity,500,0.8428497661990647,0.8417434869739477,0.8160921843687374,0.871503006012024,0.06574222817094504,,,,,,,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,,False
Average Affinity,600,0.8460274531626786,0.8453162678538306,0.8152181877202745,0.8679690688184011,0.062351264017414004,,,,,,,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,,False
Average Affinity,700,0.8443449145037129,0.845038830983037,0.81646518836433,0.8653615709516997,0.05791043653778614,,,,,,,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,,False
Average Affinity,800,0.8444300688360451,0.8464851898206089,0.8206195244055071,0.8667605340008343,0.05464159946237768,,,,,,,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,,False
Average Affinity,900,0.8454533844189016,0.8468751287438716,0.8223271742265067,0.8649467515346269,0.05041032195691489,,,,,,,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,,False
Average Affinity,1000,0.8458016349683016,0.8458608608608609,0.8289222555889222,0.864733066399733,0.042339491117385844,,,,,,,-0.026685975580754515,0.3992400180518126,0.00957369788994441,0.7623660674861067,,False
Average Distinct Activities per Trace,100,9.4048,9.4,9.1,9.7,0.06379720993535212,,,,,,,-0.02678579157894512,0.39747827013392817,-0.006708558477970318,0.832200421157866,,False
Average Distinct Activities per Trace,200,9.378400000000001,9.385,9.1885,9.58,0.04174486053058097,,,,,,,-0.02678579157894512,0.39747827013392817,-0.006708558477970318,0.832200421157866,,False
Average Distinct Activities per Trace,300,9.3742,9.38,9.22,9.52,0.032002730899703326,,,,,,,-0.02678579157894512,0.39747827013392817,-0.006708558477970318,0.832200421157866,,False
Average Distinct Activities per Trace,400,9.36145,9.37,9.205,9.505,0.03204631761105392,,,,,,,-0.02678579157894512,0.39747827013392817,-0.006708558477970318,0.832200421157866,,False
Average Distinct Activities per Trace,500,9.36772,9.364,9.244,9.496,0.026900889437344484,,,,,,,-0.02678579157894512,0.39747827013392817,-0.006708558477970318,0.832200421157866,,False
Average Distinct Activities per Trace,600,9.382,9.38,9.2395,9.480500000000001,0.025687486676614947,,,,,,,-0.02678579157894512,0.39747827013392817,-0.006708558477970318,0.832200421157866,,False
Average Distinct Activities per Trace,700,9.374457142857143,9.37857142857143,9.245285714285714,9.469,0.0238642389959342,,,,,,,-0.02678579157894512,0.39747827013392817,-0.006708558477970318,0.832200421157866,,False
Average Distinct Activities per Trace,800,9.3748,9.385,9.265,9.475,0.022400477876861273,,,,,,,-0.02678579157894512,0.39747827013392817,-0.006708558477970318,0.832200421157866,,False
Average Distinct Activities per Trace,900,9.3796,9.386666666666668,9.272999999999998,9.467000000000002,0.020683184783999786,,,,,,,-0.02678579157894512,0.39747827013392817,-0.006708558477970318,0.832200421157866,,False
Average Distinct Activities per Trace,1000,9.38116,9.382,9.304,9.466,0.017268653343509657,,,,,,,-0.02678579157894512,0.39747827013392817,-0.006708558477970318,0.832200421157866,,False
Average Edit Distance,100,5.033228282828283,5.15010101010101,3.9744646464646465,6.052525252525253,0.41286834001753214,,,,,,,0.06805530043869858,0.03140514303525482,0.02483851817782786,0.4326872122272647,,False
