Metric,Sample Size,Mean Value,Median Value,Sample Q05,Sample Q95,Empirical CI Rel Width,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Std,Bootstrap CI Low,Bootstrap CI High,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,100,0.8511346801346801,0.8484848484848485,0.7853535353535354,0.92003367003367,0.15823598523658253,0.7737373737373737,0.9353535353535354,0.18988318228389917,,,,,,,,,False
Average Affinity,500,0.8428497661990647,0.8417434869739477,0.8160921843687374,0.871503006012024,0.06574222817094504,0.8085410821643287,0.8742885771543086,0.0780061852380601,,,,,,,,,False
Average Affinity,1000,0.8458016349683016,0.8458608608608609,0.8289222555889222,0.864733066399733,0.042339491117385844,0.8256980730730732,0.8668287037037036,0.0486291689802324,,,,,,,,,False
Average Distinct Activities per Trace,100,9.4048,9.4,9.1,9.7,0.06379720993535212,9.04,9.76,0.07655665192242266,,,,,,,,,False
Average Distinct Activities per Trace,500,9.36772,9.364,9.244,9.496,0.026900889437344484,9.2074,9.508,0.03208891811454648,,,,,,,,,False
Average Distinct Activities per Trace,1000,9.38116,9.382,9.304,9.466,0.017268653343509657,9.28885,9.47515,0.01985895134503614,,,,,,,,,False
Average Edit Distance,100,5.033228282828283,5.15010101010101,3.9744646464646465,6.052525252525253,0.41286834001753214,3.730348484848485,6.101949494949494,0.47118884279342754,,,,,,,,,False
Average Edit Distance,500,5.195535230460922,5.201286573146293,4.7263258517034075,5.5907138276553106,0.1663713049011928,4.6527322645290585,5.660194388777556,0.19390920849537194,,,,,,,,,False
Average Edit Distance,1000,5.166430530530531,5.190091091091091,4.8842005005005005,5.434721621621621,0.10655734512791155,4.844507207207207,5.469936386386387,0.12105634160437562,,,,,,,,,False
Avg. Trace Length,100,16.8096,16.8,16.2,17.4,0.07138777841233576,16.08,17.52,0.08566533409480305,,,,,,,,,False
Avg. Trace Length,500,16.73544,16.728,16.488,16.992,0.030115730449871727,16.4148,17.016,0.03592376417948967,,,,,,,,,False
Avg. Trace Length,1000,16.76232,16.764,16.608,16.932,0.019329066620849506,16.5777,16.9503,0.022228426613976972,,,,,,,,,False
Deviation from Random,100,0.7912750950787286,0.7909672447818851,0.7887249413102606,0.7946345485509791,0.007468461066793159,0.7882796692300628,0.795470242334856,0.009087323927562481,,,,,,,,,False
Deviation from Random,500,0.7919368791852035,0.7919532637414198,0.7906846614918867,0.7932370609885164,0.003222983502493092,0.7905485416443233,0.7935030061816967,0.0037306818447615476,,,,,,,,,False
Deviation from Random,1000,0.7919505236065411,0.7919657987467872,0.7912788897378611,0.7926616475100112,0.0017460153518846831,0.7910301601648033,0.7927220925329467,0.0021364117046583915,,,,,,,,,False
Estimated Number of Acyclic Paths,100,22.90867652767773,22.90867652767773,22.90867652767773,22.90867652767773,0.0,22.90867652767773,22.90867652767773,0.0,,,,,,,,,False
Estimated Number of Acyclic Paths,500,22.90867652767773,22.90867652767773,22.90867652767773,22.90867652767773,0.0,22.90867652767773,22.90867652767773,0.0,,,,,,,,,False
Estimated Number of Acyclic Paths,1000,22.90867652767773,22.90867652767773,22.90867652767773,22.90867652767773,0.0,22.90867652767773,22.90867652767773,0.0,,,,,,,,,False
Lempel-Ziv Complexity,100,303.04,303.0,295.0,311.0,0.05279831045406547,294.0,312.0,0.05939809926082365,,,,,,,,,False
Lempel-Ziv Complexity,500,840.72,840.0,827.9,852.05,0.028725378247216642,826.0,853.0,0.0321153297173851,,,,,,,,,False
Lempel-Ziv Complexity,1000,1303.69,1304.0,1286.95,1321.0,0.026118172264878885,1281.475,1321.525,0.03072049336882248,,,,,,,,,False
Max. Trace Length,100,18.0,18.0,18.0,18.0,0.0,18.0,18.0,0.0,,,,,,,,,False
Max. Trace Length,500,18.0,18.0,18.0,18.0,0.0,18.0,18.0,0.0,,,,,,,,,False
Max. Trace Length,1000,18.0,18.0,18.0,18.0,0.0,18.0,18.0,0.0,,,,,,,,,False
Min. Trace Length,100,6.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,,,,,,,,,False
Min. Trace Length,500,6.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,,,,,,,,,False
Min. Trace Length,1000,6.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,,,,,,,,,False
Normalized Sequence Entropy,100,0.11444723693923137,0.10933963949138256,0.0926184705211137,0.15929689765413474,0.5826128171921321,0.09163442391284589,0.16694834434538683,0.6580667427779908,,,,,,,,,False
Normalized Sequence Entropy,500,0.10353934666945179,0.0962401742486356,0.09094278366109566,0.13621251869851161,0.437222529343739,0.09006804347704518,0.1367294446461262,0.4506634692031333,,,,,,,,,False
Normalized Sequence Entropy,1000,0.10348084744973239,0.0917630491080294,0.08807490714446077,0.12656281873943334,0.37193270584364646,0.08752447216805961,0.12750766512029169,0.38638254264060407,,,,,,,,,False
Normalized Variant Entropy,100,0.40974494208619355,0.4159927501908176,0.3805982926658025,0.4438273326726945,0.15431316780864912,0.3805982926658025,0.4514088283034896,0.1728161311208852,,,,,,,,,False
Normalized Variant Entropy,500,0.43906550405930206,0.4431305221306851,0.4159927501908176,0.4761533561640557,0.13701965974788247,0.4159927501908176,0.4761533561640557,0.13701965974788247,,,,,,,,,False
Normalized Variant Entropy,1000,0.46138617313931257,0.4582682767313521,0.4407544392443642,0.4925122450682973,0.1121789269751376,0.4407544392443642,0.4947801997844141,0.1170944507774341,,,,,,,,,False
Number of Distinct Activities,100,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,,,,,,,,,False
