Metric,Plateau n,Plateau Found,Plateau Classification,MK p-value,MK alpha,MK tail window sizes,MK tail means
Average Affinity,100.0,True,plateauing,0.7274895282186948,0.05,"100,200,300,400,500,600,700,800,900,1000","0.8511346801,0.8451691792,0.8441462282,0.8414608396,0.8428497662,0.8460274532,0.8443449145,0.8444300688,0.8454533844,0.845801635"
Average Distinct Activities per Trace,100.0,True,plateauing,0.7274895282186948,0.05,"100,200,300,400,500,600,700,800,900,1000","9.4048,9.3784,9.3742,9.36145,9.36772,9.382,9.374457143,9.3748,9.3796,9.38116"
Average Edit Distance,100.0,True,plateauing,0.4843127204585538,0.05,"100,200,300,400,500,600,700,800,900,1000","5.033228283,5.154977387,5.176705909,5.211515163,5.19553523,5.164518253,5.187002248,5.197136702,5.167520653,5.166430531"
Avg. Trace Length,100.0,True,plateauing,0.7274895282186948,0.05,"100,200,300,400,500,600,700,800,900,1000","16.8096,16.7568,16.7484,16.7229,16.73544,16.764,16.74891429,16.7496,16.7592,16.76232"
Deviation from Random,2100.0,True,plateauing,0.21637345679012346,0.05,"2100,2200,2300,2400,2500,2600,2700,2800,2900,3000","0.7919753459,0.7919772426,0.7918887263,0.7919014028,0.7919387241,0.7919542271,0.7919131942,0.7919078331,0.7919129637,0.7918927715"
Estimated Number of Acyclic Paths,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","22.90867653,22.90867653,22.90867653,22.90867653,22.90867653,22.90867653,22.90867653,22.90867653,22.90867653,22.90867653"
Lempel-Ziv Complexity,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","5997.05,6046.85,6095.68,6142.75,6191.43,6237.7,6285,6332.94,6380.61,6439"
Max. Trace Length,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","18,18,18,18,18,18,18,18,18,18"
Min. Trace Length,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","6,6,6,6,6,6,6,6,6,6"
Normalized Sequence Entropy,,False,trending,5.5114638447971785e-06,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","0.07840880783,0.07832412019,0.07832638059,0.07824010985,0.07818655587,0.07809667093,0.07799977761,0.07792168167,0.07781575167,0.07778017529"
Normalized Variant Entropy,,False,trending,0.0007718664488286594,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","0.5424205317,0.5425054595,0.5428451706,0.5444587983,0.5456477872,0.5461573539,0.5461573539,0.5461573539,0.5461573539,0.5461573539"
Number of Distinct Activities,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","12,12,12,12,12,12,12,12,12,12"
Number of Distinct Directly-Follows Relations,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","28,28,28,28,28,28,28,28,28,28"
Number of Distinct Traces,,False,trending,0.0007718664488286594,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","14.56,14.57,14.61,14.8,14.94,15,15,15,15,15"
Number of Events,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","152540.16,154195.2,155845.2,157520.52,159164.64,160812.36,162463.32,164105.88,165771.96,167460"
Number of Ties in Paths to Goal,,False,trending,0.0007718664488286594,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","235.52,235.69,236.37,239.6,241.98,243,243,243,243,243"
Number of Traces,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","9100,9200,9300,9400,9500,9600,9700,9800,9900,10000"
Percentage of Distinct Traces,,False,trending,2.9761904761904762e-05,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","0.0016,0.001583695652,0.001570967742,0.001574468085,0.001572631579,0.0015625,0.001546391753,0.001530612245,0.001515151515,0.0015"
Sequence Entropy,,False,trending,5.511463844797178e-07,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","142750.6372,144273.9063,145951.9082,147490.151,149056.7837,150556.1023,152042.5164,153554.5866,155032.9859,156672.0296"
Structure,100.0,True,plateauing,1.0,0.05,"100,200,300,400,500,600,700,800,900,1000","0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556"
Variant Entropy,,False,trending,0.0007718664488286594,0.05,"9100,9200,9300,9400,9500,9600,9700,9800,9900,10000","320.9175775,321.187922,322.2693002,327.4058463,331.1906698,332.812737,332.812737,332.812737,332.812737,332.812737"
