Metric,Sample Size,Sample ID,Value,Bootstrap CI Low,Bootstrap CI High
Average Affinity,100,0,0.8222222222222222,,
Average Affinity,100,1,0.7973063973063973,,
Average Affinity,100,10,0.8484848484848485,,
Average Affinity,100,11,0.9050505050505051,,
Average Affinity,100,12,0.8351851851851853,,
Average Affinity,100,13,0.8484848484848485,,
Average Affinity,100,14,0.8621212121212121,,
Average Affinity,100,15,0.8760942760942758,,
Average Affinity,100,16,0.8484848484848485,,
Average Affinity,100,17,0.8095959595959596,,
Average Affinity,100,18,0.9200336700336701,,
Average Affinity,100,19,0.8095959595959596,,
Average Affinity,100,2,0.8222222222222222,,
Average Affinity,100,20,0.9050505050505051,,
Average Affinity,100,21,0.9353535353535354,,
Average Affinity,100,22,0.8484848484848483,,
Average Affinity,100,23,0.8222222222222222,,
Average Affinity,100,24,0.9200336700336701,,
Average Affinity,100,25,0.8484848484848485,,
Average Affinity,100,26,0.8621212121212121,,
Average Affinity,100,27,0.8904040404040402,,
Average Affinity,100,28,0.8760942760942761,,
Average Affinity,100,29,0.8222222222222222,,
Average Affinity,100,3,0.8760942760942761,,
Average Affinity,100,30,0.8095959595959596,,
Average Affinity,100,31,0.835185185185185,,
Average Affinity,100,32,0.8484848484848485,,
Average Affinity,100,33,0.8484848484848485,,
Average Affinity,100,34,0.7624579124579125,,
Average Affinity,100,35,0.8222222222222222,,
Average Affinity,100,36,0.8351851851851853,,
Average Affinity,100,37,0.7973063973063972,,
Average Affinity,100,38,0.835185185185185,,
Average Affinity,100,39,0.8095959595959596,,
Average Affinity,100,4,0.8222222222222222,,
Average Affinity,100,40,0.8351851851851853,,
Average Affinity,100,41,0.8904040404040404,,
Average Affinity,100,42,0.8621212121212121,,
Average Affinity,100,43,0.7973063973063973,,
Average Affinity,100,44,0.8095959595959595,,
Average Affinity,100,45,0.7973063973063973,,
Average Affinity,100,46,0.7973063973063974,,
Average Affinity,100,47,0.8351851851851855,,
Average Affinity,100,48,0.8095959595959595,,
Average Affinity,100,49,0.8484848484848485,,
Average Affinity,100,5,0.8484848484848485,,
Average Affinity,100,50,0.8095959595959596,,
Average Affinity,100,51,0.8095959595959596,,
Average Affinity,100,52,0.8484848484848485,,
Average Affinity,100,53,0.9050505050505051,,
Average Affinity,100,54,0.951010101010101,,
Average Affinity,100,55,0.8484848484848485,,
Average Affinity,100,56,0.8760942760942759,,
Average Affinity,100,57,0.8621212121212121,,
Average Affinity,100,58,0.8222222222222222,,
Average Affinity,100,59,0.9050505050505051,,
Average Affinity,100,6,0.8095959595959596,,
Average Affinity,100,60,0.9050505050505051,,
Average Affinity,100,61,0.8760942760942761,,
Average Affinity,100,62,0.9050505050505051,,
Average Affinity,100,63,0.835185185185185,,
Average Affinity,100,64,0.7737373737373737,,
Average Affinity,100,65,0.8095959595959596,,
Average Affinity,100,66,0.7737373737373738,,
Average Affinity,100,67,0.951010101010101,,
Average Affinity,100,68,0.9050505050505051,,
Average Affinity,100,69,0.8351851851851853,,
Average Affinity,100,7,0.835185185185185,,
Average Affinity,100,70,0.8760942760942759,,
Average Affinity,100,71,0.8621212121212121,,
Average Affinity,100,72,0.9050505050505051,,
Average Affinity,100,73,0.835185185185185,,
Average Affinity,100,74,0.9353535353535354,,
