Metric,Basis,Dimension,Log,Pearson Rho,Spearman Rho,Pearson P,Spearman P,n,N Pop,Delta Pearson Spearman,Shape,Preferred Correlation,RelCI 100,RelCI 500,RelCI 1000,Plateau n,Plateau Found,Plateau Reached,Timestamp
Number of Events,OC,Length,O2C_S,0.9998552928,0.9950093912,0.0000000000,0.0000000000,1000,10000,0.0048459016,Linear,Pearson,0.0713877784123358,0.0301157304,0.01932906662084962,,False,N,2026-04-27T10:15:02.434742
Number of Events,OC,Length,CLAIM_S,0.9996522695,0.9949895196,0.0000000000,0.0000000000,1000,10000,0.0046627499,Linear,Pearson,0.104502484075441,0.0495530721,0.031627354112491984,,False,N,2026-04-27T10:15:02.437405
Number of Events,OC,Length,LOAN_S,0.9998359226,0.9949891943,0.0000000000,0.0000000000,1000,10000,0.0048467283,Linear,Pearson,0.08824943965008757,0.0348647137,0.020866366461597105,,False,N,2026-04-27T10:15:02.439970
Number of Events,OC,Length,CREDIT_S,0.9999833902,0.9950001433,0.0000000000,0.0000000000,1000,10000,0.0049832468,Linear,Pearson,0.025664396047203226,0.0086456805,0.006881041890440416,,False,N,2026-04-27T10:15:02.442925
Number of Events,OC,Length,MEAN,0.9998317188,0.9949970621,0.0000000000,0.0000000000,1000,10000,0.0048346566,,,0.0724510245462669,0.0307947992,0.01967595727134478,,0 / 4,0 / 4,2026-04-27T10:15:02.679231
Number of Traces,OC,Length,O2C_S,1.0000000000,1.0000000000,0.0000000000,0.0000000000,1000,10000,0.0000000000,Linear,Pearson,0.0,0.0000000000,0.0,,False,N,2026-04-27T10:15:02.445712
Number of Traces,OC,Length,CLAIM_S,1.0000000000,1.0000000000,0.0000000000,0.0000000000,1000,10000,0.0000000000,Linear,Pearson,0.0,0.0000000000,0.0,,False,N,2026-04-27T10:15:02.450265
Number of Traces,OC,Length,LOAN_S,1.0000000000,1.0000000000,0.0000000000,0.0000000000,1000,10000,0.0000000000,Linear,Pearson,0.0,0.0000000000,0.0,,False,N,2026-04-27T10:15:02.453897
Number of Traces,OC,Length,CREDIT_S,1.0000000000,1.0000000000,0.0000000000,0.0000000000,1000,10000,0.0000000000,Linear,Pearson,0.0,0.0000000000,0.0,,False,N,2026-04-27T10:15:02.455963
Number of Traces,OC,Length,MEAN,1.0000000000,1.0000000000,0.0000000000,0.0000000000,1000,10000,0.0000000000,,,0.0,0.0000000000,0.0,,0 / 4,0 / 4,2026-04-27T10:15:02.682465
Number of Distinct Activities,PC,Size,O2C_S,,,,,1000,10000,,Asymptotic,Spearman,0.0,0.0000000000,0.0,100.0000000000,True,Y (100),2026-04-27T10:15:02.458446
Number of Distinct Activities,PC,Size,CLAIM_S,,,,,1000,10000,,Asymptotic,Spearman,0.0,0.0000000000,0.0,100.0000000000,True,Y (100),2026-04-27T10:15:02.463370
Number of Distinct Activities,PC,Size,LOAN_S,,,,,1000,10000,,Asymptotic,Spearman,0.0,0.0000000000,0.0,100.0000000000,True,Y (100),2026-04-27T10:15:02.466049
Number of Distinct Activities,PC,Size,CREDIT_S,,,,,1000,10000,,Asymptotic,Spearman,0.0,0.0000000000,0.0,100.0000000000,True,Y (100),2026-04-27T10:15:02.468602
Number of Distinct Activities,PC,Size,MEAN,,,,,1000,10000,,,,0.0,0.0000000000,0.0,100.0000000000,4 / 4,4 / 4 (avg. 100),2026-04-27T10:15:02.675189
Number of Distinct Traces,PC,Size,O2C_S,0.6031547366,0.6064270630,0.0000000000,0.0000000000,1000,10000,0.0032723263,Linear,Pearson,0.34423407917383825,0.2936857562,0.2607561929595828,,False,N,2026-04-27T10:15:02.470984
Number of Distinct Traces,PC,Size,CLAIM_S,0.1683681184,0.1666038791,0.0000000851,0.0000001165,1000,10000,0.0017642393,Linear,Pearson,0.20283975659229211,0.0000000000,0.19455252918287938,2100.0000000000,True,Y (2100),2026-04-27T10:15:02.473946
Number of Distinct Traces,PC,Size,LOAN_S,0.9101242603,0.9181592099,0.0000000000,0.0000000000,1000,10000,0.0080349495,Linear,Pearson,0.39886039886039887,0.1907790143,0.20602626834921453,,False,N,2026-04-27T10:15:02.475612
Number of Distinct Traces,PC,Size,CREDIT_S,0.7464097453,0.7595449075,0.0000000000,0.0000000000,1000,10000,0.0131351622,Linear,Pearson,0.46801872074882994,0.2419354839,0.2895752895752896,9100.0000000000,True,Y (9100),2026-04-27T10:15:02.477534
Number of Distinct Traces,PC,Size,MEAN,0.6070142151,0.6126837649,0.0000000213,0.0000000291,1000,10000,0.0065516693,,,0.3534882388438398,0.1816000636,0.23772757001674158,,2 / 4,2 / 4,2026-04-27T10:15:02.677625
Number of Distinct Directly-Follows Relations,PC,Size,O2C_S,,,,,1000,10000,,Asymptotic,Spearman,0.0,0.0000000000,0.0,100.0000000000,True,Y (100),2026-04-27T10:15:02.480162
Number of Distinct Directly-Follows Relations,PC,Size,CLAIM_S,0.1630700133,0.1630700133,0.0000002160,0.0000002160,1000,10000,0.0000000000,Linear,Pearson,0.1447178002894356,0.0000000000,0.0,1100.0000000000,True,Y (1100),2026-04-27T10:15:02.482060
Number of Distinct Directly-Follows Relations,PC,Size,LOAN_S,0.5811121597,0.5967251783,0.0000000000,0.0000000000,1000,10000,0.0156130186,Linear,Pearson,0.07129277566539924,0.0228728271,0.0,1100.0000000000,True,Y (1100),2026-04-27T10:15:02.484061
Number of Distinct Directly-Follows Relations,PC,Size,CREDIT_S,0.3485655211,0.3708288949,0.0000000000,0.0000000000,1000,10000,0.0222633738,Linear,Pearson,0.14124293785310735,0.2012072435,0.19480519480519481,5100.0000000000,True,Y (5100),2026-04-27T10:15:02.486037
Number of Distinct Directly-Follows Relations,PC,Size,MEAN,0.3642492314,0.3768746955,0.0000000720,0.0000000720,1000,10000,0.0126254641,,,0.08931337845198555,0.0560200176,0.048701298701298704,1850.0000000000,4 / 4,4 / 4 (avg. 1850),2026-04-27T10:15:02.676313
Min. Trace Length,PD,Size,O2C_S,,,,,1000,10000,,Asymptotic,Spearman,0.0,0.0000000000,0.0,100.0000000000,True,Y (100),2026-04-27T10:15:02.487846
Min. Trace Length,PD,Size,CLAIM_S,,,,,1000,10000,,Asymptotic,Spearman,0.0,0.0000000000,0.0,100.0000000000,True,Y (100),2026-04-27T10:15:02.489606
Min. Trace Length,PD,Size,LOAN_S,,,,,1000,10000,,Asymptotic,Spearman,0.0,0.0000000000,0.0,100.0000000000,True,Y (100),2026-04-27T10:15:02.492028
Min. Trace Length,PD,Size,CREDIT_S,,,,,1000,10000,,Asymptotic,Spearman,0.0,0.0000000000,0.0,100.0000000000,True,Y (100),2026-04-27T10:15:02.493928
Min. Trace Length,PD,Size,MEAN,,,,,1000,10000,,,,0.0,0.0000000000,0.0,100.0000000000,4 / 4,4 / 4 (avg. 100),2026-04-27T10:15:02.671621
Avg. Trace Length,PD,Size,O2C_S,-0.0267857916,-0.0067085585,0.3974782701,0.8322004212,1000,10000,0.0200772331,Linear,Pearson,0.07138777841233576,0.0301157304,0.019329066620849506,100.0000000000,True,Y (100),2026-04-27T10:15:02.495888
Avg. Trace Length,PD,Size,CLAIM_S,0.0190930707,0.0178690303,0.5464583136,0.5724773975,1000,10000,0.0012240403,Linear,Pearson,0.10450248407544104,0.0495530721,0.031627354112491984,100.0000000000,True,Y (100),2026-04-27T10:15:02.497913
Avg. Trace Length,PD,Size,LOAN_S,0.0265443900,-0.0018440611,0.4017470296,0.9535563081,1000,10000,0.0283884510,Linear,Pearson,0.08824943965008758,0.0348647137,0.02086636646159698,100.0000000000,True,Y (100),2026-04-27T10:15:02.499865
